ward,precinct,total,Carrie M. Austin,Carrie M. Austin Percent
3401,34,1,348,348,100.0
3402,34,2,230,230,100.0
3403,34,3,310,310,100.0
3404,34,4,225,225,100.0
3405,34,5,263,263,100.0
3406,34,6,366,366,100.0
3407,34,7,327,327,100.0
3408,34,8,266,266,100.0
3409,34,9,233,233,100.0
3410,34,10,287,287,100.0
3411,34,11,237,237,100.0
3412,34,12,325,325,100.0
3413,34,13,286,286,100.0
3414,34,14,234,234,100.0
3415,34,15,244,244,100.0
3416,34,16,237,237,100.0
3417,34,17,358,358,100.0
3418,34,18,214,214,100.0
3419,34,19,325,325,100.0
3420,34,20,335,335,100.0
3421,34,21,394,394,100.0
3422,34,22,276,276,100.0
3423,34,23,225,225,100.0
3424,34,24,292,292,100.0
3425,34,25,323,323,100.0
3426,34,26,329,329,100.0
3427,34,27,233,233,100.0
3428,34,28,224,224,100.0
3429,34,29,230,230,100.0
3430,34,30,280,280,100.0
3431,34,31,252,252,100.0
3432,34,32,300,300,100.0
3433,34,33,236,236,100.0
3434,34,34,338,338,100.0
3435,34,35,327,327,100.0
3436,34,36,261,261,100.0
3437,34,37,194,194,100.0
3438,34,38,167,167,100.0
3439,34,39,229,229,100.0
3440,34,40,317,317,100.0
3441,34,41,212,212,100.0
3442,34,42,274,274,100.0
3443,34,43,272,272,100.0
3444,34,44,323,323,100.0
3445,34,45,327,327,100.0
3446,34,46,200,200,100.0
3447,34,47,276,276,100.0
3448,34,48,322,322,100.0
3449,34,49,372,372,100.0
3450,34,50,245,245,100.0
3451,34,51,314,314,100.0
3452,34,52,250,250,100.0
3453,34,53,226,226,100.0
