ward,precinct,total,Joe Moore,Joe Moore Percent
4901,49,1,232,232,100.0
4902,49,2,210,210,100.0
4903,49,3,334,334,100.0
4904,49,4,391,391,100.0
4905,49,5,303,303,100.0
4906,49,6,282,282,100.0
4907,49,7,318,318,100.0
4908,49,8,260,260,100.0
4909,49,9,308,308,100.0
4910,49,10,292,292,100.0
4911,49,11,382,382,100.0
4912,49,12,435,435,100.0
4913,49,13,358,358,100.0
4914,49,14,251,251,100.0
4915,49,15,248,248,100.0
4916,49,16,332,332,100.0
4917,49,17,215,215,100.0
4918,49,18,392,392,100.0
4919,49,19,279,279,100.0
4920,49,20,453,453,100.0
4921,49,21,205,205,100.0
4922,49,22,325,325,100.0
4923,49,23,407,407,100.0
4924,49,24,273,273,100.0
4925,49,25,427,427,100.0
4926,49,26,338,338,100.0
4927,49,27,383,383,100.0
4928,49,28,421,421,100.0
4929,49,29,365,365,100.0
4930,49,30,318,318,100.0
4931,49,31,253,253,100.0
4932,49,32,341,341,100.0
4933,49,33,300,300,100.0
