ward,precinct,total,Barbara Flynn Currie,Barbara Flynn Currie Percent
0401,4,1,442,442,100.0
0405,4,5,377,377,100.0
0409,4,9,473,473,100.0
0410,4,10,438,438,100.0
0415,4,15,366,366,100.0
0422,4,22,393,393,100.0
0423,4,23,383,383,100.0
0427,4,27,419,419,100.0
0431,4,31,402,402,100.0
0434,4,34,72,72,100.0
0501,5,1,283,283,100.0
0503,5,3,363,363,100.0
0507,5,7,348,348,100.0
0508,5,8,378,378,100.0
0509,5,9,421,421,100.0
0511,5,11,366,366,100.0
0514,5,14,270,270,100.0
0517,5,17,278,278,100.0
0518,5,18,322,322,100.0
0519,5,19,346,346,100.0
0520,5,20,387,387,100.0
0521,5,21,214,214,100.0
0522,5,22,398,398,100.0
0523,5,23,576,576,100.0
0524,5,24,393,393,100.0
0525,5,25,328,328,100.0
0526,5,26,338,338,100.0
0527,5,27,331,331,100.0
0528,5,28,196,196,100.0
0529,5,29,395,395,100.0
0531,5,31,281,281,100.0
0532,5,32,396,396,100.0
0533,5,33,353,353,100.0
0534,5,34,430,430,100.0
0535,5,35,376,376,100.0
0537,5,37,351,351,100.0
0538,5,38,345,345,100.0
0539,5,39,294,294,100.0
0540,5,40,260,260,100.0
0541,5,41,205,205,100.0
0705,7,5,220,220,100.0
0706,7,6,352,352,100.0
0707,7,7,254,254,100.0
0708,7,8,228,228,100.0
0709,7,9,415,415,100.0
0711,7,11,303,303,100.0
0712,7,12,267,267,100.0
0713,7,13,175,175,100.0
0714,7,14,295,295,100.0
0716,7,16,248,248,100.0
0717,7,17,249,249,100.0
0718,7,18,227,227,100.0
0721,7,21,167,167,100.0
0722,7,22,204,204,100.0
0725,7,25,111,111,100.0
0732,7,32,218,218,100.0
0733,7,33,341,341,100.0
0734,7,34,322,322,100.0
0735,7,35,258,258,100.0
0737,7,37,278,278,100.0
0746,7,46,123,123,100.0
1001,10,1,241,241,100.0
1004,10,4,206,206,100.0
1006,10,6,204,204,100.0
1007,10,7,170,170,100.0
1008,10,8,192,192,100.0
1010,10,10,242,242,100.0
1011,10,11,290,290,100.0
1012,10,12,165,165,100.0
1014,10,14,301,301,100.0
1019,10,19,207,207,100.0
1020,10,20,229,229,100.0
1021,10,21,269,269,100.0
1022,10,22,156,156,100.0
1023,10,23,240,240,100.0
1025,10,25,87,87,100.0
1026,10,26,193,193,100.0
1028,10,28,280,280,100.0
1029,10,29,225,225,100.0
1030,10,30,227,227,100.0
1031,10,31,205,205,100.0
1032,10,32,233,233,100.0
1033,10,33,170,170,100.0
1034,10,34,15,15,100.0
1035,10,35,223,223,100.0
1036,10,36,55,55,100.0
2024,20,24,178,178,100.0
2026,20,26,322,322,100.0
2034,20,34,398,398,100.0
