ward,precinct,total,Pat Heneghan,Pat Heneghan Percent,Susana L. Ortiz,Susana L. Ortiz Percent,Deidre Baumann,Deidre Baumann Percent
0101,1,1,289,90,31.14,172,59.52,27,9.34
0102,1,2,287,81,28.22,169,58.89,37,12.89
0103,1,3,250,102,40.8,105,42.0,43,17.2
0104,1,4,236,83,35.17,124,52.54,29,12.29
0105,1,5,223,89,39.91,98,43.95,36,16.14
0106,1,6,253,90,35.57,134,52.96,29,11.46
0107,1,7,209,84,40.19,101,48.33,24,11.48
0108,1,8,206,81,39.32,97,47.09,28,13.59
0109,1,9,225,58,25.78,144,64.0,23,10.22
0110,1,10,224,91,40.63,103,45.98,30,13.39
0111,1,11,241,108,44.81,102,42.32,31,12.86
0112,1,12,259,96,37.07,110,42.47,53,20.46
0113,1,13,119,42,35.29,69,57.98,8,6.72
0114,1,14,263,109,41.44,118,44.87,36,13.69
0115,1,15,263,85,32.32,149,56.65,29,11.03
0116,1,16,254,75,29.53,151,59.45,28,11.02
0117,1,17,286,91,31.82,166,58.04,29,10.14
0118,1,18,305,87,28.52,171,56.07,47,15.41
0119,1,19,361,102,28.25,201,55.68,58,16.07
0120,1,20,238,78,32.77,129,54.2,31,13.03
0121,1,21,235,106,45.11,93,39.57,36,15.32
0122,1,22,191,58,30.37,107,56.02,26,13.61
0123,1,23,409,135,33.01,226,55.26,48,11.74
0124,1,24,246,64,26.02,151,61.38,31,12.6
0125,1,25,267,70,26.22,158,59.18,39,14.61
0126,1,26,237,35,14.77,189,79.75,13,5.49
0127,1,27,263,83,31.56,139,52.85,41,15.59
0128,1,28,92,22,23.91,60,65.22,10,10.87
0129,1,29,230,79,34.35,112,48.7,39,16.96
0130,1,30,307,89,28.99,183,59.61,35,11.4
0131,1,31,287,86,29.97,171,59.58,30,10.45
0132,1,32,242,75,30.99,132,54.55,35,14.46
0133,1,33,244,84,34.43,126,51.64,34,13.93
0134,1,34,234,71,30.34,139,59.4,24,10.26
0135,1,35,271,102,37.64,126,46.49,43,15.87
0136,1,36,216,87,40.28,101,46.76,28,12.96
0137,1,37,242,90,37.19,121,50.0,31,12.81
0138,1,38,246,70,28.46,135,54.88,41,16.67
0139,1,39,216,69,31.94,122,56.48,25,11.57
0140,1,40,255,82,32.16,137,53.73,36,14.12
0141,1,41,189,69,36.51,95,50.26,25,13.23
0142,1,42,88,23,26.14,57,64.77,8,9.09
0143,1,43,207,76,36.71,103,49.76,28,13.53
0144,1,44,255,100,39.22,120,47.06,35,13.73
0201,2,1,236,90,38.14,116,49.15,30,12.71
0202,2,2,119,62,52.1,38,31.93,19,15.97
0203,2,3,241,98,40.66,106,43.98,37,15.35
0204,2,4,213,83,38.97,100,46.95,30,14.08
0205,2,5,278,104,37.41,143,51.44,31,11.15
0206,2,6,263,105,39.92,121,46.01,37,14.07
0207,2,7,205,79,38.54,101,49.27,25,12.2
0208,2,8,230,79,34.35,126,54.78,25,10.87
0209,2,9,123,52,42.28,43,34.96,28,22.76
0210,2,10,150,78,52.0,46,30.67,26,17.33
0211,2,11,148,71,47.97,54,36.49,23,15.54
0212,2,12,237,100,42.19,84,35.44,53,22.36
0213,2,13,190,93,48.95,62,32.63,35,18.42
0214,2,14,256,99,38.67,123,48.05,34,13.28
0215,2,15,227,104,45.81,95,41.85,28,12.33
0216,2,16,198,76,38.38,85,42.93,37,18.69
0217,2,17,275,118,42.91,117,42.55,40,14.55
0218,2,18,182,68,37.36,64,35.16,50,27.47
0219,2,19,132,70,53.03,43,32.58,19,14.39
0220,2,20,163,79,48.47,63,38.65,21,12.88
0221,2,21,256,106,41.41,119,46.48,31,12.11
0222,2,22,195,101,51.79,67,34.36,27,13.85
0223,2,23,114,68,59.65,29,25.44,17,14.91
0224,2,24,155,70,45.16,62,40.0,23,14.84
0225,2,25,223,87,39.01,94,42.15,42,18.83
0226,2,26,177,54,30.51,84,47.46,39,22.03
0227,2,27,155,61,39.35,61,39.35,33,21.29
0228,2,28,183,100,54.64,55,30.05,28,15.3
0229,2,29,175,76,43.43,68,38.86,31,17.71
0230,2,30,157,79,50.32,51,32.48,27,17.2
0231,2,31,229,107,46.72,73,31.88,49,21.4
0232,2,32,141,55,39.01,60,42.55,26,18.44
0233,2,33,283,164,57.95,81,28.62,38,13.43
0234,2,34,159,85,53.46,48,30.19,26,16.35
0235,2,35,183,76,41.53,78,42.62,29,15.85
0236,2,36,130,58,44.62,50,38.46,22,16.92
0237,2,37,188,84,44.68,70,37.23,34,18.09
0238,2,38,161,88,54.66,46,28.57,27,16.77
0239,2,39,123,38,30.89,58,47.15,27,21.95
0240,2,40,156,63,40.38,67,42.95,26,16.67
0241,2,41,134,47,35.07,60,44.78,27,20.15
0242,2,42,175,53,30.29,84,48.0,38,21.71
0243,2,43,196,93,47.45,69,35.2,34,17.35
0244,2,44,99,47,47.47,37,37.37,15,15.15
0245,2,45,227,85,37.44,115,50.66,27,11.89
0246,2,46,104,54,51.92,39,37.5,11,10.58
0301,3,1,421,154,36.58,179,42.52,88,20.9
0302,3,2,402,141,35.07,156,38.81,105,26.12
0303,3,3,242,97,40.08,104,42.98,41,16.94
0304,3,4,367,133,36.24,152,41.42,82,22.34
0305,3,5,230,79,34.35,100,43.48,51,22.17
0306,3,6,246,104,42.28,101,41.06,41,16.67
0307,3,7,207,83,40.1,78,37.68,46,22.22
0308,3,8,311,84,27.01,147,47.27,80,25.72
0309,3,9,347,99,28.53,167,48.13,81,23.34
0310,3,10,172,71,41.28,74,43.02,27,15.7
0311,3,11,343,106,30.9,150,43.73,87,25.36
0312,3,12,335,97,28.96,156,46.57,82,24.48
0313,3,13,308,126,40.91,135,43.83,47,15.26
0314,3,14,257,101,39.3,113,43.97,43,16.73
0315,3,15,309,97,31.39,140,45.31,72,23.3
0316,3,16,316,96,30.38,147,46.52,73,23.1
