ward,precinct,total,Charles A. Wilson (Romney),Charles A. Wilson (Romney) Percent,Mark P. Gibboney (Romney),Mark P. Gibboney (Romney) Percent,Thomas Hayes (McCain),Thomas Hayes (McCain) Percent,Vincent P. Churak (McCain),Vincent P. Churak (McCain) Percent,Matthew T. Murphy (Paul),Matthew T. Murphy (Paul) Percent,Douglas R. Hoffman (Paul),Douglas R. Hoffman (Paul) Percent,Byron Rivers (Thompson),Byron Rivers (Thompson) Percent,Kelly A. Murphy (Thompson),Kelly A. Murphy (Thompson) Percent,John Z. Toscas (Giuliani),John Z. Toscas (Giuliani) Percent,Benjamin M. Shapiro (Giuliani),Benjamin M. Shapiro (Giuliani) Percent,Eric L. Curtis (Huckabee),Eric L. Curtis (Huckabee) Percent,William Beckman (Huckabee),William Beckman (Huckabee) Percent
0214,2,14,9,3,33.33,2,22.22,1,11.11,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0220,2,20,5,1,20.0,0,0.0,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0
0231,2,31,12,2,16.67,3,25.0,2,16.67,2,16.67,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0
0244,2,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0246,2,46,5,0,0.0,0,0.0,1,20.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,1,20.0,1,20.0,0,0.0,0,0.0
0305,3,5,8,3,37.5,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,25.0,1,12.5
0307,3,7,5,0,0.0,0,0.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,2,40.0
0320,3,20,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0323,3,23,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
0330,3,30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0334,3,34,6,0,0.0,0,0.0,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67
0336,3,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0338,3,38,6,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,1,16.67,1,16.67
0341,3,41,18,1,5.56,1,5.56,3,16.67,2,11.11,4,22.22,3,16.67,0,0.0,0,0.0,0,0.0,0,0.0,2,11.11,2,11.11
0344,3,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0349,3,49,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0401,4,1,36,5,13.89,5,13.89,11,30.56,10,27.78,0,0.0,0,0.0,1,2.78,0,0.0,0,0.0,0,0.0,2,5.56,2,5.56
0402,4,2,10,0,0.0,0,0.0,3,30.0,3,30.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,20.0,2,20.0
0403,4,3,7,3,42.86,3,42.86,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0408,4,8,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0409,4,9,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,2,66.67
0412,4,12,3,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0
0413,4,13,10,1,10.0,1,10.0,4,40.0,4,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0416,4,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0417,4,17,46,13,28.26,13,28.26,9,19.57,8,17.39,1,2.17,0,0.0,0,0.0,1,2.17,1,2.17,0,0.0,0,0.0,0,0.0
0418,4,18,11,1,9.09,1,9.09,2,18.18,2,18.18,0,0.0,0,0.0,0,0.0,1,9.09,0,0.0,0,0.0,2,18.18,2,18.18
0419,4,19,4,0,0.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,1,25.0
0420,4,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0421,4,21,12,3,25.0,3,25.0,2,16.67,4,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0422,4,22,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.33,4,66.67
0423,4,23,18,4,22.22,4,22.22,3,16.67,2,11.11,3,16.67,2,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0424,4,24,14,2,14.29,2,14.29,1,7.14,1,7.14,2,14.29,2,14.29,1,7.14,2,14.29,1,7.14,0,0.0,0,0.0,0,0.0
0426,4,26,6,1,16.67,1,16.67,0,0.0,0,0.0,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67
0428,4,28,16,2,12.5,2,12.5,6,37.5,5,31.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.25,0,0.0,0,0.0
0429,4,29,25,3,12.0,3,12.0,6,24.0,5,20.0,2,8.0,2,8.0,0,0.0,0,0.0,1,4.0,0,0.0,1,4.0,2,8.0
0431,4,31,25,6,24.0,6,24.0,5,20.0,3,12.0,0,0.0,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,2,8.0,2,8.0
0432,4,32,24,1,4.17,1,4.17,6,25.0,6,25.0,2,8.33,2,8.33,0,0.0,0,0.0,0,0.0,0,0.0,3,12.5,3,12.5
0433,4,33,4,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,2,50.0
0434,4,34,28,8,28.57,8,28.57,6,21.43,6,21.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0437,4,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0438,4,38,4,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,1,25.0
0439,4,39,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0440,4,40,6,0,0.0,0,0.0,2,33.33,2,33.33,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0441,4,41,18,3,16.67,3,16.67,3,16.67,3,16.67,2,11.11,2,11.11,0,0.0,1,5.56,0,0.0,0,0.0,1,5.56,0,0.0
0442,4,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0443,4,43,24,4,16.67,4,16.67,4,16.67,4,16.67,2,8.33,2,8.33,0,0.0,0,0.0,0,0.0,0,0.0,2,8.33,2,8.33
0444,4,44,10,1,10.0,1,10.0,2,20.0,2,20.0,2,20.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0445,4,45,12,2,16.67,2,16.67,3,25.0,2,16.67,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,0,0.0,1,8.33,1,8.33
0446,4,46,4,1,25.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0
0447,4,47,23,4,17.39,3,13.04,5,21.74,5,21.74,1,4.35,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,2,8.7,2,8.7
0448,4,48,29,7,24.14,7,24.14,5,17.24,4,13.79,1,3.45,1,3.45,0,0.0,0,0.0,1,3.45,1,3.45,1,3.45,1,3.45
0449,4,49,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0
0450,4,50,4,0,0.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,25.0
0451,4,51,9,2,22.22,2,22.22,2,22.22,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,0,0.0
0452,4,52,4,1,25.0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0502,5,2,6,2,33.33,2,33.33,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0503,5,3,6,0,0.0,0,0.0,2,33.33,2,33.33,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0505,5,5,5,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,1,20.0,1,20.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0
0508,5,8,35,4,11.43,4,11.43,12,34.29,11,31.43,2,5.71,2,5.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0509,5,9,4,1,25.0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0510,5,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0512,5,12,9,1,11.11,0,0.0,2,22.22,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,33.33,2,22.22
0513,5,13,8,0,0.0,0,0.0,3,37.5,2,25.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,1,12.5
0515,5,15,6,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67
0516,5,16,3,1,33.33,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0517,5,17,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0518,5,18,7,0,0.0,1,14.29,2,28.57,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29
0519,5,19,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,2,50.0
0520,5,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0522,5,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0523,5,23,6,1,16.67,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.33,2,33.33
0525,5,25,4,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0
0527,5,27,67,6,8.96,6,8.96,24,35.82,24,35.82,1,1.49,2,2.99,0,0.0,0,0.0,1,1.49,1,1.49,1,1.49,1,1.49
0530,5,30,31,0,0.0,0,0.0,9,29.03,9,29.03,2,6.45,2,6.45,0,0.0,0,0.0,2,6.45,3,9.68,2,6.45,2,6.45
0533,5,33,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0
0535,5,35,28,6,21.43,6,21.43,6,21.43,7,25.0,2,7.14,1,3.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
