ward,precinct,total,Charles ''Charlie'' Johnson,Charles ''Charlie'' Johnson Percent
1304,13,4,5,5,100.0
2301,23,1,19,19,100.0
2302,23,2,11,11,100.0
2303,23,3,25,25,100.0
2304,23,4,18,18,100.0
2307,23,7,0,0,0.0
2308,23,8,16,16,100.0
2311,23,11,23,23,100.0
2312,23,12,19,19,100.0
2313,23,13,15,15,100.0
2314,23,14,0,0,0.0
2315,23,15,23,23,100.0
2316,23,16,17,17,100.0
2317,23,17,26,26,100.0
2318,23,18,16,16,100.0
2319,23,19,26,26,100.0
2320,23,20,12,12,100.0
2321,23,21,0,0,0.0
2322,23,22,18,18,100.0
2323,23,23,21,21,100.0
2326,23,26,39,39,100.0
2327,23,27,20,20,100.0
2328,23,28,16,16,100.0
2330,23,30,18,18,100.0
2334,23,34,17,17,100.0
2335,23,35,1,1,100.0
2336,23,36,23,23,100.0
2337,23,37,1,1,100.0
2338,23,38,18,18,100.0
2339,23,39,21,21,100.0
2340,23,40,30,30,100.0
2342,23,42,16,16,100.0
2343,23,43,22,22,100.0
2344,23,44,13,13,100.0
2345,23,45,18,18,100.0
2346,23,46,11,11,100.0
2347,23,47,26,26,100.0
2348,23,48,15,15,100.0
2349,23,49,22,22,100.0
2352,23,52,15,15,100.0
2354,23,54,21,21,100.0
2355,23,55,13,13,100.0
2356,23,56,21,21,100.0
