ward,precinct,total,Randal D. Perry (Sr.),Randal D. Perry (Sr.) Percent
3701,37,1,2,2,100.0
3702,37,2,2,2,100.0
3703,37,3,4,4,100.0
3704,37,4,3,3,100.0
3705,37,5,2,2,100.0
3706,37,6,1,1,100.0
3707,37,7,0,0,0.0
3708,37,8,3,3,100.0
3709,37,9,0,0,0.0
3710,37,10,1,1,100.0
3711,37,11,8,8,100.0
3712,37,12,3,3,100.0
3713,37,13,2,2,100.0
3714,37,14,0,0,0.0
3715,37,15,0,0,0.0
3716,37,16,1,1,100.0
3717,37,17,1,1,100.0
3718,37,18,1,1,100.0
3719,37,19,4,4,100.0
3720,37,20,0,0,0.0
3721,37,21,2,2,100.0
3722,37,22,2,2,100.0
3723,37,23,0,0,0.0
3724,37,24,2,2,100.0
3725,37,25,5,5,100.0
3726,37,26,0,0,0.0
3727,37,27,3,3,100.0
3728,37,28,2,2,100.0
3729,37,29,0,0,0.0
3730,37,30,0,0,0.0
3731,37,31,0,0,0.0
3732,37,32,1,1,100.0
3733,37,33,0,0,0.0
3734,37,34,0,0,0.0
3735,37,35,3,3,100.0
3736,37,36,0,0,0.0
3737,37,37,1,1,100.0
3738,37,38,1,1,100.0
3739,37,39,7,7,100.0
3740,37,40,0,0,0.0
3741,37,41,3,3,100.0
3742,37,42,7,7,100.0
3743,37,43,3,3,100.0
