ward,precinct,total,Jim Fuchs,Jim Fuchs Percent
4401,44,1,20,20,100.0
4402,44,2,18,18,100.0
4403,44,3,29,29,100.0
4404,44,4,26,26,100.0
4405,44,5,29,29,100.0
4406,44,6,33,33,100.0
4407,44,7,35,35,100.0
4408,44,8,13,13,100.0
4409,44,9,32,32,100.0
4410,44,10,24,24,100.0
4411,44,11,25,25,100.0
4412,44,12,16,16,100.0
4413,44,13,26,26,100.0
4414,44,14,23,23,100.0
4415,44,15,30,30,100.0
4416,44,16,19,19,100.0
4417,44,17,28,28,100.0
4418,44,18,17,17,100.0
4419,44,19,12,12,100.0
4420,44,20,21,21,100.0
4421,44,21,25,25,100.0
4422,44,22,32,32,100.0
4423,44,23,22,22,100.0
4424,44,24,17,17,100.0
4425,44,25,37,37,100.0
4426,44,26,25,25,100.0
4427,44,27,35,35,100.0
4428,44,28,26,26,100.0
4429,44,29,37,37,100.0
4430,44,30,14,14,100.0
4431,44,31,32,32,100.0
4432,44,32,20,20,100.0
4433,44,33,17,17,100.0
4434,44,34,19,19,100.0
4435,44,35,22,22,100.0
4436,44,36,31,31,100.0
4437,44,37,27,27,100.0
4438,44,38,36,36,100.0
4439,44,39,48,48,100.0
4440,44,40,26,26,100.0
4441,44,41,22,22,100.0
4442,44,42,27,27,100.0
4443,44,43,32,32,100.0
4444,44,44,28,28,100.0
4445,44,45,18,18,100.0
4446,44,46,24,24,100.0
4447,44,47,33,33,100.0
4448,44,48,17,17,100.0
4449,44,49,36,36,100.0
4450,44,50,44,44,100.0
4451,44,51,29,29,100.0
