ward,precinct,total,Mary Ann Esler,Mary Ann Esler Percent
3101,31,1,0,0,0.0
3102,31,2,0,0,0.0
3103,31,3,0,0,0.0
3104,31,4,0,0,0.0
3105,31,5,0,0,0.0
3106,31,6,0,0,0.0
3107,31,7,0,0,0.0
3108,31,8,1,1,100.0
3109,31,9,0,0,0.0
3110,31,10,0,0,0.0
3111,31,11,0,0,0.0
3112,31,12,0,0,0.0
3113,31,13,0,0,0.0
3114,31,14,0,0,0.0
3115,31,15,0,0,0.0
3116,31,16,0,0,0.0
3117,31,17,0,0,0.0
3118,31,18,0,0,0.0
3119,31,19,0,0,0.0
3120,31,20,0,0,0.0
3121,31,21,0,0,0.0
3122,31,22,0,0,0.0
3123,31,23,0,0,0.0
3124,31,24,0,0,0.0
3125,31,25,0,0,0.0
3126,31,26,1,1,100.0
3127,31,27,0,0,0.0
3128,31,28,4,4,100.0
3129,31,29,0,0,0.0
3130,31,30,0,0,0.0
3131,31,31,2,2,100.0
3132,31,32,0,0,0.0
3133,31,33,1,1,100.0
3134,31,34,0,0,0.0
3135,31,35,0,0,0.0
3136,31,36,0,0,0.0
3137,31,37,0,0,0.0
3138,31,38,0,0,0.0
3139,31,39,0,0,0.0
3140,31,40,0,0,0.0
3141,31,41,0,0,0.0
3142,31,42,0,0,0.0
3143,31,43,0,0,0.0
3144,31,44,0,0,0.0
3145,31,45,0,0,0.0
3146,31,46,0,0,0.0
3147,31,47,0,0,0.0
3148,31,48,0,0,0.0
3149,31,49,0,0,0.0
3150,31,50,0,0,0.0
3151,31,51,0,0,0.0
