ward,precinct,total,Dan Patlak,Dan Patlak Percent
1901,19,1,35,35,100.0
1902,19,2,18,18,100.0
1903,19,3,66,66,100.0
1904,19,4,105,105,100.0
1906,19,6,45,45,100.0
1908,19,8,111,111,100.0
1909,19,9,51,51,100.0
1911,19,11,83,83,100.0
1912,19,12,65,65,100.0
1915,19,15,108,108,100.0
1916,19,16,81,81,100.0
1919,19,19,14,14,100.0
1921,19,21,86,86,100.0
1922,19,22,50,50,100.0
1924,19,24,67,67,100.0
1929,19,29,12,12,100.0
1930,19,30,80,80,100.0
1933,19,33,98,98,100.0
1939,19,39,3,3,100.0
1941,19,41,73,73,100.0
1944,19,44,85,85,100.0
1945,19,45,83,83,100.0
1947,19,47,29,29,100.0
1951,19,51,47,47,100.0
1953,19,53,42,42,100.0
1954,19,54,87,87,100.0
1955,19,55,77,77,100.0
4103,41,3,60,60,100.0
4105,41,5,86,86,100.0
4107,41,7,103,103,100.0
4108,41,8,112,112,100.0
4111,41,11,75,75,100.0
4113,41,13,114,114,100.0
4115,41,15,85,85,100.0
4116,41,16,43,43,100.0
4117,41,17,86,86,100.0
4118,41,18,84,84,100.0
4120,41,20,64,64,100.0
4121,41,21,79,79,100.0
4122,41,22,84,84,100.0
4123,41,23,80,80,100.0
4125,41,25,55,55,100.0
4126,41,26,82,82,100.0
4127,41,27,28,28,100.0
4128,41,28,56,56,100.0
4129,41,29,52,52,100.0
4130,41,30,93,93,100.0
4131,41,31,80,80,100.0
4133,41,33,62,62,100.0
4134,41,34,62,62,100.0
4135,41,35,101,101,100.0
4136,41,36,89,89,100.0
4137,41,37,77,77,100.0
4138,41,38,63,63,100.0
4141,41,41,87,87,100.0
4143,41,43,97,97,100.0
4145,41,45,70,70,100.0
4146,41,46,90,90,100.0
4545,45,45,45,45,100.0
4546,45,46,48,48,100.0
4547,45,47,36,36,100.0
4548,45,48,66,66,100.0
