ward,precinct,total,Lori Yokoyama,Lori Yokoyama Percent
0401,4,1,21,21,100.0
0402,4,2,62,62,100.0
0403,4,3,3,3,100.0
0404,4,4,5,5,100.0
0405,4,5,9,9,100.0
0406,4,6,6,6,100.0
0407,4,7,6,6,100.0
0408,4,8,2,2,100.0
0409,4,9,3,3,100.0
0410,4,10,10,10,100.0
0411,4,11,6,6,100.0
0412,4,12,2,2,100.0
0413,4,13,23,23,100.0
0414,4,14,3,3,100.0
0415,4,15,8,8,100.0
0416,4,16,41,41,100.0
0417,4,17,46,46,100.0
0418,4,18,4,4,100.0
0419,4,19,0,0,0.0
0420,4,20,40,40,100.0
0421,4,21,48,48,100.0
0422,4,22,17,17,100.0
0423,4,23,23,23,100.0
0424,4,24,18,18,100.0
0425,4,25,53,53,100.0
0426,4,26,7,7,100.0
0427,4,27,19,19,100.0
0428,4,28,12,12,100.0
0429,4,29,4,4,100.0
0430,4,30,3,3,100.0
0431,4,31,8,8,100.0
0432,4,32,4,4,100.0
0433,4,33,11,11,100.0
0434,4,34,9,9,100.0
0435,4,35,4,4,100.0
0436,4,36,3,3,100.0
0437,4,37,64,64,100.0
0438,4,38,0,0,0.0
