ward,precinct,total,Lynn Renee Franco,Lynn Renee Franco Percent
0801,8,1,2,2,100.0
0802,8,2,1,1,100.0
0803,8,3,0,0,0.0
0804,8,4,1,1,100.0
0805,8,5,4,4,100.0
0806,8,6,3,3,100.0
0807,8,7,1,1,100.0
0808,8,8,0,0,0.0
0809,8,9,0,0,0.0
0810,8,10,3,3,100.0
0811,8,11,0,0,0.0
0812,8,12,0,0,0.0
0813,8,13,1,1,100.0
0814,8,14,3,3,100.0
0815,8,15,2,2,100.0
0816,8,16,0,0,0.0
0817,8,17,1,1,100.0
0818,8,18,2,2,100.0
0819,8,19,4,4,100.0
0820,8,20,2,2,100.0
0821,8,21,1,1,100.0
0822,8,22,0,0,0.0
0823,8,23,3,3,100.0
0824,8,24,2,2,100.0
0825,8,25,0,0,0.0
0826,8,26,2,2,100.0
0827,8,27,2,2,100.0
0828,8,28,2,2,100.0
0829,8,29,1,1,100.0
0830,8,30,0,0,0.0
0831,8,31,4,4,100.0
0832,8,32,2,2,100.0
0833,8,33,2,2,100.0
0834,8,34,1,1,100.0
0835,8,35,3,3,100.0
0836,8,36,1,1,100.0
0837,8,37,3,3,100.0
0838,8,38,1,1,100.0
0839,8,39,3,3,100.0
0840,8,40,0,0,0.0
0841,8,41,1,1,100.0
0842,8,42,1,1,100.0
0843,8,43,0,0,0.0
0844,8,44,2,2,100.0
0845,8,45,1,1,100.0
0846,8,46,1,1,100.0
0847,8,47,2,2,100.0
0848,8,48,0,0,0.0
0849,8,49,0,0,0.0
0850,8,50,0,0,0.0
0851,8,51,0,0,0.0
0852,8,52,0,0,0.0
0853,8,53,0,0,0.0
0854,8,54,1,1,100.0
0855,8,55,0,0,0.0
0856,8,56,2,2,100.0
