ward,precinct,total,Carl Segvich,Carl Segvich Percent,Richard A. Catezone,Richard A. Catezone Percent
1101,11,1,52,21,40.38,31,59.62
1102,11,2,10,8,80.0,2,20.0
1103,11,3,15,8,53.33,7,46.67
1104,11,4,30,17,56.67,13,43.33
1105,11,5,32,16,50.0,16,50.0
1106,11,6,63,38,60.32,25,39.68
1107,11,7,33,21,63.64,12,36.36
1108,11,8,32,19,59.38,13,40.63
1109,11,9,35,22,62.86,13,37.14
1110,11,10,39,20,51.28,19,48.72
1111,11,11,51,33,64.71,18,35.29
1112,11,12,79,40,50.63,39,49.37
1113,11,13,71,39,54.93,32,45.07
1114,11,14,47,18,38.3,29,61.7
1115,11,15,13,6,46.15,7,53.85
1116,11,16,35,22,62.86,13,37.14
1117,11,17,36,29,80.56,7,19.44
1118,11,18,29,15,51.72,14,48.28
1119,11,19,49,32,65.31,17,34.69
1120,11,20,42,12,28.57,30,71.43
1121,11,21,54,25,46.3,29,53.7
1122,11,22,62,41,66.13,21,33.87
1123,11,23,30,11,36.67,19,63.33
1124,11,24,41,22,53.66,19,46.34
1125,11,25,50,29,58.0,21,42.0
1126,11,26,57,32,56.14,25,43.86
1127,11,27,11,7,63.64,4,36.36
1128,11,28,19,10,52.63,9,47.37
1129,11,29,77,34,44.16,43,55.84
1130,11,30,30,14,46.67,16,53.33
1131,11,31,62,22,35.48,40,64.52
1132,11,32,63,11,17.46,52,82.54
1133,11,33,54,30,55.56,24,44.44
1134,11,34,36,15,41.67,21,58.33
1135,11,35,20,10,50.0,10,50.0
1136,11,36,40,6,15.0,34,85.0
1137,11,37,7,6,85.71,1,14.29
1138,11,38,8,6,75.0,2,25.0
