ward,precinct,total,Rosa Pritchett,Rosa Pritchett Percent
1501,15,1,13,13,100.0
1502,15,2,1,1,100.0
1503,15,3,1,1,100.0
1504,15,4,13,13,100.0
1505,15,5,10,10,100.0
1506,15,6,16,16,100.0
1507,15,7,1,1,100.0
1508,15,8,18,18,100.0
1509,15,9,15,15,100.0
1510,15,10,15,15,100.0
1511,15,11,20,20,100.0
1512,15,12,8,8,100.0
1513,15,13,6,6,100.0
1514,15,14,10,10,100.0
1515,15,15,8,8,100.0
1516,15,16,10,10,100.0
1517,15,17,3,3,100.0
1518,15,18,2,2,100.0
1519,15,19,8,8,100.0
1520,15,20,1,1,100.0
1521,15,21,0,0,0.0
1522,15,22,0,0,0.0
1523,15,23,1,1,100.0
1524,15,24,1,1,100.0
