ward,precinct,total,William Mr ''D'' Delay,William Mr ''D'' Delay Percent,Symeon Brown,Symeon Brown Percent
1801,18,1,6,3,50.0,3,50.0
1802,18,2,24,11,45.83,13,54.17
1803,18,3,31,20,64.52,11,35.48
1804,18,4,5,1,20.0,4,80.0
1805,18,5,0,0,0.0,0,0.0
1806,18,6,47,28,59.57,19,40.43
1807,18,7,13,9,69.23,4,30.77
1808,18,8,8,2,25.0,6,75.0
1809,18,9,8,4,50.0,4,50.0
1810,18,10,6,2,33.33,4,66.67
1811,18,11,15,12,80.0,3,20.0
1812,18,12,28,22,78.57,6,21.43
1813,18,13,5,1,20.0,4,80.0
1814,18,14,2,0,0.0,2,100.0
1815,18,15,13,5,38.46,8,61.54
1816,18,16,8,4,50.0,4,50.0
1817,18,17,8,3,37.5,5,62.5
1818,18,18,3,2,66.67,1,33.33
1819,18,19,6,1,16.67,5,83.33
1820,18,20,0,0,0.0,0,0.0
1821,18,21,8,4,50.0,4,50.0
1822,18,22,6,0,0.0,6,100.0
1823,18,23,10,6,60.0,4,40.0
1824,18,24,32,22,68.75,10,31.25
1825,18,25,23,14,60.87,9,39.13
1826,18,26,10,4,40.0,6,60.0
1827,18,27,8,3,37.5,5,62.5
1828,18,28,47,32,68.09,15,31.91
1829,18,29,23,8,34.78,15,65.22
1830,18,30,57,31,54.39,26,45.61
1831,18,31,7,4,57.14,3,42.86
1832,18,32,1,0,0.0,1,100.0
1833,18,33,1,1,100.0,0,0.0
1834,18,34,10,5,50.0,5,50.0
1835,18,35,5,3,60.0,2,40.0
1836,18,36,22,17,77.27,5,22.73
1837,18,37,7,2,28.57,5,71.43
1838,18,38,2,1,50.0,1,50.0
1839,18,39,4,3,75.0,1,25.0
1840,18,40,27,16,59.26,11,40.74
1841,18,41,5,0,0.0,5,100.0
1842,18,42,7,4,57.14,3,42.86
1843,18,43,18,10,55.56,8,44.44
1844,18,44,45,35,77.78,10,22.22
1845,18,45,11,5,45.45,6,54.55
1846,18,46,26,18,69.23,8,30.77
1847,18,47,4,2,50.0,2,50.0
1848,18,48,3,1,33.33,2,66.67
1849,18,49,7,4,57.14,3,42.86
1850,18,50,3,0,0.0,3,100.0
