ward,precinct,total,Robert J. Handzik,Robert J. Handzik Percent
2301,23,1,39,39,100.0
2302,23,2,62,62,100.0
2303,23,3,70,70,100.0
2304,23,4,35,35,100.0
2305,23,5,11,11,100.0
2306,23,6,15,15,100.0
2307,23,7,18,18,100.0
2308,23,8,23,23,100.0
2309,23,9,12,12,100.0
2310,23,10,16,16,100.0
2311,23,11,11,11,100.0
2312,23,12,62,62,100.0
2313,23,13,12,12,100.0
2314,23,14,47,47,100.0
2315,23,15,22,22,100.0
2316,23,16,51,51,100.0
2317,23,17,5,5,100.0
2318,23,18,44,44,100.0
2319,23,19,18,18,100.0
2320,23,20,14,14,100.0
2321,23,21,57,57,100.0
2322,23,22,29,29,100.0
2323,23,23,53,53,100.0
2324,23,24,17,17,100.0
2325,23,25,17,17,100.0
2326,23,26,27,27,100.0
2327,23,27,39,39,100.0
2328,23,28,55,55,100.0
2329,23,29,27,27,100.0
2330,23,30,14,14,100.0
2331,23,31,9,9,100.0
2332,23,32,23,23,100.0
2333,23,33,23,23,100.0
2334,23,34,5,5,100.0
2335,23,35,40,40,100.0
2336,23,36,53,53,100.0
2337,23,37,49,49,100.0
2338,23,38,43,43,100.0
2339,23,39,11,11,100.0
