ward,precinct,total,Roisin M. Dohl,Roisin M. Dohl Percent
4501,45,1,21,21,100.0
4502,45,2,16,16,100.0
4503,45,3,38,38,100.0
4504,45,4,38,38,100.0
4505,45,5,38,38,100.0
4506,45,6,56,56,100.0
4507,45,7,72,72,100.0
4508,45,8,37,37,100.0
4509,45,9,39,39,100.0
4510,45,10,59,59,100.0
4511,45,11,29,29,100.0
4512,45,12,48,48,100.0
4513,45,13,36,36,100.0
4514,45,14,49,49,100.0
4515,45,15,35,35,100.0
4516,45,16,28,28,100.0
4517,45,17,67,67,100.0
4518,45,18,64,64,100.0
4519,45,19,27,27,100.0
4520,45,20,42,42,100.0
4521,45,21,60,60,100.0
4522,45,22,46,46,100.0
4523,45,23,59,59,100.0
4524,45,24,61,61,100.0
4525,45,25,42,42,100.0
4526,45,26,37,37,100.0
4527,45,27,50,50,100.0
4528,45,28,53,53,100.0
4529,45,29,47,47,100.0
4530,45,30,29,29,100.0
4531,45,31,36,36,100.0
4532,45,32,40,40,100.0
4533,45,33,23,23,100.0
4534,45,34,41,41,100.0
4535,45,35,57,57,100.0
4536,45,36,56,56,100.0
4537,45,37,55,55,100.0
4538,45,38,36,36,100.0
4539,45,39,54,54,100.0
4540,45,40,64,64,100.0
4541,45,41,53,53,100.0
4542,45,42,49,49,100.0
4543,45,43,79,79,100.0
4544,45,44,71,71,100.0
4545,45,45,48,48,100.0
4546,45,46,48,48,100.0
4547,45,47,37,37,100.0
4548,45,48,68,68,100.0
