ward,precinct,total,Isaac ''Ike'' Sims Carothers,Isaac ''Ike'' Sims Carothers Percent
2901,29,1,178,178,100.0
2902,29,2,110,110,100.0
2903,29,3,227,227,100.0
2904,29,4,164,164,100.0
2905,29,5,138,138,100.0
2906,29,6,80,80,100.0
2907,29,7,101,101,100.0
2908,29,8,114,114,100.0
2909,29,9,96,96,100.0
2910,29,10,139,139,100.0
2911,29,11,168,168,100.0
2912,29,12,181,181,100.0
2913,29,13,163,163,100.0
2914,29,14,220,220,100.0
2915,29,15,166,166,100.0
2916,29,16,196,196,100.0
2917,29,17,121,121,100.0
2918,29,18,188,188,100.0
2919,29,19,133,133,100.0
2920,29,20,163,163,100.0
2921,29,21,112,112,100.0
2922,29,22,160,160,100.0
2923,29,23,157,157,100.0
2924,29,24,115,115,100.0
2925,29,25,145,145,100.0
2926,29,26,209,209,100.0
2927,29,27,105,105,100.0
2928,29,28,198,198,100.0
2929,29,29,207,207,100.0
2930,29,30,106,106,100.0
2931,29,31,126,126,100.0
2932,29,32,116,116,100.0
2933,29,33,193,193,100.0
2934,29,34,108,108,100.0
2935,29,35,108,108,100.0
2936,29,36,168,168,100.0
2937,29,37,146,146,100.0
2938,29,38,143,143,100.0
2939,29,39,119,119,100.0
2940,29,40,206,206,100.0
2941,29,41,198,198,100.0
2942,29,42,174,174,100.0
2943,29,43,206,206,100.0
2944,29,44,131,131,100.0
2945,29,45,121,121,100.0
2946,29,46,128,128,100.0
2947,29,47,202,202,100.0
2948,29,48,123,123,100.0
2949,29,49,211,211,100.0
2950,29,50,141,141,100.0
2951,29,51,133,133,100.0
2952,29,52,75,75,100.0
