ward,precinct,total,Brendan Reilly,Brendan Reilly Percent,Burton F. Natarus,Burton F. Natarus Percent
4201,42,1,286,143,50.0,143,50.0
4202,42,2,145,92,63.45,53,36.55
4203,42,3,200,143,71.5,57,28.5
4204,42,4,205,126,61.46,79,38.54
4205,42,5,203,118,58.13,85,41.87
4206,42,6,424,215,50.71,209,49.29
4207,42,7,205,101,49.27,104,50.73
4208,42,8,232,122,52.59,110,47.41
4209,42,9,268,166,61.94,102,38.06
4210,42,10,131,74,56.49,57,43.51
4211,42,11,248,118,47.58,130,52.42
4212,42,12,117,60,51.28,57,48.72
4213,42,13,398,210,52.76,188,47.24
4214,42,14,164,88,53.66,76,46.34
4215,42,15,245,158,64.49,87,35.51
4216,42,16,109,60,55.05,49,44.95
4217,42,17,318,168,52.83,150,47.17
4218,42,18,208,116,55.77,92,44.23
4219,42,19,71,47,66.2,24,33.8
4220,42,20,103,59,57.28,44,42.72
4221,42,21,89,43,48.31,46,51.69
4222,42,22,120,73,60.83,47,39.17
4223,42,23,267,148,55.43,119,44.57
4224,42,24,245,123,50.2,122,49.8
4225,42,25,199,125,62.81,74,37.19
4226,42,26,229,113,49.34,116,50.66
4227,42,27,281,126,44.84,155,55.16
4228,42,28,231,133,57.58,98,42.42
4229,42,29,241,118,48.96,123,51.04
4230,42,30,126,78,61.9,48,38.1
4231,42,31,127,93,73.23,34,26.77
4232,42,32,105,69,65.71,36,34.29
4233,42,33,284,148,52.11,136,47.89
4234,42,34,181,91,50.28,90,49.72
4235,42,35,195,80,41.03,115,58.97
4236,42,36,148,84,56.76,64,43.24
4237,42,37,185,80,43.24,105,56.76
4238,42,38,186,85,45.7,101,54.3
4239,42,39,167,37,22.16,130,77.84
4240,42,40,213,121,56.81,92,43.19
4241,42,41,157,107,68.15,50,31.85
4242,42,42,135,72,53.33,63,46.67
4243,42,43,231,89,38.53,142,61.47
4244,42,44,211,105,49.76,106,50.24
4245,42,45,187,102,54.55,85,45.45
4246,42,46,123,77,62.6,46,37.4
4247,42,47,155,83,53.55,72,46.45
4248,42,48,160,89,55.63,71,44.38
4249,42,49,98,24,24.49,74,75.51
4250,42,50,174,71,40.8,103,59.2
4251,42,51,222,114,51.35,108,48.65
4252,42,52,120,71,59.17,49,40.83
4253,42,53,189,107,56.61,82,43.39
4254,42,54,121,82,67.77,39,32.23
4255,42,55,216,172,79.63,44,20.37
4256,42,56,151,98,64.9,53,35.1
4257,42,57,120,72,60.0,48,40.0
4258,42,58,80,46,57.5,34,42.5
4259,42,59,193,115,59.59,78,40.41
4260,42,60,83,39,46.99,44,53.01
4261,42,61,140,47,33.57,93,66.43
4262,42,62,171,97,56.73,74,43.27
4263,42,63,224,108,48.21,116,51.79
4264,42,64,92,43,46.74,49,53.26
4265,42,65,197,147,74.62,50,25.38
4266,42,66,174,97,55.75,77,44.25
4267,42,67,241,129,53.53,112,46.47
4268,42,68,125,73,58.4,52,41.6
4269,42,69,122,75,61.48,47,38.52
