ward,precinct,total,Tom Tunney,Tom Tunney Percent
4401,44,1,131,131,100.0
4402,44,2,108,108,100.0
4403,44,3,232,232,100.0
4404,44,4,221,221,100.0
4405,44,5,140,140,100.0
4406,44,6,82,82,100.0
4407,44,7,171,171,100.0
4408,44,8,73,73,100.0
4409,44,9,76,76,100.0
4410,44,10,46,46,100.0
4411,44,11,97,97,100.0
4412,44,12,102,102,100.0
4413,44,13,78,78,100.0
4414,44,14,78,78,100.0
4415,44,15,150,150,100.0
4416,44,16,113,113,100.0
4417,44,17,124,124,100.0
4418,44,18,71,71,100.0
4419,44,19,75,75,100.0
4420,44,20,99,99,100.0
4421,44,21,105,105,100.0
4422,44,22,187,187,100.0
4423,44,23,88,88,100.0
4424,44,24,75,75,100.0
4425,44,25,100,100,100.0
4426,44,26,73,73,100.0
4427,44,27,113,113,100.0
4428,44,28,75,75,100.0
4429,44,29,103,103,100.0
4430,44,30,107,107,100.0
4431,44,31,97,97,100.0
4432,44,32,70,70,100.0
4433,44,33,119,119,100.0
4434,44,34,111,111,100.0
4435,44,35,142,142,100.0
4436,44,36,100,100,100.0
4437,44,37,164,164,100.0
4438,44,38,75,75,100.0
4439,44,39,94,94,100.0
4440,44,40,132,132,100.0
4441,44,41,151,151,100.0
4442,44,42,170,170,100.0
4443,44,43,128,128,100.0
4444,44,44,176,176,100.0
4445,44,45,124,124,100.0
4446,44,46,82,82,100.0
4447,44,47,134,134,100.0
4448,44,48,114,114,100.0
4449,44,49,166,166,100.0
4450,44,50,111,111,100.0
4451,44,51,71,71,100.0
