ward,precinct,total,Gene Schulter,Gene Schulter Percent,Martin P. Cooney,Martin P. Cooney Percent
4701,47,1,189,160,84.66,29,15.34
4702,47,2,171,108,63.16,63,36.84
4703,47,3,151,105,69.54,46,30.46
4704,47,4,222,160,72.07,62,27.93
4705,47,5,185,146,78.92,39,21.08
4706,47,6,227,179,78.85,48,21.15
4707,47,7,187,144,77.01,43,22.99
4708,47,8,281,231,82.21,50,17.79
4709,47,9,183,132,72.13,51,27.87
4710,47,10,98,72,73.47,26,26.53
4711,47,11,281,238,84.7,43,15.3
4712,47,12,163,121,74.23,42,25.77
4713,47,13,236,186,78.81,50,21.19
4714,47,14,138,115,83.33,23,16.67
4715,47,15,146,111,76.03,35,23.97
4716,47,16,183,141,77.05,42,22.95
4717,47,17,199,156,78.39,43,21.61
4718,47,18,163,136,83.44,27,16.56
4719,47,19,223,189,84.75,34,15.25
4720,47,20,175,146,83.43,29,16.57
4721,47,21,211,166,78.67,45,21.33
4722,47,22,204,165,80.88,39,19.12
4723,47,23,91,70,76.92,21,23.08
4724,47,24,134,108,80.6,26,19.4
4725,47,25,191,164,85.86,27,14.14
4726,47,26,205,161,78.54,44,21.46
4727,47,27,150,114,76.0,36,24.0
4728,47,28,247,209,84.62,38,15.38
4729,47,29,160,119,74.38,41,25.63
4730,47,30,176,140,79.55,36,20.45
4731,47,31,164,123,75.0,41,25.0
4732,47,32,150,107,71.33,43,28.67
4733,47,33,189,149,78.84,40,21.16
4734,47,34,219,161,73.52,58,26.48
4735,47,35,230,183,79.57,47,20.43
4736,47,36,247,185,74.9,62,25.1
4737,47,37,217,184,84.79,33,15.21
4738,47,38,209,175,83.73,34,16.27
4739,47,39,170,120,70.59,50,29.41
4740,47,40,157,129,82.17,28,17.83
4741,47,41,286,250,87.41,36,12.59
4742,47,42,134,103,76.87,31,23.13
4743,47,43,114,89,78.07,25,21.93
4744,47,44,198,160,80.81,38,19.19
4745,47,45,160,111,69.38,49,30.63
4746,47,46,113,91,80.53,22,19.47
4747,47,47,169,119,70.41,50,29.59
4748,47,48,62,62,100.0,0,0.0
4749,47,49,104,80,76.92,24,23.08
4750,47,50,142,105,73.94,37,26.06
4751,47,51,144,91,63.19,53,36.81
4752,47,52,91,86,94.51,5,5.49
