ward,precinct,total,Mary Ann Smith,Mary Ann Smith Percent
4801,48,1,114,114,100.0
4802,48,2,139,139,100.0
4803,48,3,143,143,100.0
4804,48,4,164,164,100.0
4805,48,5,149,149,100.0
4806,48,6,160,160,100.0
4807,48,7,84,84,100.0
4808,48,8,94,94,100.0
4809,48,9,165,165,100.0
4810,48,10,60,60,100.0
4811,48,11,128,128,100.0
4812,48,12,95,95,100.0
4813,48,13,129,129,100.0
4814,48,14,235,235,100.0
4815,48,15,59,59,100.0
4816,48,16,120,120,100.0
4817,48,17,139,139,100.0
4818,48,18,96,96,100.0
4819,48,19,120,120,100.0
4820,48,20,55,55,100.0
4821,48,21,57,57,100.0
4822,48,22,258,258,100.0
4823,48,23,156,156,100.0
4824,48,24,187,187,100.0
4825,48,25,156,156,100.0
4826,48,26,131,131,100.0
4827,48,27,124,124,100.0
4828,48,28,122,122,100.0
4829,48,29,161,161,100.0
4830,48,30,102,102,100.0
4831,48,31,130,130,100.0
4832,48,32,88,88,100.0
4833,48,33,157,157,100.0
4834,48,34,89,89,100.0
4835,48,35,107,107,100.0
4836,48,36,177,177,100.0
4837,48,37,75,75,100.0
4838,48,38,158,158,100.0
4839,48,39,123,123,100.0
4840,48,40,69,69,100.0
4841,48,41,80,80,100.0
4842,48,42,74,74,100.0
4843,48,43,124,124,100.0
4844,48,44,96,96,100.0
4845,48,45,110,110,100.0
4846,48,46,99,99,100.0
4847,48,47,103,103,100.0
4848,48,48,120,120,100.0
4849,48,49,62,62,100.0
4850,48,50,161,161,100.0
4851,48,51,162,162,100.0
4852,48,52,85,85,100.0
4853,48,53,118,118,100.0
4854,48,54,91,91,100.0
4855,48,55,74,74,100.0
4856,48,56,113,113,100.0
