ward,precinct,total,Verne Peterson,Verne Peterson Percent
3301,33,1,0,0,0.0
3302,33,2,0,0,0.0
3303,33,3,0,0,0.0
3304,33,4,0,0,0.0
3305,33,5,0,0,0.0
3306,33,6,0,0,0.0
3307,33,7,0,0,0.0
3308,33,8,0,0,0.0
3309,33,9,0,0,0.0
3310,33,10,1,1,100.0
3311,33,11,0,0,0.0
3312,33,12,2,2,100.0
3313,33,13,2,2,100.0
3314,33,14,0,0,0.0
3315,33,15,0,0,0.0
3316,33,16,0,0,0.0
3317,33,17,1,1,100.0
3318,33,18,2,2,100.0
3319,33,19,0,0,0.0
3320,33,20,0,0,0.0
3321,33,21,0,0,0.0
3322,33,22,1,1,100.0
3323,33,23,0,0,0.0
3324,33,24,4,4,100.0
3325,33,25,0,0,0.0
3326,33,26,0,0,0.0
3327,33,27,1,1,100.0
3328,33,28,0,0,0.0
