ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Raymond G. Wardingley,Raymond G. Wardingley Percent
0351,3,51,87,74,85.06,13,14.94
1101,11,1,257,231,89.88,26,10.12
1102,11,2,210,176,83.81,34,16.19
1104,11,4,266,248,93.23,18,6.77
1105,11,5,164,149,90.85,15,9.15
1106,11,6,314,281,89.49,33,10.51
1107,11,7,231,201,87.01,30,12.99
1108,11,8,262,228,87.02,34,12.98
1109,11,9,193,170,88.08,23,11.92
1111,11,11,350,297,84.86,53,15.14
1112,11,12,252,226,89.68,26,10.32
1113,11,13,213,200,93.9,13,6.1
1115,11,15,214,190,88.79,24,11.21
1116,11,16,273,240,87.91,33,12.09
1117,11,17,315,278,88.25,37,11.75
1118,11,18,160,138,86.25,22,13.75
1119,11,19,218,191,87.61,27,12.39
1120,11,20,188,172,91.49,16,8.51
1121,11,21,276,255,92.39,21,7.61
1122,11,22,216,206,95.37,10,4.63
1123,11,23,219,197,89.95,22,10.05
1124,11,24,437,390,89.24,47,10.76
1125,11,25,212,183,86.32,29,13.68
1126,11,26,346,319,92.2,27,7.8
1129,11,29,288,260,90.28,28,9.72
1130,11,30,257,225,87.55,32,12.45
1131,11,31,194,172,88.66,22,11.34
1132,11,32,206,187,90.78,19,9.22
1133,11,33,170,153,90.0,17,10.0
1134,11,34,67,61,91.04,6,8.96
1135,11,35,353,318,90.08,35,9.92
1137,11,37,309,277,89.64,32,10.36
1138,11,38,358,306,85.47,52,14.53
1139,11,39,384,355,92.45,29,7.55
1140,11,40,167,155,92.81,12,7.19
1141,11,41,159,147,92.45,12,7.55
1142,11,42,180,165,91.67,15,8.33
1143,11,43,304,269,88.49,35,11.51
1144,11,44,223,184,82.51,39,17.49
1145,11,45,140,117,83.57,23,16.43
1147,11,47,245,218,88.98,27,11.02
1148,11,48,103,91,88.35,12,11.65
1149,11,49,218,192,88.07,26,11.93
1150,11,50,165,146,88.48,19,11.52
1301,13,1,277,237,85.56,40,14.44
1302,13,2,207,192,92.75,15,7.25
1304,13,4,411,334,81.27,77,18.73
1305,13,5,314,298,94.9,16,5.1
1306,13,6,278,246,88.49,32,11.51
1307,13,7,246,224,91.06,22,8.94
1308,13,8,316,263,83.23,53,16.77
1309,13,9,303,274,90.43,29,9.57
1310,13,10,248,211,85.08,37,14.92
