ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent,Glenn L. Harris,Glenn L. Harris Percent,Nathan Paul Helsabeck,Nathan Paul Helsabeck Percent
2407,24,7,179,174,97.21,2,1.12,3,1.68
2416,24,16,169,167,98.82,1,0.59,1,0.59
2441,24,41,194,188,96.91,5,2.58,1,0.52
2446,24,46,229,227,99.13,1,0.44,1,0.44
2801,28,1,176,174,98.86,1,0.57,1,0.57
2804,28,4,255,252,98.82,2,0.78,1,0.39
2808,28,8,168,163,97.02,3,1.79,2,1.19
2812,28,12,161,158,98.14,3,1.86,0,0.0
2814,28,14,141,138,97.87,2,1.42,1,0.71
2815,28,15,200,197,98.5,3,1.5,0,0.0
2817,28,17,169,161,95.27,4,2.37,4,2.37
2819,28,19,202,198,98.02,3,1.49,1,0.5
2821,28,21,249,246,98.8,2,0.8,1,0.4
2827,28,27,252,244,96.83,4,1.59,4,1.59
2839,28,39,173,170,98.27,3,1.73,0,0.0
2840,28,40,256,254,99.22,1,0.39,1,0.39
2841,28,41,189,182,96.3,4,2.12,3,1.59
2842,28,42,178,174,97.75,3,1.69,1,0.56
2845,28,45,218,214,98.17,4,1.83,0,0.0
2846,28,46,208,205,98.56,3,1.44,0,0.0
2851,28,51,181,178,98.34,3,1.66,0,0.0
2855,28,55,183,181,98.91,1,0.55,1,0.55
2856,28,56,197,193,97.97,3,1.52,1,0.51
2857,28,57,212,209,98.58,2,0.94,1,0.47
2858,28,58,187,179,95.72,7,3.74,1,0.53
2860,28,60,134,131,97.76,2,1.49,1,0.75
2901,29,1,260,256,98.46,3,1.15,1,0.38
2903,29,3,340,334,98.24,1,0.29,5,1.47
2910,29,10,178,175,98.31,2,1.12,1,0.56
2912,29,12,313,306,97.76,5,1.6,2,0.64
2914,29,14,329,321,97.57,7,2.13,1,0.3
2915,29,15,290,281,96.9,6,2.07,3,1.03
2917,29,17,211,206,97.63,1,0.47,4,1.9
2922,29,22,261,184,70.5,45,17.24,32,12.26
2925,29,25,253,246,97.23,6,2.37,1,0.4
2928,29,28,333,322,96.7,7,2.1,4,1.2
2931,29,31,235,230,97.87,3,1.28,2,0.85
2934,29,34,178,156,87.64,19,10.67,3,1.69
2936,29,36,274,269,98.18,1,0.36,4,1.46
2938,29,38,252,249,98.81,2,0.79,1,0.4
2942,29,42,302,298,98.68,4,1.32,0,0.0
2948,29,48,210,204,97.14,2,0.95,4,1.9
2949,29,49,292,290,99.32,2,0.68,0,0.0
3702,37,2,197,184,93.4,10,5.08,3,1.52
3703,37,3,0,0,0.0,0,0.0,0,0.0
3710,37,10,253,246,97.23,4,1.58,3,1.19
3714,37,14,321,315,98.13,6,1.87,0,0.0
3715,37,15,289,286,98.96,1,0.35,2,0.69
3716,37,16,251,240,95.62,10,3.98,1,0.4
3720,37,20,255,250,98.04,2,0.78,3,1.18
3721,37,21,294,288,97.96,4,1.36,2,0.68
3722,37,22,170,159,93.53,7,4.12,4,2.35
3723,37,23,219,214,97.72,4,1.83,1,0.46
3724,37,24,262,254,96.95,4,1.53,4,1.53
3725,37,25,314,297,94.59,10,3.18,7,2.23
3726,37,26,282,278,98.58,3,1.06,1,0.35
3727,37,27,280,271,96.79,6,2.14,3,1.07
3730,37,30,198,190,95.96,6,3.03,2,1.01
3731,37,31,276,270,97.83,6,2.17,0,0.0
3733,37,33,231,222,96.1,6,2.6,3,1.3
3734,37,34,282,278,98.58,4,1.42,0,0.0
3736,37,36,247,241,97.57,4,1.62,2,0.81
3740,37,40,268,266,99.25,0,0.0,2,0.75
3741,37,41,310,304,98.06,5,1.61,1,0.32
3743,37,43,222,211,95.05,9,4.05,2,0.9
