ward,precinct,total,Mark Dobrzycki,Mark Dobrzycki Percent,Michael P. McAuliffe,Michael P. McAuliffe Percent
2909,29,9,27,22,81.48,5,18.52
3605,36,5,226,106,46.9,120,53.1
3607,36,7,237,82,34.6,155,65.4
3608,36,8,280,121,43.21,159,56.79
3609,36,9,267,139,52.06,128,47.94
3610,36,10,177,90,50.85,87,49.15
3611,36,11,329,144,43.77,185,56.23
3612,36,12,200,107,53.5,93,46.5
3613,36,13,345,180,52.17,165,47.83
3614,36,14,278,145,52.16,133,47.84
3615,36,15,245,142,57.96,103,42.04
3617,36,17,248,83,33.47,165,66.53
3618,36,18,319,115,36.05,204,63.95
3619,36,19,281,162,57.65,119,42.35
3620,36,20,321,165,51.4,156,48.6
3621,36,21,447,194,43.4,253,56.6
3625,36,25,190,71,37.37,119,62.63
3627,36,27,165,64,38.79,101,61.21
3628,36,28,232,139,59.91,93,40.09
3629,36,29,231,100,43.29,131,56.71
3630,36,30,308,113,36.69,195,63.31
3631,36,31,292,136,46.58,156,53.42
3632,36,32,250,140,56.0,110,44.0
3634,36,34,220,70,31.82,150,68.18
3635,36,35,304,152,50.0,152,50.0
3637,36,37,248,120,48.39,128,51.61
3638,36,38,173,85,49.13,88,50.87
3639,36,39,260,118,45.38,142,54.62
3640,36,40,329,154,46.81,175,53.19
3642,36,42,226,111,49.12,115,50.88
3646,36,46,237,92,38.82,145,61.18
3647,36,47,204,78,38.24,126,61.76
3648,36,48,219,87,39.73,132,60.27
3649,36,49,309,129,41.75,180,58.25
3650,36,50,225,115,51.11,110,48.89
3652,36,52,214,142,66.36,72,33.64
3653,36,53,95,70,73.68,25,26.32
3803,38,3,193,90,46.63,103,53.37
3838,38,38,288,160,55.56,128,44.44
4101,41,1,386,105,27.2,281,72.8
4102,41,2,416,111,26.68,305,73.32
4103,41,3,386,158,40.93,228,59.07
4104,41,4,399,105,26.32,294,73.68
4105,41,5,409,144,35.21,265,64.79
4107,41,7,446,122,27.35,324,72.65
4108,41,8,370,91,24.59,279,75.41
4109,41,9,386,191,49.48,195,50.52
4111,41,11,407,107,26.29,300,73.71
4112,41,12,366,152,41.53,214,58.47
4115,41,15,370,115,31.08,255,68.92
4116,41,16,403,124,30.77,279,69.23
4117,41,17,378,137,36.24,241,63.76
4118,41,18,346,137,39.6,209,60.4
4120,41,20,433,113,26.1,320,73.9
4121,41,21,391,158,40.41,233,59.59
4122,41,22,337,103,30.56,234,69.44
4124,41,24,359,150,41.78,209,58.22
4130,41,30,405,161,39.75,244,60.25
4131,41,31,383,121,31.59,262,68.41
4133,41,33,300,64,21.33,236,78.67
4134,41,34,292,72,24.66,220,75.34
4135,41,35,404,151,37.38,253,62.62
4136,41,36,428,123,28.74,305,71.26
4137,41,37,397,78,19.65,319,80.35
4138,41,38,369,153,41.46,216,58.54
4140,41,40,407,87,21.38,320,78.62
4141,41,41,394,142,36.04,252,63.96
4142,41,42,436,80,18.35,356,81.65
4143,41,43,385,157,40.78,228,59.22
4145,41,45,322,133,41.3,189,58.7
4146,41,46,281,94,33.45,187,66.55
4149,41,49,430,95,22.09,335,77.91
4150,41,50,354,134,37.85,220,62.15
4151,41,51,241,100,41.49,141,58.51
4152,41,52,456,134,29.39,322,70.61
4155,41,55,339,90,26.55,249,73.45
4156,41,56,441,121,27.44,320,72.56
