ward,precinct,total,Milton ''Milt'' Patterson,Milton ''Milt'' Patterson Percent,Andrew Grant,Andrew Grant Percent
0604,6,4,184,174,94.57,10,5.43
0605,6,5,162,161,99.38,1,0.62
0606,6,6,244,237,97.13,7,2.87
0607,6,7,298,292,97.99,6,2.01
0611,6,11,214,205,95.79,9,4.21
0612,6,12,245,238,97.14,7,2.86
0615,6,15,192,191,99.48,1,0.52
0618,6,18,164,159,96.95,5,3.05
0620,6,20,247,244,98.79,3,1.21
0630,6,30,210,208,99.05,2,0.95
0632,6,32,294,284,96.6,10,3.4
0633,6,33,346,337,97.4,9,2.6
0636,6,36,163,156,95.71,7,4.29
0640,6,40,175,168,96.0,7,4.0
0648,6,48,268,264,98.51,4,1.49
0661,6,61,180,176,97.78,4,2.22
0662,6,62,258,249,96.51,9,3.49
1319,13,19,231,213,92.21,18,7.79
1326,13,26,192,168,87.5,24,12.5
1330,13,30,240,213,88.75,27,11.25
1347,13,47,241,215,89.21,26,10.79
1501,15,1,97,90,92.78,7,7.22
1506,15,6,204,192,94.12,12,5.88
1507,15,7,150,148,98.67,2,1.33
1508,15,8,277,266,96.03,11,3.97
1509,15,9,217,202,93.09,15,6.91
1511,15,11,222,214,96.4,8,3.6
1512,15,12,123,123,100.0,0,0.0
1513,15,13,146,137,93.84,9,6.16
1514,15,14,247,209,84.62,38,15.38
1515,15,15,185,175,94.59,10,5.41
1521,15,21,201,197,98.01,4,1.99
1525,15,25,177,166,93.79,11,6.21
1527,15,27,149,142,95.3,7,4.7
1528,15,28,191,160,83.77,31,16.23
1530,15,30,24,23,95.83,1,4.17
1532,15,32,197,182,92.39,15,7.61
1534,15,34,156,152,97.44,4,2.56
1541,15,41,254,236,92.91,18,7.09
1542,15,42,95,95,100.0,0,0.0
1544,15,44,195,178,91.28,17,8.72
1545,15,45,88,86,97.73,2,2.27
1546,15,46,141,139,98.58,2,1.42
1547,15,47,221,216,97.74,5,2.26
1549,15,49,65,60,92.31,5,7.69
1551,15,51,146,142,97.26,4,2.74
1635,16,35,198,184,92.93,14,7.07
1641,16,41,116,112,96.55,4,3.45
1701,17,1,175,171,97.71,4,2.29
1706,17,6,166,160,96.39,6,3.61
1708,17,8,208,205,98.56,3,1.44
1711,17,11,46,46,100.0,0,0.0
1713,17,13,160,154,96.25,6,3.75
1714,17,14,166,160,96.39,6,3.61
1716,17,16,179,173,96.65,6,3.35
1717,17,17,176,170,96.59,6,3.41
1719,17,19,95,94,98.95,1,1.05
1734,17,34,191,189,98.95,2,1.05
1736,17,36,126,122,96.83,4,3.17
1739,17,39,139,136,97.84,3,2.16
1740,17,40,2,2,100.0,0,0.0
1741,17,41,176,174,98.86,2,1.14
1742,17,42,177,175,98.87,2,1.13
1743,17,43,175,173,98.86,2,1.14
1745,17,45,134,126,94.03,8,5.97
1746,17,46,205,200,97.56,5,2.44
1749,17,49,174,171,98.28,3,1.72
1756,17,56,229,227,99.13,2,0.87
1758,17,58,163,159,97.55,4,2.45
1759,17,59,104,103,99.04,1,0.96
1760,17,60,300,296,98.67,4,1.33
1762,17,62,168,165,98.21,3,1.79
1763,17,63,183,181,98.91,2,1.09
1764,17,64,147,143,97.28,4,2.72
1801,18,1,142,133,93.66,9,6.34
1802,18,2,274,259,94.53,15,5.47
1805,18,5,299,293,97.99,6,2.01
1811,18,11,262,229,87.4,33,12.6
1815,18,15,183,147,80.33,36,19.67
1817,18,17,239,224,93.72,15,6.28
1821,18,21,397,376,94.71,21,5.29
1823,18,23,241,233,96.68,8,3.32
1827,18,27,254,237,93.31,17,6.69
1829,18,29,315,269,85.4,46,14.6
1831,18,31,260,241,92.69,19,7.31
1833,18,33,230,222,96.52,8,3.48
1839,18,39,253,239,94.47,14,5.53
1842,18,42,187,160,85.56,27,14.44
1843,18,43,205,175,85.37,30,14.63
1844,18,44,164,148,90.24,16,9.76
1847,18,47,243,230,94.65,13,5.35
1849,18,49,204,198,97.06,6,2.94
1850,18,50,258,248,96.12,10,3.88
1856,18,56,219,191,87.21,28,12.79
1857,18,57,213,203,95.31,10,4.69
1858,18,58,269,259,96.28,10,3.72
1859,18,59,197,192,97.46,5,2.54
1862,18,62,216,199,92.13,17,7.87
2010,20,10,202,199,98.51,3,1.49
2018,20,18,13,13,100.0,0,0.0
2025,20,25,119,116,97.48,3,2.52
2028,20,28,232,225,96.98,7,3.02
2030,20,30,228,225,98.68,3,1.32
2035,20,35,119,117,98.32,2,1.68
2049,20,49,183,176,96.17,7,3.83
