ward,precinct,total,James Michael McGing,James Michael McGing Percent,John Joseph Pembroke,John Joseph Pembroke Percent,Brian Grossman,Brian Grossman Percent
0142,1,42,1,1,,0,,0,
3001,30,1,108,52,48.15,24,22.22,32,29.63
3003,30,3,100,49,49.0,24,24.0,27,27.0
3015,30,15,115,32,27.83,19,16.52,64,55.65
3209,32,9,53,24,45.28,11,20.75,18,33.96
3215,32,15,15,5,33.33,1,6.67,9,60.0
3219,32,19,32,14,43.75,7,21.88,11,34.38
3221,32,21,72,30,41.67,10,13.89,32,44.44
3222,32,22,98,37,37.76,15,15.31,46,46.94
3225,32,25,73,40,54.79,6,8.22,27,36.99
3305,33,5,94,50,53.19,19,20.21,25,26.6
3309,33,9,137,78,56.93,22,16.06,37,27.01
3314,33,14,71,37,52.11,10,14.08,24,33.8
3318,33,18,37,17,45.95,6,16.22,14,37.84
3522,35,22,32,17,53.13,5,15.63,10,31.25
3533,35,33,48,25,52.08,9,18.75,14,29.17
3801,38,1,98,47,47.96,18,18.37,33,33.67
3804,38,4,49,25,51.02,12,24.49,12,24.49
3805,38,5,169,44,26.04,27,15.98,98,57.99
3807,38,7,92,38,41.3,13,14.13,41,44.57
3810,38,10,53,18,33.96,6,11.32,29,54.72
3841,38,41,145,97,66.9,21,14.48,27,18.62
3842,38,42,122,67,54.92,14,11.48,41,33.61
3901,39,1,123,54,43.9,21,17.07,48,39.02
3902,39,2,166,79,47.59,24,14.46,63,37.95
3903,39,3,138,89,64.49,16,11.59,33,23.91
3904,39,4,89,43,48.31,8,8.99,38,42.7
3905,39,5,68,25,36.76,11,16.18,32,47.06
3906,39,6,99,53,53.54,15,15.15,31,31.31
3907,39,7,76,48,63.16,8,10.53,20,26.32
3908,39,8,132,95,71.97,10,7.58,27,20.45
3909,39,9,127,91,71.65,17,13.39,19,14.96
3910,39,10,92,51,55.43,9,9.78,32,34.78
3911,39,11,174,121,69.54,27,15.52,26,14.94
3912,39,12,73,36,49.32,15,20.55,22,30.14
3913,39,13,48,28,58.33,4,8.33,16,33.33
3914,39,14,81,53,65.43,11,13.58,17,20.99
3915,39,15,104,66,63.46,13,12.5,25,24.04
3916,39,16,53,20,37.74,11,20.75,22,41.51
3917,39,17,72,35,48.61,5,6.94,32,44.44
3918,39,18,97,34,35.05,13,13.4,50,51.55
3919,39,19,82,45,54.88,8,9.76,29,35.37
