ward,precinct,total,Earlean Collins,Earlean Collins Percent
0102,1,2,48,48,100.0
0103,1,3,37,37,100.0
0104,1,4,74,74,100.0
0105,1,5,56,56,100.0
0106,1,6,47,47,100.0
0108,1,8,60,60,100.0
0110,1,10,61,61,100.0
0111,1,11,45,45,100.0
0117,1,17,54,54,100.0
0121,1,21,62,62,100.0
0123,1,23,2,2,100.0
0125,1,25,52,52,100.0
0126,1,26,38,38,100.0
0136,1,36,54,54,100.0
0137,1,37,49,49,100.0
0146,1,46,51,51,100.0
0147,1,47,38,38,100.0
0148,1,48,48,48,100.0
0149,1,49,25,25,100.0
0150,1,50,46,46,100.0
0203,2,3,92,92,100.0
0205,2,5,75,75,100.0
0206,2,6,6,6,100.0
0216,2,16,5,5,100.0
0223,2,23,92,92,100.0
0224,2,24,69,69,100.0
0245,2,45,103,103,100.0
0252,2,52,133,133,100.0
0253,2,53,42,42,100.0
0257,2,57,117,117,100.0
2455,24,55,62,62,100.0
2459,24,59,70,70,100.0
2646,26,46,18,18,100.0
2702,27,2,107,107,100.0
2703,27,3,99,99,100.0
2707,27,7,68,68,100.0
2708,27,8,124,124,100.0
2710,27,10,165,165,100.0
2714,27,14,148,148,100.0
2715,27,15,83,83,100.0
2717,27,17,52,52,100.0
2718,27,18,49,49,100.0
2719,27,19,87,87,100.0
2722,27,22,103,103,100.0
2723,27,23,20,20,100.0
2724,27,24,82,82,100.0
2725,27,25,75,75,100.0
2726,27,26,127,127,100.0
2727,27,27,55,55,100.0
2729,27,29,69,69,100.0
2730,27,30,58,58,100.0
2731,27,31,83,83,100.0
2733,27,33,69,69,100.0
2734,27,34,94,94,100.0
2736,27,36,96,96,100.0
2740,27,40,61,61,100.0
2741,27,41,68,68,100.0
2744,27,44,89,89,100.0
2745,27,45,95,95,100.0
2746,27,46,119,119,100.0
2747,27,47,69,69,100.0
2748,27,48,116,116,100.0
2749,27,49,116,116,100.0
2752,27,52,83,83,100.0
2753,27,53,60,60,100.0
2755,27,55,100,100,100.0
2756,27,56,50,50,100.0
2757,27,57,53,53,100.0
2801,28,1,137,137,100.0
2802,28,2,122,122,100.0
2803,28,3,81,81,100.0
2804,28,4,155,155,100.0
2805,28,5,105,105,100.0
2806,28,6,96,96,100.0
2807,28,7,110,110,100.0
2808,28,8,97,97,100.0
2809,28,9,78,78,100.0
2811,28,11,105,105,100.0
2812,28,12,88,88,100.0
2813,28,13,62,62,100.0
2814,28,14,74,74,100.0
2815,28,15,110,110,100.0
2816,28,16,97,97,100.0
2817,28,17,113,113,100.0
2818,28,18,152,152,100.0
2819,28,19,127,127,100.0
2820,28,20,137,137,100.0
2821,28,21,142,142,100.0
2822,28,22,103,103,100.0
2823,28,23,112,112,100.0
2824,28,24,63,63,100.0
2825,28,25,81,81,100.0
2826,28,26,131,131,100.0
2827,28,27,138,138,100.0
2828,28,28,81,81,100.0
2830,28,30,81,81,100.0
2831,28,31,103,103,100.0
2833,28,33,137,137,100.0
2837,28,37,216,216,100.0
2839,28,39,119,119,100.0
2840,28,40,157,157,100.0
2841,28,41,125,125,100.0
2842,28,42,90,90,100.0
2843,28,43,161,161,100.0
2844,28,44,135,135,100.0
2845,28,45,118,118,100.0
2846,28,46,142,142,100.0
2847,28,47,113,113,100.0
2848,28,48,48,48,100.0
2849,28,49,57,57,100.0
2851,28,51,105,105,100.0
2855,28,55,96,96,100.0
2856,28,56,120,120,100.0
2857,28,57,147,147,100.0
2858,28,58,124,124,100.0
2859,28,59,77,77,100.0
2860,28,60,66,66,100.0
2901,29,1,179,179,100.0
2903,29,3,216,216,100.0
2904,29,4,179,179,100.0
2905,29,5,154,154,100.0
2908,29,8,119,119,100.0
2910,29,10,124,124,100.0
2911,29,11,175,175,100.0
2912,29,12,201,201,100.0
2913,29,13,154,154,100.0
2914,29,14,251,251,100.0
2915,29,15,178,178,100.0
2916,29,16,194,194,100.0
2917,29,17,141,141,100.0
2918,29,18,206,206,100.0
2919,29,19,147,147,100.0
2920,29,20,161,161,100.0
2921,29,21,128,128,100.0
2922,29,22,118,118,100.0
2923,29,23,182,182,100.0
2925,29,25,169,169,100.0
2926,29,26,193,193,100.0
2927,29,27,112,112,100.0
2928,29,28,202,202,100.0
2929,29,29,214,214,100.0
2931,29,31,137,137,100.0
2933,29,33,190,190,100.0
2934,29,34,98,98,100.0
2935,29,35,124,124,100.0
2936,29,36,177,177,100.0
2937,29,37,156,156,100.0
2938,29,38,184,184,100.0
2940,29,40,286,286,100.0
2941,29,41,196,196,100.0
2942,29,42,202,202,100.0
2943,29,43,266,266,100.0
2944,29,44,212,212,100.0
2945,29,45,152,152,100.0
2946,29,46,137,137,100.0
2947,29,47,228,228,100.0
2948,29,48,134,134,100.0
2949,29,49,204,204,100.0
2950,29,50,124,124,100.0
2951,29,51,150,150,100.0
3211,32,11,55,55,100.0
3212,32,12,5,5,100.0
3246,32,46,5,5,100.0
3623,36,23,80,80,100.0
3624,36,24,152,152,100.0
3644,36,44,160,160,100.0
3654,36,54,170,170,100.0
3702,37,2,81,81,100.0
3703,37,3,68,68,100.0
3704,37,4,134,134,100.0
3705,37,5,183,183,100.0
3706,37,6,172,172,100.0
3707,37,7,174,174,100.0
3708,37,8,111,111,100.0
3709,37,9,155,155,100.0
3710,37,10,166,166,100.0
3712,37,12,73,73,100.0
3713,37,13,134,134,100.0
3714,37,14,222,222,100.0
3715,37,15,165,165,100.0
3716,37,16,150,150,100.0
3717,37,17,134,134,100.0
3718,37,18,161,161,100.0
3720,37,20,152,152,100.0
3721,37,21,163,163,100.0
3722,37,22,88,88,100.0
3723,37,23,112,112,100.0
3724,37,24,137,137,100.0
3725,37,25,177,177,100.0
3726,37,26,159,159,100.0
3727,37,27,189,189,100.0
3728,37,28,166,166,100.0
3729,37,29,151,151,100.0
3730,37,30,119,119,100.0
3731,37,31,181,181,100.0
3732,37,32,177,177,100.0
3733,37,33,136,136,100.0
3734,37,34,158,158,100.0
3735,37,35,156,156,100.0
3736,37,36,161,161,100.0
3737,37,37,170,170,100.0
3738,37,38,177,177,100.0
3740,37,40,145,145,100.0
3741,37,41,182,182,100.0
3743,37,43,134,134,100.0
