ward,precinct,total,John P. Daley,John P. Daley Percent
0310,3,10,50,50,100.0
0351,3,51,4,4,100.0
1101,11,1,180,180,100.0
1104,11,4,164,164,100.0
1105,11,5,79,79,100.0
1107,11,7,163,163,100.0
1108,11,8,156,156,100.0
1109,11,9,115,115,100.0
1110,11,10,83,83,100.0
1111,11,11,175,175,100.0
1112,11,12,207,207,100.0
1113,11,13,153,153,100.0
1115,11,15,144,144,100.0
1116,11,16,174,174,100.0
1117,11,17,73,73,100.0
1118,11,18,115,115,100.0
1119,11,19,109,109,100.0
1120,11,20,163,163,100.0
1121,11,21,228,228,100.0
1122,11,22,143,143,100.0
1123,11,23,145,145,100.0
1124,11,24,380,380,100.0
1125,11,25,133,133,100.0
1126,11,26,209,209,100.0
1128,11,28,142,142,100.0
1129,11,29,197,197,100.0
1130,11,30,129,129,100.0
1131,11,31,144,144,100.0
1132,11,32,154,154,100.0
1133,11,33,140,140,100.0
1134,11,34,42,42,100.0
1135,11,35,263,263,100.0
1137,11,37,219,219,100.0
1138,11,38,269,269,100.0
1139,11,39,277,277,100.0
1140,11,40,100,100,100.0
1141,11,41,128,128,100.0
1142,11,42,107,107,100.0
1143,11,43,198,198,100.0
1144,11,44,144,144,100.0
1145,11,45,85,85,100.0
1147,11,47,150,150,100.0
1148,11,48,71,71,100.0
1149,11,49,171,171,100.0
1150,11,50,118,118,100.0
1208,12,8,92,92,100.0
1301,13,1,147,147,100.0
1302,13,2,124,124,100.0
1304,13,4,235,235,100.0
1305,13,5,143,143,100.0
1306,13,6,168,168,100.0
1307,13,7,154,154,100.0
1308,13,8,186,186,100.0
1309,13,9,171,171,100.0
1310,13,10,168,168,100.0
1311,13,11,188,188,100.0
1312,13,12,155,155,100.0
1313,13,13,148,148,100.0
1314,13,14,117,117,100.0
1316,13,16,83,83,100.0
1317,13,17,187,187,100.0
1319,13,19,130,130,100.0
1321,13,21,207,207,100.0
1322,13,22,171,171,100.0
1323,13,23,121,121,100.0
1324,13,24,154,154,100.0
1325,13,25,134,134,100.0
1326,13,26,14,14,100.0
1327,13,27,194,194,100.0
1329,13,29,143,143,100.0
1332,13,32,152,152,100.0
1334,13,34,104,104,100.0
1335,13,35,120,120,100.0
1336,13,36,93,93,100.0
1337,13,37,112,112,100.0
1338,13,38,181,181,100.0
1339,13,39,148,148,100.0
1340,13,40,162,162,100.0
1341,13,41,161,161,100.0
1342,13,42,164,164,100.0
1343,13,43,119,119,100.0
1344,13,44,114,114,100.0
1345,13,45,252,252,100.0
1346,13,46,126,126,100.0
1347,13,47,126,126,100.0
1348,13,48,188,188,100.0
1349,13,49,177,177,100.0
1402,14,2,115,115,100.0
1425,14,25,130,130,100.0
1428,14,28,131,131,100.0
1506,15,6,78,78,100.0
1513,15,13,52,52,100.0
1515,15,15,60,60,100.0
1522,15,22,91,91,100.0
1524,15,24,100,100,100.0
1529,15,29,43,43,100.0
1533,15,33,64,64,100.0
1544,15,44,11,11,100.0
1545,15,45,46,46,100.0
1550,15,50,71,71,100.0
1601,16,1,49,49,100.0
1602,16,2,69,69,100.0
1606,16,6,41,41,100.0
1607,16,7,72,72,100.0
1608,16,8,91,91,100.0
1610,16,10,76,76,100.0
1611,16,11,82,82,100.0
1612,16,12,64,64,100.0
1613,16,13,14,14,100.0
1618,16,18,86,86,100.0
1619,16,19,75,75,100.0
1623,16,23,30,30,100.0
1624,16,24,58,58,100.0
1629,16,29,64,64,100.0
1630,16,30,63,63,100.0
1638,16,38,108,108,100.0
1644,16,44,53,53,100.0
1801,18,1,85,85,100.0
1802,18,2,137,137,100.0
1803,18,3,127,127,100.0
1806,18,6,122,122,100.0
1807,18,7,19,19,100.0
1811,18,11,150,150,100.0
1815,18,15,83,83,100.0
1817,18,17,117,117,100.0
1823,18,23,129,129,100.0
1828,18,28,186,186,100.0
1829,18,29,169,169,100.0
1836,18,36,94,94,100.0
1841,18,41,159,159,100.0
1843,18,43,98,98,100.0
1848,18,48,86,86,100.0
1855,18,55,144,144,100.0
1856,18,56,116,116,100.0
1857,18,57,120,120,100.0
1862,18,62,100,100,100.0
1901,19,1,247,247,100.0
1902,19,2,197,197,100.0
1903,19,3,185,185,100.0
1904,19,4,188,188,100.0
1905,19,5,229,229,100.0
1906,19,6,168,168,100.0
1907,19,7,219,219,100.0
1908,19,8,167,167,100.0
1909,19,9,155,155,100.0
1910,19,10,262,262,100.0
1911,19,11,234,234,100.0
1912,19,12,204,204,100.0
1913,19,13,157,157,100.0
1914,19,14,139,139,100.0
1915,19,15,134,134,100.0
1916,19,16,279,279,100.0
1917,19,17,239,239,100.0
1918,19,18,265,265,100.0
1919,19,19,223,223,100.0
1920,19,20,174,174,100.0
1921,19,21,172,172,100.0
1922,19,22,235,235,100.0
1923,19,23,242,242,100.0
1924,19,24,186,186,100.0
1925,19,25,244,244,100.0
1926,19,26,247,247,100.0
1927,19,27,116,116,100.0
1928,19,28,232,232,100.0
1929,19,29,178,178,100.0
1930,19,30,185,185,100.0
1931,19,31,193,193,100.0
1932,19,32,283,283,100.0
1933,19,33,215,215,100.0
