ward,precinct,total,Forrest Claypool,Forrest Claypool Percent
0112,1,12,74,74,100.0
0114,1,14,86,86,100.0
0131,1,31,60,60,100.0
0132,1,32,31,31,100.0
0135,1,35,32,32,100.0
0142,1,42,1,1,100.0
0144,1,44,4,4,100.0
2711,27,11,105,105,100.0
2750,27,50,78,78,100.0
2754,27,54,54,54,100.0
3001,30,1,112,112,100.0
3007,30,7,70,70,100.0
3009,30,9,117,117,100.0
3010,30,10,62,62,100.0
3011,30,11,56,56,100.0
3013,30,13,67,67,100.0
3014,30,14,26,26,100.0
3028,30,28,72,72,100.0
3030,30,30,103,103,100.0
3034,30,34,118,118,100.0
3035,30,35,81,81,100.0
3037,30,37,64,64,100.0
3038,30,38,113,113,100.0
3039,30,39,86,86,100.0
3040,30,40,67,67,100.0
3103,31,3,77,77,100.0
3108,31,8,62,62,100.0
3109,31,9,63,63,100.0
3115,31,15,34,34,100.0
3118,31,18,11,11,100.0
3119,31,19,62,62,100.0
3126,31,26,36,36,100.0
3128,31,28,59,59,100.0
3129,31,29,61,61,100.0
3132,31,32,69,69,100.0
3135,31,35,49,49,100.0
3138,31,38,45,45,100.0
3141,31,41,45,45,100.0
3143,31,43,69,69,100.0
3145,31,45,51,51,100.0
3146,31,46,49,49,100.0
3147,31,47,84,84,100.0
3148,31,48,65,65,100.0
3149,31,49,43,43,100.0
3150,31,50,62,62,100.0
3151,31,51,37,37,100.0
3201,32,1,102,102,100.0
3202,32,2,101,101,100.0
3203,32,3,55,55,100.0
3204,32,4,101,101,100.0
3205,32,5,60,60,100.0
3206,32,6,112,112,100.0
3207,32,7,52,52,100.0
3208,32,8,111,111,100.0
3209,32,9,166,166,100.0
3210,32,10,83,83,100.0
3212,32,12,58,58,100.0
3213,32,13,33,33,100.0
3214,32,14,69,69,100.0
3215,32,15,61,61,100.0
3216,32,16,83,83,100.0
3217,32,17,71,71,100.0
3218,32,18,67,67,100.0
3220,32,20,82,82,100.0
3221,32,21,77,77,100.0
3222,32,22,114,114,100.0
3223,32,23,121,121,100.0
3224,32,24,65,65,100.0
3225,32,25,72,72,100.0
3226,32,26,73,73,100.0
3227,32,27,76,76,100.0
3228,32,28,73,73,100.0
3229,32,29,97,97,100.0
3230,32,30,60,60,100.0
3231,32,31,117,117,100.0
3232,32,32,75,75,100.0
3233,32,33,87,87,100.0
3234,32,34,103,103,100.0
3235,32,35,132,132,100.0
3236,32,36,98,98,100.0
3237,32,37,65,65,100.0
3238,32,38,84,84,100.0
3239,32,39,101,101,100.0
3240,32,40,108,108,100.0
3241,32,41,102,102,100.0
3242,32,42,108,108,100.0
3243,32,43,105,105,100.0
3245,32,45,89,89,100.0
3246,32,46,30,30,100.0
3248,32,48,107,107,100.0
3252,32,52,41,41,100.0
3305,33,5,70,70,100.0
3314,33,14,84,84,100.0
3318,33,18,42,42,100.0
3636,36,36,81,81,100.0
3641,36,41,83,83,100.0
3643,36,43,88,88,100.0
3801,38,1,110,110,100.0
3802,38,2,85,85,100.0
3804,38,4,42,42,100.0
3805,38,5,174,174,100.0
3806,38,6,87,87,100.0
3807,38,7,111,111,100.0
3809,38,9,90,90,100.0
3810,38,10,148,148,100.0
3811,38,11,73,73,100.0
3813,38,13,75,75,100.0
3814,38,14,103,103,100.0
3815,38,15,85,85,100.0
3816,38,16,113,113,100.0
3817,38,17,103,103,100.0
3818,38,18,114,114,100.0
3820,38,20,131,131,100.0
3821,38,21,93,93,100.0
3822,38,22,107,107,100.0
3823,38,23,69,69,100.0
3824,38,24,58,58,100.0
3825,38,25,86,86,100.0
3826,38,26,63,63,100.0
3827,38,27,66,66,100.0
3828,38,28,79,79,100.0
3829,38,29,89,89,100.0
3830,38,30,93,93,100.0
3831,38,31,121,121,100.0
3832,38,32,120,120,100.0
3833,38,33,81,81,100.0
3834,38,34,63,63,100.0
3835,38,35,107,107,100.0
3836,38,36,98,98,100.0
3837,38,37,99,99,100.0
3839,38,39,100,100,100.0
3840,38,40,96,96,100.0
3841,38,41,123,123,100.0
3842,38,42,129,129,100.0
3843,38,43,121,121,100.0
3844,38,44,95,95,100.0
3845,38,45,109,109,100.0
3846,38,46,84,84,100.0
3847,38,47,88,88,100.0
3848,38,48,111,111,100.0
3849,38,49,80,80,100.0
3850,38,50,112,112,100.0
3851,38,51,71,71,100.0
3852,38,52,111,111,100.0
3853,38,53,19,19,100.0
3905,39,5,70,70,100.0
3906,39,6,103,103,100.0
3907,39,7,86,86,100.0
3908,39,8,147,147,100.0
3909,39,9,130,130,100.0
3910,39,10,83,83,100.0
3911,39,11,169,169,100.0
3912,39,12,82,82,100.0
3914,39,14,87,87,100.0
3919,39,19,79,79,100.0
3921,39,21,80,80,100.0
3922,39,22,71,71,100.0
3925,39,25,108,108,100.0
3927,39,27,144,144,100.0
3928,39,28,119,119,100.0
3929,39,29,129,129,100.0
3930,39,30,57,57,100.0
3931,39,31,58,58,100.0
3933,39,33,129,129,100.0
3934,39,34,119,119,100.0
3935,39,35,144,144,100.0
3938,39,38,145,145,100.0
3943,39,43,90,90,100.0
3944,39,44,108,108,100.0
3945,39,45,65,65,100.0
3946,39,46,95,95,100.0
4001,40,1,77,77,100.0
4005,40,5,108,108,100.0
4006,40,6,85,85,100.0
4014,40,14,79,79,100.0
