ward,precinct,total,Dean T. Maragos,Dean T. Maragos Percent,Debra Shore,Debra Shore Percent,Patricia Horton,Patricia Horton Percent,Terrence J. O'Brien,Terrence J. O'Brien Percent,James ''Jim'' Harris,James ''Jim'' Harris Percent,Barrett F. Pedersen,Barrett F. Pedersen Percent,Boguslaw ''Bogie'' Stefanski,Boguslaw ''Bogie'' Stefanski Percent,"Lewis W. Powell, III","Lewis W. Powell, III Percent",Frank Avila,Frank Avila Percent
0101,1,1,185,21,11.35,29,15.68,19,10.27,28,15.14,12,6.49,11,5.95,21,11.35,7,3.78,37,20.0
0102,1,2,126,14,11.11,19,15.08,15,11.9,17,13.49,11,8.73,7,5.56,17,13.49,5,3.97,21,16.67
0103,1,3,100,7,7.0,34,34.0,14,14.0,12,12.0,5,5.0,6,6.0,4,4.0,5,5.0,13,13.0
0104,1,4,203,18,8.87,56,27.59,30,14.78,29,14.29,12,5.91,7,3.45,12,5.91,13,6.4,26,12.81
0105,1,5,166,17,10.24,40,24.1,29,17.47,19,11.45,10,6.02,7,4.22,15,9.04,7,4.22,22,13.25
0106,1,6,186,19,10.22,31,16.67,15,8.06,26,13.98,12,6.45,10,5.38,25,13.44,8,4.3,40,21.51
0107,1,7,215,34,15.81,33,15.35,27,12.56,31,14.42,23,10.7,8,3.72,8,3.72,11,5.12,40,18.6
0108,1,8,158,13,8.23,40,25.32,14,8.86,20,12.66,14,8.86,12,7.59,14,8.86,12,7.59,19,12.03
0109,1,9,275,27,9.82,55,20.0,40,14.55,29,10.55,30,10.91,8,2.91,22,8.0,15,5.45,49,17.82
0110,1,10,186,18,9.68,54,29.03,21,11.29,27,14.52,8,4.3,3,1.61,16,8.6,13,6.99,26,13.98
0111,1,11,100,9,9.0,22,22.0,11,11.0,14,14.0,5,5.0,1,1.0,10,10.0,3,3.0,25,25.0
0112,1,12,190,19,10.0,37,19.47,31,16.32,25,13.16,14,7.37,6,3.16,11,5.79,7,3.68,40,21.05
0113,1,13,250,29,11.6,37,14.8,22,8.8,29,11.6,30,12.0,10,4.0,21,8.4,11,4.4,61,24.4
0114,1,14,226,19,8.41,44,19.47,30,13.27,31,13.72,25,11.06,6,2.65,8,3.54,18,7.96,45,19.91
0115,1,15,176,17,9.66,27,15.34,22,12.5,17,9.66,21,11.93,5,2.84,8,4.55,13,7.39,46,26.14
0116,1,16,85,9,10.59,18,21.18,16,18.82,6,7.06,6,7.06,1,1.18,4,4.71,7,8.24,18,21.18
0117,1,17,125,14,11.2,37,29.6,19,15.2,16,12.8,8,6.4,3,2.4,5,4.0,7,5.6,16,12.8
0118,1,18,131,19,14.5,20,15.27,19,14.5,14,10.69,12,9.16,3,2.29,6,4.58,7,5.34,31,23.66
0119,1,19,222,27,12.16,26,11.71,19,8.56,31,13.96,25,11.26,15,6.76,25,11.26,8,3.6,46,20.72
0120,1,20,221,31,14.03,32,14.48,19,8.6,27,12.22,16,7.24,10,4.52,18,8.14,13,5.88,55,24.89
0121,1,21,156,20,12.82,34,21.79,19,12.18,20,12.82,6,3.85,8,5.13,17,10.9,7,4.49,25,16.03
0122,1,22,189,27,14.29,29,15.34,23,12.17,22,11.64,12,6.35,3,1.59,9,4.76,11,5.82,53,28.04
0123,1,23,124,7,5.65,19,15.32,11,8.87,26,20.97,10,8.06,8,6.45,9,7.26,8,6.45,26,20.97
0124,1,24,356,46,12.92,65,18.26,40,11.24,42,11.8,28,7.87,13,3.65,25,7.02,18,5.06,79,22.19
0125,1,25,167,15,8.98,32,19.16,25,14.97,17,10.18,12,7.19,9,5.39,5,2.99,12,7.19,40,23.95
0126,1,26,106,10,9.43,23,21.7,18,16.98,11,10.38,6,5.66,3,2.83,10,9.43,7,6.6,18,16.98
0127,1,27,120,19,15.83,19,15.83,12,10.0,15,12.5,8,6.67,3,2.5,5,4.17,8,6.67,31,25.83
0128,1,28,262,24,9.16,56,21.37,52,19.85,21,8.02,21,8.02,10,3.82,9,3.44,10,3.82,59,22.52
0129,1,29,151,11,7.28,37,24.5,26,17.22,15,9.93,11,7.28,4,2.65,6,3.97,6,3.97,35,23.18
0130,1,30,447,67,14.99,85,19.02,61,13.65,41,9.17,42,9.4,12,2.68,22,4.92,19,4.25,98,21.92
0131,1,31,140,19,13.57,29,20.71,27,19.29,17,12.14,6,4.29,7,5.0,6,4.29,6,4.29,23,16.43
0132,1,32,210,30,14.29,26,12.38,24,11.43,18,8.57,24,11.43,10,4.76,9,4.29,9,4.29,60,28.57
0133,1,33,164,13,7.93,28,17.07,26,15.85,22,13.41,10,6.1,6,3.66,9,5.49,8,4.88,42,25.61
0134,1,34,114,17,14.91,22,19.3,11,9.65,15,13.16,11,9.65,4,3.51,5,4.39,6,5.26,23,20.18
0135,1,35,78,8,10.26,16,20.51,7,8.97,11,14.1,7,8.97,3,3.85,6,7.69,2,2.56,18,23.08
0136,1,36,136,19,13.97,34,25.0,14,10.29,13,9.56,9,6.62,5,3.68,16,11.76,5,3.68,21,15.44
0137,1,37,123,12,9.76,23,18.7,15,12.2,10,8.13,11,8.94,6,4.88,11,8.94,8,6.5,27,21.95
0138,1,38,112,17,15.18,18,16.07,11,9.82,15,13.39,9,8.04,2,1.79,4,3.57,6,5.36,30,26.79
0139,1,39,219,33,15.07,35,15.98,26,11.87,26,11.87,20,9.13,3,1.37,14,6.39,6,2.74,56,25.57
0140,1,40,128,10,7.81,18,14.06,14,10.94,18,14.06,9,7.03,8,6.25,13,10.16,5,3.91,33,25.78
0141,1,41,225,36,16.0,36,16.0,24,10.67,27,12.0,16,7.11,6,2.67,14,6.22,9,4.0,57,25.33
0142,1,42,115,12,10.43,24,20.87,13,11.3,14,12.17,10,8.7,4,3.48,6,5.22,10,8.7,22,19.13
0143,1,43,132,15,11.36,25,18.94,17,12.88,14,10.61,6,4.55,1,0.76,11,8.33,8,6.06,35,26.52
0144,1,44,123,15,12.2,18,14.63,13,10.57,21,17.07,14,11.38,8,6.5,16,13.01,1,0.81,17,13.82
0145,1,45,138,20,14.49,25,18.12,17,12.32,11,7.97,11,7.97,2,1.45,10,7.25,3,2.17,39,28.26
