ward,precinct,total,Carrie Austin,Carrie Austin Percent
0501,5,1,161,161,100.0
0504,5,4,119,119,100.0
0506,5,6,185,185,100.0
0507,5,7,160,160,100.0
0511,5,11,129,129,100.0
0514,5,14,185,185,100.0
0521,5,21,197,197,100.0
0524,5,24,161,161,100.0
0526,5,26,173,173,100.0
0528,5,28,155,155,100.0
0529,5,29,163,163,100.0
0531,5,31,128,128,100.0
0532,5,32,259,259,100.0
0534,5,34,155,155,100.0
0536,5,36,80,80,100.0
0537,5,37,119,119,100.0
0538,5,38,144,144,100.0
0540,5,40,139,139,100.0
0542,5,42,164,164,100.0
0543,5,43,176,176,100.0
0544,5,44,186,186,100.0
0546,5,46,146,146,100.0
0547,5,47,110,110,100.0
0549,5,49,34,34,100.0
0554,5,54,232,232,100.0
0621,6,21,176,176,100.0
0622,6,22,159,159,100.0
0664,6,64,219,219,100.0
0701,7,1,204,204,100.0
0702,7,2,202,202,100.0
0703,7,3,97,97,100.0
0704,7,4,121,121,100.0
0705,7,5,115,115,100.0
0706,7,6,123,123,100.0
0707,7,7,84,84,100.0
0708,7,8,51,51,100.0
0709,7,9,152,152,100.0
0710,7,10,101,101,100.0
0711,7,11,162,162,100.0
0712,7,12,114,114,100.0
0713,7,13,109,109,100.0
0714,7,14,161,161,100.0
0715,7,15,79,79,100.0
0716,7,16,124,124,100.0
0717,7,17,97,97,100.0
0718,7,18,94,94,100.0
0719,7,19,218,218,100.0
0720,7,20,70,70,100.0
0721,7,21,143,143,100.0
0722,7,22,116,116,100.0
0723,7,23,95,95,100.0
0724,7,24,154,154,100.0
0725,7,25,181,181,100.0
0726,7,26,182,182,100.0
0727,7,27,224,224,100.0
0728,7,28,150,150,100.0
0729,7,29,106,106,100.0
0730,7,30,172,172,100.0
0731,7,31,179,179,100.0
0732,7,32,122,122,100.0
0733,7,33,138,138,100.0
0734,7,34,131,131,100.0
0735,7,35,74,74,100.0
0736,7,36,207,207,100.0
0737,7,37,60,60,100.0
0738,7,38,115,115,100.0
0739,7,39,121,121,100.0
