ward,precinct,total,Mary E. Flowers,Mary E. Flowers Percent
0611,6,11,14,14,100.0
0619,6,19,203,203,100.0
0632,6,32,1,1,100.0
0642,6,42,80,80,100.0
0649,6,49,177,177,100.0
1702,17,2,106,106,100.0
1703,17,3,99,99,100.0
1704,17,4,215,215,100.0
1705,17,5,122,122,100.0
1707,17,7,163,163,100.0
1709,17,9,98,98,100.0
1710,17,10,142,142,100.0
1711,17,11,90,90,100.0
1712,17,12,162,162,100.0
1715,17,15,114,114,100.0
1718,17,18,157,157,100.0
1720,17,20,109,109,100.0
1721,17,21,206,206,100.0
1722,17,22,153,153,100.0
1723,17,23,101,101,100.0
1724,17,24,139,139,100.0
1725,17,25,80,80,100.0
1726,17,26,179,179,100.0
1727,17,27,190,190,100.0
1728,17,28,106,106,100.0
1729,17,29,163,163,100.0
1730,17,30,142,142,100.0
1731,17,31,131,131,100.0
1732,17,32,143,143,100.0
1733,17,33,115,115,100.0
1735,17,35,79,79,100.0
1737,17,37,107,107,100.0
1738,17,38,121,121,100.0
1740,17,40,66,66,100.0
1744,17,44,84,84,100.0
1747,17,47,76,76,100.0
1748,17,48,132,132,100.0
1750,17,50,111,111,100.0
1751,17,51,143,143,100.0
1752,17,52,182,182,100.0
1753,17,53,112,112,100.0
1754,17,54,161,161,100.0
1755,17,55,122,122,100.0
1756,17,56,1,1,100.0
1757,17,57,153,153,100.0
1761,17,61,124,124,100.0
1803,18,3,115,115,100.0
1804,18,4,208,208,100.0
1806,18,6,123,123,100.0
1807,18,7,111,111,100.0
1808,18,8,70,70,100.0
1809,18,9,209,209,100.0
1810,18,10,269,269,100.0
1812,18,12,224,224,100.0
1813,18,13,191,191,100.0
1814,18,14,221,221,100.0
1816,18,16,199,199,100.0
1818,18,18,220,220,100.0
1820,18,20,194,194,100.0
1822,18,22,191,191,100.0
1828,18,28,171,171,100.0
1835,18,35,201,201,100.0
1836,18,36,120,120,100.0
1837,18,37,124,124,100.0
1838,18,38,240,240,100.0
1840,18,40,216,216,100.0
1841,18,41,157,157,100.0
1848,18,48,81,81,100.0
1854,18,54,186,186,100.0
1855,18,55,139,139,100.0
1860,18,60,214,214,100.0
1861,18,61,177,177,100.0
2102,21,2,172,172,100.0
2116,21,16,172,172,100.0
2130,21,30,137,137,100.0
2132,21,32,160,160,100.0
2134,21,34,222,222,100.0
2137,21,37,112,112,100.0
2139,21,39,148,148,100.0
2141,21,41,129,129,100.0
2152,21,52,193,193,100.0
2162,21,62,191,191,100.0
2164,21,64,94,94,100.0
2165,21,65,265,265,100.0
2167,21,67,178,178,100.0
2169,21,69,140,140,100.0
2172,21,72,154,154,100.0
2174,21,74,61,61,100.0
