ward,precinct,total,Glenn L. Harris,Glenn L. Harris Percent
2407,24,7,1,1,100.0
2441,24,41,2,2,100.0
2801,28,1,1,1,100.0
2804,28,4,2,2,100.0
2827,28,27,1,1,100.0
2845,28,45,1,1,100.0
2846,28,46,2,2,100.0
2851,28,51,1,1,100.0
2855,28,55,1,1,100.0
2857,28,57,1,1,100.0
2901,29,1,1,1,100.0
2912,29,12,2,2,100.0
2914,29,14,2,2,100.0
2915,29,15,3,3,100.0
2917,29,17,2,2,100.0
2922,29,22,19,19,100.0
2925,29,25,1,1,100.0
2928,29,28,3,3,100.0
2934,29,34,3,3,100.0
2942,29,42,1,1,100.0
3702,37,2,1,1,100.0
3710,37,10,1,1,100.0
3714,37,14,3,3,100.0
3715,37,15,1,1,100.0
3716,37,16,2,2,100.0
3720,37,20,1,1,100.0
3721,37,21,3,3,100.0
3725,37,25,7,7,100.0
3726,37,26,3,3,100.0
3727,37,27,6,6,100.0
3731,37,31,1,1,100.0
3734,37,34,1,1,100.0
3736,37,36,2,2,100.0
3740,37,40,1,1,100.0
3741,37,41,4,4,100.0
3743,37,43,3,3,100.0
