ward,precinct,total,WILLIE B. COCHRAN,WILLIE B. COCHRAN Percent,KEVIN BAILEY,KEVIN BAILEY Percent
2001,20,1,212,115,54.25,97,45.75
2002,20,2,110,56,50.91,54,49.09
2003,20,3,211,120,56.87,91,43.13
2004,20,4,109,52,47.71,57,52.29
2005,20,5,249,142,57.03,107,42.97
2006,20,6,117,55,47.01,62,52.99
2007,20,7,203,107,52.71,96,47.29
2008,20,8,275,187,68.0,88,32.0
2009,20,9,308,179,58.12,129,41.88
2010,20,10,195,123,63.08,72,36.92
2011,20,11,298,132,44.3,166,55.7
2012,20,12,131,64,48.85,67,51.15
2013,20,13,271,153,56.46,118,43.54
2014,20,14,158,80,50.63,78,49.37
2015,20,15,206,85,41.26,121,58.74
2016,20,16,286,166,58.04,120,41.96
2017,20,17,150,78,52.0,72,48.0
2018,20,18,206,120,58.25,86,41.75
2019,20,19,251,149,59.36,102,40.64
2020,20,20,165,76,46.06,89,53.94
2021,20,21,181,110,60.77,71,39.23
2022,20,22,330,181,54.85,149,45.15
2023,20,23,286,178,62.24,108,37.76
2024,20,24,242,143,59.09,99,40.91
2025,20,25,229,121,52.84,108,47.16
2026,20,26,267,149,55.81,118,44.19
2027,20,27,158,94,59.49,64,40.51
2028,20,28,186,102,54.84,84,45.16
2029,20,29,321,192,59.81,129,40.19
2030,20,30,147,89,60.54,58,39.46
2031,20,31,238,117,49.16,121,50.84
2032,20,32,253,141,55.73,112,44.27
2033,20,33,144,92,63.89,52,36.11
2034,20,34,273,149,54.58,124,45.42
2035,20,35,138,81,58.7,57,41.3
2036,20,36,84,48,57.14,36,42.86
2037,20,37,90,52,57.78,38,42.22
2038,20,38,107,49,45.79,58,54.21
2039,20,39,42,11,26.19,31,73.81
