ward,precinct,total,JOHN GARRIDO,JOHN GARRIDO Percent,JOHN S. ARENA,JOHN S. ARENA Percent
4501,45,1,260,70,26.92,190,73.08
4502,45,2,276,88,31.88,188,68.12
4503,45,3,282,93,32.98,189,67.02
4504,45,4,406,144,35.47,262,64.53
4505,45,5,372,139,37.37,233,62.63
4506,45,6,446,182,40.81,264,59.19
4507,45,7,484,192,39.67,292,60.33
4508,45,8,327,114,34.86,213,65.14
4509,45,9,331,92,27.79,239,72.21
4510,45,10,391,112,28.64,279,71.36
4511,45,11,255,53,20.78,202,79.22
4512,45,12,322,113,35.09,209,64.91
4513,45,13,352,112,31.82,240,68.18
4514,45,14,425,171,40.24,254,59.76
4515,45,15,471,211,44.8,260,55.2
4516,45,16,320,141,44.06,179,55.94
4517,45,17,380,137,36.05,243,63.95
4518,45,18,356,166,46.63,190,53.37
4519,45,19,170,68,40.0,102,60.0
4520,45,20,221,104,47.06,117,52.94
4521,45,21,332,172,51.81,160,48.19
4522,45,22,325,167,51.38,158,48.62
4523,45,23,361,165,45.71,196,54.29
4524,45,24,323,180,55.73,143,44.27
4525,45,25,284,148,52.11,136,47.89
4526,45,26,190,93,48.95,97,51.05
4527,45,27,318,166,52.2,152,47.8
4528,45,28,272,136,50.0,136,50.0
4529,45,29,225,121,53.78,104,46.22
4530,45,30,304,115,37.83,189,62.17
4531,45,31,289,137,47.4,152,52.6
4532,45,32,320,140,43.75,180,56.25
4533,45,33,236,100,42.37,136,57.63
4534,45,34,367,192,52.32,175,47.68
4535,45,35,420,190,45.24,230,54.76
4536,45,36,403,192,47.64,211,52.36
4537,45,37,327,133,40.67,194,59.33
4538,45,38,288,158,54.86,130,45.14
4539,45,39,321,190,59.19,131,40.81
4540,45,40,362,237,65.47,125,34.53
4541,45,41,341,239,70.09,102,29.91
4542,45,42,399,296,74.19,103,25.81
4543,45,43,429,264,61.54,165,38.46
4544,45,44,380,259,68.16,121,31.84
4545,45,45,243,112,46.09,131,53.91
4546,45,46,263,142,53.99,121,46.01
4547,45,47,289,171,59.17,118,40.83
4548,45,48,293,146,49.83,147,50.17
