ward,precinct,total,"Edward (""ED"") Washington II","Edward (""ED"") Washington II Percent"
0214,2,14,325,325,100.0
0220,2,20,224,224,100.0
0231,2,31,249,249,100.0
0244,2,44,155,155,100.0
0246,2,46,316,316,100.0
0301,3,1,161,161,100.0
0302,3,2,259,259,100.0
0304,3,4,84,84,100.0
0305,3,5,133,133,100.0
0307,3,7,192,192,100.0
0308,3,8,45,45,100.0
0309,3,9,162,162,100.0
0310,3,10,120,120,100.0
0311,3,11,130,130,100.0
0312,3,12,229,229,100.0
0314,3,14,122,122,100.0
0315,3,15,255,255,100.0
0316,3,16,396,396,100.0
0317,3,17,167,167,100.0
0318,3,18,150,150,100.0
0319,3,19,68,68,100.0
0320,3,20,4,4,100.0
0321,3,21,148,148,100.0
0322,3,22,154,154,100.0
0323,3,23,22,22,100.0
0324,3,24,160,160,100.0
0325,3,25,7,7,100.0
0326,3,26,151,151,100.0
0327,3,27,5,5,100.0
0329,3,29,134,134,100.0
0330,3,30,163,163,100.0
0331,3,31,269,269,100.0
0332,3,32,225,225,100.0
0333,3,33,273,273,100.0
0334,3,34,145,145,100.0
0335,3,35,211,211,100.0
0336,3,36,119,119,100.0
0337,3,37,106,106,100.0
0338,3,38,53,53,100.0
0339,3,39,231,231,100.0
0340,3,40,168,168,100.0
0341,3,41,218,218,100.0
0342,3,42,194,194,100.0
0343,3,43,59,59,100.0
0344,3,44,113,113,100.0
0345,3,45,77,77,100.0
0346,3,46,170,170,100.0
0347,3,47,130,130,100.0
0348,3,48,194,194,100.0
0349,3,49,84,84,100.0
0350,3,50,211,211,100.0
0352,3,52,122,122,100.0
0353,3,53,241,241,100.0
0355,3,55,170,170,100.0
0356,3,56,177,177,100.0
0357,3,57,234,234,100.0
0358,3,58,83,83,100.0
0359,3,59,135,135,100.0
0360,3,60,258,258,100.0
0362,3,62,140,140,100.0
0401,4,1,297,297,100.0
0402,4,2,336,336,100.0
0403,4,3,429,429,100.0
0404,4,4,371,371,100.0
0405,4,5,307,307,100.0
0406,4,6,107,107,100.0
0407,4,7,211,211,100.0
0408,4,8,299,299,100.0
0409,4,9,496,496,100.0
0410,4,10,368,368,100.0
0411,4,11,329,329,100.0
0412,4,12,177,177,100.0
0413,4,13,260,260,100.0
0414,4,14,231,231,100.0
0415,4,15,191,191,100.0
0416,4,16,390,390,100.0
0417,4,17,324,324,100.0
0418,4,18,376,376,100.0
0419,4,19,344,344,100.0
0420,4,20,130,130,100.0
0421,4,21,383,383,100.0
0422,4,22,356,356,100.0
0423,4,23,217,217,100.0
0424,4,24,358,358,100.0
0425,4,25,279,279,100.0
0426,4,26,329,329,100.0
0427,4,27,268,268,100.0
0428,4,28,227,227,100.0
0429,4,29,207,207,100.0
0430,4,30,102,102,100.0
0431,4,31,54,54,100.0
0432,4,32,358,358,100.0
0433,4,33,139,139,100.0
0434,4,34,214,214,100.0
0435,4,35,197,197,100.0
0436,4,36,171,171,100.0
0437,4,37,147,147,100.0
0438,4,38,417,417,100.0
0439,4,39,208,208,100.0
0440,4,40,281,281,100.0
0441,4,41,168,168,100.0
0442,4,42,305,305,100.0
0443,4,43,215,215,100.0
0444,4,44,263,263,100.0
0445,4,45,420,420,100.0
0446,4,46,293,293,100.0
0447,4,47,511,511,100.0
0448,4,48,399,399,100.0
0449,4,49,127,127,100.0
0450,4,50,256,256,100.0
0451,4,51,326,326,100.0
0452,4,52,93,93,100.0
0453,4,53,280,280,100.0
0454,4,54,197,197,100.0
0455,4,55,199,199,100.0
0456,4,56,311,311,100.0
0457,4,57,127,127,100.0
0501,5,1,326,326,100.0
0502,5,2,255,255,100.0
0503,5,3,185,185,100.0
0504,5,4,225,225,100.0
0505,5,5,246,246,100.0
0506,5,6,348,348,100.0
0507,5,7,303,303,100.0
0508,5,8,285,285,100.0
0509,5,9,289,289,100.0
0510,5,10,318,318,100.0
0511,5,11,263,263,100.0
0513,5,13,234,234,100.0
0514,5,14,329,329,100.0
0515,5,15,303,303,100.0
0516,5,16,232,232,100.0
0517,5,17,307,307,100.0
0518,5,18,337,337,100.0
0519,5,19,171,171,100.0
0520,5,20,168,168,100.0
0521,5,21,314,314,100.0
0522,5,22,243,243,100.0
0523,5,23,238,238,100.0
0524,5,24,184,184,100.0
0525,5,25,317,317,100.0
0526,5,26,312,312,100.0
0527,5,27,465,465,100.0
0528,5,28,295,295,100.0
0529,5,29,331,331,100.0
0530,5,30,220,220,100.0
0531,5,31,272,272,100.0
0532,5,32,374,374,100.0
0533,5,33,165,165,100.0
0534,5,34,323,323,100.0
0535,5,35,267,267,100.0
0536,5,36,214,214,100.0
0537,5,37,260,260,100.0
0538,5,38,255,255,100.0
0539,5,39,232,232,100.0
0540,5,40,381,381,100.0
0541,5,41,229,229,100.0
0542,5,42,299,299,100.0
0543,5,43,304,304,100.0
0544,5,44,368,368,100.0
0545,5,45,181,181,100.0
0546,5,46,366,366,100.0
0547,5,47,249,249,100.0
0548,5,48,201,201,100.0
0549,5,49,65,65,100.0
0550,5,50,110,110,100.0
0551,5,51,221,221,100.0
