ward,precinct,total,Mary Lane Mikva,Mary Lane Mikva Percent
0201,2,1,503,503,100.0
0207,2,7,307,307,100.0
0208,2,8,393,393,100.0
0211,2,11,137,137,100.0
0212,2,12,1,1,100.0
0218,2,18,874,874,100.0
0220,2,20,18,18,100.0
0221,2,21,243,243,100.0
0222,2,22,463,463,100.0
0226,2,26,476,476,100.0
0235,2,35,172,172,100.0
0237,2,37,398,398,100.0
0240,2,40,348,348,100.0
0243,2,43,363,363,100.0
0249,2,49,486,486,100.0
0254,2,54,360,360,100.0
0255,2,55,92,92,100.0
0258,2,58,193,193,100.0
0259,2,59,298,298,100.0
0303,3,3,208,208,100.0
0306,3,6,211,211,100.0
0328,3,28,175,175,100.0
0354,3,54,105,105,100.0
0361,3,61,213,213,100.0
0363,3,63,477,477,100.0
1114,11,14,154,154,100.0
1127,11,27,31,31,100.0
1136,11,36,56,56,100.0
2514,25,14,138,138,100.0
2516,25,16,107,107,100.0
2518,25,18,194,194,100.0
2705,27,5,88,88,100.0
2706,27,6,182,182,100.0
2709,27,9,353,353,100.0
2712,27,12,212,212,100.0
2713,27,13,73,73,100.0
2714,27,14,108,108,100.0
2716,27,16,168,168,100.0
2720,27,20,298,298,100.0
2721,27,21,97,97,100.0
2728,27,28,198,198,100.0
2737,27,37,60,60,100.0
2739,27,39,90,90,100.0
2742,27,42,188,188,100.0
2743,27,43,196,196,100.0
2750,27,50,310,310,100.0
2751,27,51,111,111,100.0
2752,27,52,44,44,100.0
2765,27,65,42,42,100.0
2766,27,66,56,56,100.0
3207,32,7,300,300,100.0
3208,32,8,441,441,100.0
3210,32,10,360,360,100.0
3213,32,13,201,201,100.0
3218,32,18,304,304,100.0
3220,32,20,76,76,100.0
3223,32,23,355,355,100.0
3227,32,27,145,145,100.0
3232,32,32,371,371,100.0
3237,32,37,323,323,100.0
3238,32,38,389,389,100.0
3239,32,39,466,466,100.0
3243,32,43,391,391,100.0
3244,32,44,193,193,100.0
3246,32,46,11,11,100.0
3247,32,47,339,339,100.0
3248,32,48,512,512,100.0
3249,32,49,315,315,100.0
3250,32,50,450,450,100.0
3251,32,51,395,395,100.0
4003,40,3,322,322,100.0
4004,40,4,235,235,100.0
4007,40,7,310,310,100.0
4011,40,11,252,252,100.0
4016,40,16,238,238,100.0
4022,40,22,133,133,100.0
4023,40,23,372,372,100.0
4033,40,33,261,261,100.0
4040,40,40,161,161,100.0
4041,40,41,365,365,100.0
4042,40,42,329,329,100.0
4043,40,43,324,324,100.0
4045,40,45,365,365,100.0
4046,40,46,316,316,100.0
4201,42,1,387,387,100.0
4202,42,2,279,279,100.0
4203,42,3,225,225,100.0
4204,42,4,236,236,100.0
4205,42,5,236,236,100.0
4206,42,6,412,412,100.0
4207,42,7,329,329,100.0
4208,42,8,374,374,100.0
4209,42,9,589,589,100.0
4210,42,10,233,233,100.0
4211,42,11,294,294,100.0
4212,42,12,194,194,100.0
4213,42,13,405,405,100.0
4214,42,14,451,451,100.0
4215,42,15,299,299,100.0
4216,42,16,195,195,100.0
4217,42,17,354,354,100.0
4219,42,19,166,166,100.0
4220,42,20,208,208,100.0
4222,42,22,550,550,100.0
4223,42,23,323,323,100.0
4224,42,24,371,371,100.0
4225,42,25,257,257,100.0
4226,42,26,268,268,100.0
4227,42,27,332,332,100.0
4228,42,28,275,275,100.0
4229,42,29,302,302,100.0
4230,42,30,212,212,100.0
4231,42,31,223,223,100.0
4232,42,32,358,358,100.0
4233,42,33,364,364,100.0
4234,42,34,267,267,100.0
4235,42,35,219,219,100.0
4236,42,36,333,333,100.0
4237,42,37,279,279,100.0
4238,42,38,293,293,100.0
4239,42,39,159,159,100.0
4240,42,40,253,253,100.0
4241,42,41,484,484,100.0
4242,42,42,202,202,100.0
4243,42,43,237,237,100.0
4244,42,44,370,370,100.0
4245,42,45,297,297,100.0
4246,42,46,281,281,100.0
4247,42,47,176,176,100.0
4248,42,48,231,231,100.0
4249,42,49,150,150,100.0
4250,42,50,171,171,100.0
4251,42,51,262,262,100.0
4252,42,52,171,171,100.0
4253,42,53,192,192,100.0
4254,42,54,263,263,100.0
4255,42,55,372,372,100.0
4256,42,56,407,407,100.0
4257,42,57,305,305,100.0
4258,42,58,102,102,100.0
4259,42,59,117,117,100.0
4260,42,60,208,208,100.0
4261,42,61,188,188,100.0
4262,42,62,191,191,100.0
4263,42,63,262,262,100.0
4264,42,64,158,158,100.0
4265,42,65,333,333,100.0
4266,42,66,282,282,100.0
4267,42,67,401,401,100.0
4268,42,68,616,616,100.0
4301,43,1,204,204,100.0
4302,43,2,364,364,100.0
4303,43,3,351,351,100.0
4304,43,4,365,365,100.0
4305,43,5,352,352,100.0
4306,43,6,279,279,100.0
4307,43,7,169,169,100.0
4308,43,8,301,301,100.0
4309,43,9,306,306,100.0
4310,43,10,148,148,100.0
4311,43,11,226,226,100.0
4312,43,12,404,404,100.0
4313,43,13,196,196,100.0
4314,43,14,248,248,100.0
4315,43,15,284,284,100.0
4316,43,16,314,314,100.0
4317,43,17,208,208,100.0
4318,43,18,382,382,100.0
4319,43,19,224,224,100.0
4320,43,20,331,331,100.0
4321,43,21,227,227,100.0
4322,43,22,232,232,100.0
4323,43,23,236,236,100.0
4324,43,24,252,252,100.0
4325,43,25,258,258,100.0
4326,43,26,237,237,100.0
4327,43,27,281,281,100.0
4328,43,28,260,260,100.0
4329,43,29,265,265,100.0
4330,43,30,271,271,100.0
4331,43,31,253,253,100.0
4332,43,32,240,240,100.0
4333,43,33,300,300,100.0
4334,43,34,230,230,100.0
4335,43,35,385,385,100.0
4336,43,36,290,290,100.0
4337,43,37,292,292,100.0
4338,43,38,320,320,100.0
4339,43,39,278,278,100.0
4340,43,40,169,169,100.0
4341,43,41,240,240,100.0
4342,43,42,243,243,100.0
4343,43,43,313,313,100.0
4344,43,44,399,399,100.0
4345,43,45,116,116,100.0
4346,43,46,322,322,100.0
4347,43,47,271,271,100.0
4348,43,48,393,393,100.0
4349,43,49,226,226,100.0
4350,43,50,265,265,100.0
4351,43,51,379,379,100.0
4352,43,52,455,455,100.0
4353,43,53,374,374,100.0
4354,43,54,247,247,100.0
4355,43,55,195,195,100.0
4356,43,56,252,252,100.0
4357,43,57,356,356,100.0
4358,43,58,365,365,100.0
4359,43,59,249,249,100.0
4360,43,60,263,263,100.0
4361,43,61,214,214,100.0
4362,43,62,312,312,100.0
4363,43,63,253,253,100.0
4364,43,64,181,181,100.0
4365,43,65,181,181,100.0
4366,43,66,130,130,100.0
4367,43,67,218,218,100.0
4401,44,1,244,244,100.0
4402,44,2,286,286,100.0
4403,44,3,263,263,100.0
4404,44,4,269,269,100.0
4405,44,5,483,483,100.0
4406,44,6,481,481,100.0
4407,44,7,331,331,100.0
4408,44,8,231,231,100.0
4409,44,9,584,584,100.0
4410,44,10,353,353,100.0
4411,44,11,497,497,100.0
4412,44,12,226,226,100.0
4413,44,13,301,301,100.0
4414,44,14,395,395,100.0
4415,44,15,439,439,100.0
4416,44,16,422,422,100.0
4417,44,17,391,391,100.0
4418,44,18,299,299,100.0
4419,44,19,264,264,100.0
4420,44,20,529,529,100.0
4421,44,21,506,506,100.0
4422,44,22,395,395,100.0
4423,44,23,447,447,100.0
4424,44,24,329,329,100.0
4425,44,25,420,420,100.0
4426,44,26,387,387,100.0
4427,44,27,483,483,100.0
4428,44,28,395,395,100.0
4429,44,29,510,510,100.0
4430,44,30,416,416,100.0
4431,44,31,500,500,100.0
4432,44,32,251,251,100.0
4433,44,33,585,585,100.0
4434,44,34,263,263,100.0
4435,44,35,238,238,100.0
4436,44,36,461,461,100.0
