ward,precinct,total,Jeanne R. Cleveland Bernstein,Jeanne R. Cleveland Bernstein Percent
3932,39,32,162,162,100.0
3941,39,41,60,60,100.0
4009,40,9,181,181,100.0
4012,40,12,191,191,100.0
4013,40,13,374,374,100.0
4018,40,18,204,204,100.0
4026,40,26,312,312,100.0
4027,40,27,220,220,100.0
4028,40,28,310,310,100.0
4035,40,35,222,222,100.0
4037,40,37,208,208,100.0
4039,40,39,206,206,100.0
4047,40,47,333,333,100.0
4147,41,47,242,242,100.0
4154,41,54,231,231,100.0
4167,41,67,188,188,100.0
4169,41,69,164,164,100.0
4170,41,70,181,181,100.0
4171,41,71,146,146,100.0
4505,45,5,9,9,100.0
4802,48,2,238,238,100.0
4813,48,13,240,240,100.0
4822,48,22,313,313,100.0
4832,48,32,219,219,100.0
4833,48,33,229,229,100.0
4841,48,41,207,207,100.0
4853,48,53,278,278,100.0
4854,48,54,221,221,100.0
4901,49,1,273,273,100.0
4902,49,2,275,275,100.0
4903,49,3,187,187,100.0
4904,49,4,152,152,100.0
4905,49,5,286,286,100.0
4906,49,6,328,328,100.0
4907,49,7,294,294,100.0
4908,49,8,259,259,100.0
4909,49,9,297,297,100.0
4910,49,10,258,258,100.0
4911,49,11,192,192,100.0
4912,49,12,296,296,100.0
4913,49,13,334,334,100.0
4914,49,14,291,291,100.0
4915,49,15,263,263,100.0
4916,49,16,177,177,100.0
4918,49,18,171,171,100.0
4919,49,19,241,241,100.0
4920,49,20,289,289,100.0
4921,49,21,356,356,100.0
4922,49,22,227,227,100.0
4923,49,23,271,271,100.0
4924,49,24,116,116,100.0
4925,49,25,338,338,100.0
4926,49,26,274,274,100.0
4927,49,27,366,366,100.0
4928,49,28,250,250,100.0
4929,49,29,388,388,100.0
4930,49,30,253,253,100.0
4931,49,31,125,125,100.0
4932,49,32,240,240,100.0
4933,49,33,250,250,100.0
4934,49,34,271,271,100.0
4935,49,35,373,373,100.0
4936,49,36,408,408,100.0
4937,49,37,127,127,100.0
4938,49,38,229,229,100.0
4939,49,39,270,270,100.0
4940,49,40,242,242,100.0
4941,49,41,266,266,100.0
4942,49,42,323,323,100.0
4943,49,43,317,317,100.0
4944,49,44,297,297,100.0
5001,50,1,315,315,100.0
5002,50,2,302,302,100.0
5003,50,3,239,239,100.0
5004,50,4,274,274,100.0
5005,50,5,281,281,100.0
5006,50,6,205,205,100.0
5007,50,7,293,293,100.0
5009,50,9,219,219,100.0
5010,50,10,195,195,100.0
5011,50,11,253,253,100.0
5012,50,12,156,156,100.0
5013,50,13,304,304,100.0
5014,50,14,135,135,100.0
5015,50,15,318,318,100.0
5016,50,16,140,140,100.0
5017,50,17,241,241,100.0
5018,50,18,232,232,100.0
5019,50,19,202,202,100.0
5020,50,20,243,243,100.0
5021,50,21,255,255,100.0
5022,50,22,302,302,100.0
5024,50,24,260,260,100.0
5025,50,25,246,246,100.0
5026,50,26,179,179,100.0
5027,50,27,103,103,100.0
5028,50,28,196,196,100.0
5030,50,30,230,230,100.0
5031,50,31,110,110,100.0
5032,50,32,228,228,100.0
5033,50,33,155,155,100.0
5034,50,34,155,155,100.0
5035,50,35,321,321,100.0
5036,50,36,254,254,100.0
5037,50,37,309,309,100.0
5038,50,38,177,177,100.0
5039,50,39,226,226,100.0
5040,50,40,261,261,100.0
5041,50,41,314,314,100.0
5042,50,42,255,255,100.0
5043,50,43,240,240,100.0
5044,50,44,199,199,100.0
5045,50,45,68,68,100.0
