ward,precinct,total,YES,YES Percent,NO,NO Percent
0101,1,1,289,230,79.58,59,20.42
0102,1,2,367,308,83.92,59,16.08
0103,1,3,290,231,79.66,59,20.34
0104,1,4,253,210,83.0,43,17.0
0105,1,5,285,239,83.86,46,16.14
0106,1,6,214,182,85.05,32,14.95
0107,1,7,393,326,82.95,67,17.05
0108,1,8,228,184,80.7,44,19.3
0109,1,9,207,149,71.98,58,28.02
0110,1,10,267,222,83.15,45,16.85
0111,1,11,289,224,77.51,65,22.49
0112,1,12,270,235,87.04,35,12.96
0113,1,13,253,195,77.08,58,22.92
0114,1,14,342,294,85.96,48,14.04
0115,1,15,157,123,78.34,34,21.66
0116,1,16,100,73,73.0,27,27.0
0117,1,17,277,232,83.75,45,16.25
0118,1,18,181,140,77.35,41,22.65
0119,1,19,293,244,83.28,49,16.72
0120,1,20,142,108,76.06,34,23.94
0121,1,21,383,319,83.29,64,16.71
0122,1,22,187,139,74.33,48,25.67
0123,1,23,276,218,78.99,58,21.01
0124,1,24,319,256,80.25,63,19.75
0125,1,25,239,190,79.5,49,20.5
0126,1,26,297,242,81.48,55,18.52
0127,1,27,241,192,79.67,49,20.33
0128,1,28,231,173,74.89,58,25.11
0129,1,29,206,170,82.52,36,17.48
0130,1,30,275,215,78.18,60,21.82
0131,1,31,303,252,83.17,51,16.83
0132,1,32,147,116,78.91,31,21.09
0133,1,33,266,211,79.32,55,20.68
0134,1,34,169,133,78.7,36,21.3
0135,1,35,191,156,81.68,35,18.32
0136,1,36,358,298,83.24,60,16.76
0137,1,37,326,265,81.29,61,18.71
0138,1,38,120,101,84.17,19,15.83
0139,1,39,308,228,74.03,80,25.97
0140,1,40,107,79,73.83,28,26.17
0201,2,1,418,346,82.78,72,17.22
0202,2,2,8,8,100.0,0,0.0
0203,2,3,275,225,81.82,50,18.18
0204,2,4,127,99,77.95,28,22.05
0205,2,5,145,114,78.62,31,21.38
0206,2,6,360,312,86.67,48,13.33
0207,2,7,250,207,82.8,43,17.2
0208,2,8,321,269,83.8,52,16.2
0209,2,9,168,128,76.19,40,23.81
0210,2,10,86,62,72.09,24,27.91
0211,2,11,100,82,82.0,18,18.0
0212,2,12,334,282,84.43,52,15.57
0213,2,13,169,129,76.33,40,23.67
0214,2,14,332,277,83.43,55,16.57
0215,2,15,43,37,86.05,6,13.95
0216,2,16,327,272,83.18,55,16.82
0217,2,17,219,165,75.34,54,24.66
0218,2,18,771,655,84.95,116,15.05
0219,2,19,88,69,78.41,19,21.59
0220,2,20,198,163,82.32,35,17.68
0221,2,21,193,168,87.05,25,12.95
0222,2,22,387,320,82.69,67,17.31
0223,2,23,153,121,79.08,32,20.92
0224,2,24,125,102,81.6,23,18.4
0225,2,25,163,134,82.21,29,17.79
0226,2,26,398,315,79.15,83,20.85
0227,2,27,130,98,75.38,32,24.62
0228,2,28,180,153,85.0,27,15.0
0229,2,29,92,78,84.78,14,15.22
0230,2,30,134,104,77.61,30,22.39
0231,2,31,222,176,79.28,46,20.72
0232,2,32,117,84,71.79,33,28.21
