ward,precinct,total,John Kerry and John Edwards,John Kerry and John Edwards Percent,George Bush and Dick Cheney,George Bush and Dick Cheney Percent,M. Badnarik and R. Campagna,M. Badnarik and R. Campagna Percent
0101,1,1,536,430,80.22,101,18.84,5,0.93
0102,1,2,722,573,79.36,146,20.22,3,0.42
0103,1,3,575,472,82.09,99,17.22,4,0.7
0104,1,4,508,431,84.84,75,14.76,2,0.39
0105,1,5,621,505,81.32,108,17.39,8,1.29
0106,1,6,425,299,70.35,120,28.24,6,1.41
0107,1,7,705,513,72.77,184,26.1,8,1.13
0108,1,8,513,408,79.53,101,19.69,4,0.78
0109,1,9,382,324,84.82,57,14.92,1,0.26
0110,1,10,471,381,80.89,88,18.68,2,0.42
0111,1,11,637,511,80.22,123,19.31,3,0.47
0112,1,12,561,438,78.07,117,20.86,6,1.07
0113,1,13,479,376,78.5,99,20.67,4,0.84
0114,1,14,668,576,86.23,87,13.02,5,0.75
0115,1,15,341,298,87.39,40,11.73,3,0.88
0116,1,16,260,239,91.92,21,8.08,0,0.0
0117,1,17,599,493,82.3,103,17.2,3,0.5
0118,1,18,382,347,90.84,30,7.85,5,1.31
0119,1,19,546,408,74.73,136,24.91,2,0.37
0120,1,20,417,316,75.78,99,23.74,2,0.48
0121,1,21,797,623,78.17,170,21.33,4,0.5
0122,1,22,454,373,82.16,77,16.96,4,0.88
0123,1,23,572,463,80.94,105,18.36,4,0.7
0124,1,24,565,477,84.42,82,14.51,6,1.06
0125,1,25,492,385,78.25,99,20.12,8,1.63
0126,1,26,561,427,76.11,131,23.35,3,0.53
0127,1,27,522,420,80.46,97,18.58,5,0.96
0128,1,28,511,422,82.58,86,16.83,3,0.59
0129,1,29,422,318,75.36,100,23.7,4,0.95
0130,1,30,590,493,83.56,93,15.76,4,0.68
0131,1,31,597,402,67.34,184,30.82,11,1.84
0132,1,32,411,344,83.7,64,15.57,3,0.73
0133,1,33,575,477,82.96,97,16.87,1,0.17
0134,1,34,335,265,79.1,66,19.7,4,1.19
0135,1,35,367,257,70.03,107,29.16,3,0.82
0136,1,36,653,485,74.27,159,24.35,9,1.38
0137,1,37,594,467,78.62,120,20.2,7,1.18
0138,1,38,268,215,80.22,51,19.03,2,0.75
0139,1,39,576,451,78.3,117,20.31,8,1.39
0140,1,40,228,180,78.95,46,20.18,2,0.88
0201,2,1,693,492,71.0,190,27.42,11,1.59
0202,2,2,17,16,94.12,0,0.0,1,5.88
0203,2,3,506,395,78.06,109,21.54,2,0.4
0204,2,4,347,339,97.69,5,1.44,3,0.86
