ward,precinct,total,John A. Fritchey,John A. Fritchey Percent,Doug Nelson,Doug Nelson Percent,Jason J. Briggeman,Jason J. Briggeman Percent
0107,1,7,23,15,65.22,8,34.78,0,0.0
0128,1,28,116,94,81.03,19,16.38,3,2.59
3207,32,7,448,283,63.17,143,31.92,22,4.91
3208,32,8,647,415,64.14,202,31.22,30,4.64
3209,32,9,697,520,74.61,147,21.09,30,4.3
3210,32,10,518,363,70.08,134,25.87,21,4.05
3213,32,13,281,175,62.28,95,33.81,11,3.91
3215,32,15,427,313,73.3,91,21.31,23,5.39
3216,32,16,136,99,72.79,28,20.59,9,6.62
3218,32,18,495,326,65.86,153,30.91,16,3.23
3219,32,19,427,352,82.44,53,12.41,22,5.15
3220,32,20,508,355,69.88,136,26.77,17,3.35
3221,32,21,401,310,77.31,80,19.95,11,2.74
3222,32,22,578,429,74.22,116,20.07,33,5.71
3223,32,23,495,332,67.07,138,27.88,25,5.05
3224,32,24,493,311,63.08,172,34.89,10,2.03
3225,32,25,421,330,78.38,63,14.96,28,6.65
3227,32,27,433,324,74.83,104,24.02,5,1.15
3228,32,28,319,250,78.37,56,17.55,13,4.08
3229,32,29,74,55,74.32,14,18.92,5,6.76
3230,32,30,477,293,61.43,172,36.06,12,2.52
3232,32,32,519,320,61.66,181,34.87,18,3.47
3234,32,34,106,76,71.7,23,21.7,7,6.6
3237,32,37,439,320,72.89,106,24.15,13,2.96
3238,32,38,522,388,74.33,111,21.26,23,4.41
3239,32,39,617,385,62.4,212,34.36,20,3.24
3240,32,40,558,411,73.66,124,22.22,23,4.12
3241,32,41,566,410,72.44,130,22.97,26,4.59
3242,32,42,603,450,74.63,133,22.06,20,3.32
3243,32,43,530,346,65.28,169,31.89,15,2.83
3244,32,44,277,189,68.23,75,27.08,13,4.69
3245,32,45,443,316,71.33,98,22.12,29,6.55
3247,32,47,492,305,61.99,170,34.55,17,3.46
3248,32,48,693,416,60.03,250,36.08,27,3.9
3249,32,49,439,301,68.56,116,26.42,22,5.01
3250,32,50,554,329,59.39,206,37.18,19,3.43
3307,33,7,342,286,83.63,41,11.99,15,4.39
3308,33,8,426,351,82.39,64,15.02,11,2.58
3310,33,10,381,329,86.35,41,10.76,11,2.89
3316,33,16,89,61,68.54,23,25.84,5,5.62
3324,33,24,324,259,79.94,55,16.98,10,3.09
3328,33,28,365,311,85.21,48,13.15,6,1.64
4005,40,5,387,311,80.36,64,16.54,12,3.1
4006,40,6,348,277,79.6,53,15.23,18,5.17
4020,40,20,257,181,70.43,66,25.68,10,3.89
4302,43,2,512,315,61.52,173,33.79,24,4.69
4306,43,6,403,268,66.5,113,28.04,22,5.46
4307,43,7,259,172,66.41,72,27.8,15,5.79
4320,43,20,462,316,68.4,131,28.35,15,3.25
4321,43,21,315,204,64.76,103,32.7,8,2.54
4322,43,22,327,184,56.27,124,37.92,19,5.81
4329,43,29,373,244,65.42,114,30.56,15,4.02
4331,43,31,333,222,66.67,99,29.73,12,3.6
4335,43,35,506,319,63.04,173,34.19,14,2.77
4339,43,39,426,255,59.86,158,37.09,13,3.05
4341,43,41,333,206,61.86,114,34.23,13,3.9
4350,43,50,364,241,66.21,112,30.77,11,3.02
4356,43,56,330,229,69.39,91,27.58,10,3.03
4357,43,57,501,318,63.47,163,32.53,20,3.99
4409,44,9,862,552,64.04,283,32.83,27,3.13
4411,44,11,664,468,70.48,164,24.7,32,4.82
4413,44,13,402,284,70.65,108,26.87,10,2.49
4416,44,16,576,424,73.61,131,22.74,21,3.65
4425,44,25,593,404,68.13,166,27.99,23,3.88
4427,44,27,625,424,67.84,178,28.48,23,3.68
4440,44,40,614,376,61.24,213,34.69,25,4.07
4443,44,43,677,488,72.08,157,23.19,32,4.73
4447,44,47,733,480,65.48,218,29.74,35,4.77
4701,47,1,537,449,83.61,65,12.1,23,4.28
4702,47,2,379,299,78.89,69,18.21,11,2.9
4703,47,3,385,292,75.84,74,19.22,19,4.94
4704,47,4,440,371,84.32,56,12.73,13,2.95
4706,47,6,550,451,82.0,84,15.27,15,2.73
4707,47,7,474,361,76.16,93,19.62,20,4.22
4708,47,8,590,471,79.83,92,15.59,27,4.58
4709,47,9,298,249,83.56,43,14.43,6,2.01
4712,47,12,471,372,78.98,81,17.2,18,3.82
4713,47,13,620,523,84.35,80,12.9,17,2.74
4714,47,14,333,269,80.78,47,14.11,17,5.11
4715,47,15,535,459,85.79,50,9.35,26,4.86
4716,47,16,445,353,79.33,71,15.96,21,4.72
4717,47,17,390,318,81.54,63,16.15,9,2.31
4718,47,18,529,413,78.07,92,17.39,24,4.54
4721,47,21,459,356,77.56,83,18.08,20,4.36
4724,47,24,562,413,73.49,121,21.53,28,4.98
4725,47,25,564,444,78.72,94,16.67,26,4.61
4727,47,27,499,387,77.56,90,18.04,22,4.41
4729,47,29,533,413,77.49,97,18.2,23,4.32
4735,47,35,707,551,77.93,123,17.4,33,4.67
4740,47,40,479,377,78.71,71,14.82,31,6.47
4742,47,42,399,328,82.21,48,12.03,23,5.76
4743,47,43,367,283,77.11,65,17.71,19,5.18
4744,47,44,695,472,67.91,196,28.2,27,3.88
4746,47,46,383,303,79.11,72,18.8,8,2.09
4747,47,47,443,351,79.23,74,16.7,18,4.06
4748,47,48,67,55,82.09,9,13.43,3,4.48
4749,47,49,397,305,76.83,76,19.14,16,4.03
4750,47,50,414,321,77.54,84,20.29,9,2.17
4751,47,51,332,259,78.01,60,18.07,13,3.92
