ward,precinct,total,Lou Lang,Lou Lang Percent,Thomas T. Morris,Thomas T. Morris Percent
4008,40,8,119,91,76.47,28,23.53
4928,49,28,352,313,88.92,39,11.08
4938,49,38,299,276,92.31,23,7.69
4940,49,40,331,279,84.29,52,15.71
4941,49,41,359,304,84.68,55,15.32
4944,49,44,411,353,85.89,58,14.11
5001,50,1,461,382,82.86,79,17.14
5002,50,2,434,331,76.27,103,23.73
5003,50,3,346,294,84.97,52,15.03
5004,50,4,375,320,85.33,55,14.67
5005,50,5,391,296,75.7,95,24.3
5006,50,6,305,261,85.57,44,14.43
5007,50,7,413,348,84.26,65,15.74
5008,50,8,356,290,81.46,66,18.54
5009,50,9,311,255,81.99,56,18.01
5010,50,10,332,256,77.11,76,22.89
5011,50,11,371,315,84.91,56,15.09
5012,50,12,234,187,79.91,47,20.09
5013,50,13,469,412,87.85,57,12.15
5014,50,14,173,151,87.28,22,12.72
5015,50,15,428,357,83.41,71,16.59
5016,50,16,193,163,84.46,30,15.54
5017,50,17,376,287,76.33,89,23.67
5018,50,18,336,273,81.25,63,18.75
5019,50,19,297,243,81.82,54,18.18
5020,50,20,382,289,75.65,93,24.35
5021,50,21,393,308,78.37,85,21.63
5022,50,22,445,362,81.35,83,18.65
5023,50,23,266,203,76.32,63,23.68
5024,50,24,389,300,77.12,89,22.88
5025,50,25,357,278,77.87,79,22.13
5026,50,26,279,213,76.34,66,23.66
5027,50,27,140,119,85.0,21,15.0
5028,50,28,392,318,81.12,74,18.88
5029,50,29,401,331,82.54,70,17.46
5030,50,30,326,254,77.91,72,22.09
5031,50,31,146,134,91.78,12,8.22
5032,50,32,328,266,81.1,62,18.9
5033,50,33,294,216,73.47,78,26.53
5034,50,34,243,234,96.3,9,3.7
5035,50,35,432,355,82.18,77,17.82
5036,50,36,377,271,71.88,106,28.12
5037,50,37,411,330,80.29,81,19.71
5038,50,38,224,201,89.73,23,10.27
5039,50,39,388,318,81.96,70,18.04
5040,50,40,424,333,78.54,91,21.46
5041,50,41,445,372,83.6,73,16.4
5042,50,42,356,303,85.11,53,14.89
5043,50,43,390,309,79.23,81,20.77
