ward,precinct,total,Dorothy A. Brown,Dorothy A. Brown Percent,Judith A. Kleiderman,Judith A. Kleiderman Percent
0101,1,1,467,376,80.51,91,19.49
0102,1,2,610,490,80.33,120,19.67
0103,1,3,486,401,82.51,85,17.49
0104,1,4,425,358,84.24,67,15.76
0105,1,5,536,440,82.09,96,17.91
0106,1,6,365,282,77.26,83,22.74
0107,1,7,623,464,74.48,159,25.52
0108,1,8,424,347,81.84,77,18.16
0109,1,9,325,272,83.69,53,16.31
0110,1,10,398,324,81.41,74,18.59
0111,1,11,524,433,82.63,91,17.37
0112,1,12,489,393,80.37,96,19.63
0113,1,13,427,374,87.59,53,12.41
0114,1,14,596,512,85.91,84,14.09
0115,1,15,298,270,90.6,28,9.4
0116,1,16,217,204,94.01,13,5.99
0117,1,17,517,425,82.21,92,17.79
0118,1,18,332,304,91.57,28,8.43
0119,1,19,473,356,75.26,117,24.74
0120,1,20,325,271,83.38,54,16.62
0121,1,21,668,506,75.75,162,24.25
0122,1,22,394,344,87.31,50,12.69
0123,1,23,501,428,85.43,73,14.57
0124,1,24,518,436,84.17,82,15.83
0125,1,25,428,340,79.44,88,20.56
0126,1,26,493,390,79.11,103,20.89
0127,1,27,445,369,82.92,76,17.08
0128,1,28,445,373,83.82,72,16.18
0129,1,29,356,270,75.84,86,24.16
0130,1,30,522,447,85.63,75,14.37
0131,1,31,508,343,67.52,165,32.48
0132,1,32,319,267,83.7,52,16.3
0133,1,33,496,421,84.88,75,15.12
0134,1,34,290,234,80.69,56,19.31
0135,1,35,318,235,73.9,83,26.1
0136,1,36,565,409,72.39,156,27.61
0137,1,37,524,426,81.3,98,18.7
0138,1,38,233,196,84.12,37,15.88
0139,1,39,492,391,79.47,101,20.53
0140,1,40,187,154,82.35,33,17.65
0201,2,1,629,449,71.38,180,28.62
0202,2,2,15,13,86.67,2,13.33
0203,2,3,442,366,82.81,76,17.19
0204,2,4,318,315,99.06,3,0.94
0205,2,5,239,231,96.65,8,3.35
0206,2,6,558,360,64.52,198,35.48
0207,2,7,436,429,98.39,7,1.61
0208,2,8,517,400,77.37,117,22.63
0209,2,9,261,257,98.47,4,1.53
0210,2,10,126,121,96.03,5,3.97
0211,2,11,191,139,72.77,52,27.23
0212,2,12,557,358,64.27,199,35.73
0213,2,13,331,277,83.69,54,16.31
0214,2,14,469,452,96.38,17,3.62
0215,2,15,82,78,95.12,4,4.88
0216,2,16,541,386,71.35,155,28.65
0217,2,17,379,370,97.63,9,2.37
0218,2,18,1173,828,70.59,345,29.41
0219,2,19,179,176,98.32,3,1.68
0220,2,20,390,372,95.38,18,4.62
0221,2,21,403,356,88.34,47,11.66
0222,2,22,594,452,76.09,142,23.91
0223,2,23,257,236,91.83,21,8.17
0224,2,24,225,217,96.44,8,3.56
0225,2,25,253,208,82.21,45,17.79
0226,2,26,656,529,80.64,127,19.36
0227,2,27,273,268,98.17,5,1.83
0228,2,28,294,192,65.31,102,34.69
0229,2,29,161,136,84.47,25,15.53
0230,2,30,328,322,98.17,6,1.83
0231,2,31,366,359,98.09,7,1.91
0232,2,32,220,218,99.09,2,0.91
0233,2,33,292,285,97.6,7,2.4
0234,2,34,346,335,96.82,11,3.18
0235,2,35,229,177,77.29,52,22.71
0236,2,36,173,170,98.27,3,1.73
0237,2,37,509,391,76.82,118,23.18
0238,2,38,417,390,93.53,27,6.47
0239,2,39,390,332,85.13,58,14.87
0240,2,40,477,413,86.58,64,13.42
0241,2,41,255,247,96.86,8,3.14
0242,2,42,190,164,86.32,26,13.68
0243,2,43,514,422,82.1,92,17.9
0244,2,44,232,228,98.28,4,1.72
0245,2,45,369,356,96.48,13,3.52
0246,2,46,462,449,97.19,13,2.81
0247,2,47,308,300,97.4,8,2.6
0248,2,48,283,280,98.94,3,1.06
0249,2,49,622,479,77.01,143,22.99
0250,2,50,275,227,82.55,48,17.45
0251,2,51,324,316,97.53,8,2.47
0252,2,52,412,403,97.82,9,2.18
0253,2,53,216,211,97.69,5,2.31
0254,2,54,500,385,77.0,115,23.0
0255,2,55,119,94,78.99,25,21.01
0256,2,56,299,294,98.33,5,1.67
0257,2,57,149,139,93.29,10,6.71
0258,2,58,269,225,83.64,44,16.36
0259,2,59,370,304,82.16,66,17.84
0301,3,1,261,261,100.0,0,0.0
0302,3,2,428,418,97.66,10,2.34
