ward,precinct,total,Patrick Dennis Riley,Patrick Dennis Riley Percent,Jeanne Marie Reynolds,Jeanne Marie Reynolds Percent,Michelle Jordan,Michelle Jordan Percent,Kathleen Ann Panozzo,Kathleen Ann Panozzo Percent,William Burnett Raines,William Burnett Raines Percent
0101,1,1,117,30,25.64,17,14.53,34,29.06,25,21.37,11,9.4
0102,1,2,128,14,10.94,21,16.41,57,44.53,27,21.09,9,7.03
0103,1,3,80,9,11.25,13,16.25,32,40.0,22,27.5,4,5.0
0104,1,4,117,24,20.51,16,13.68,45,38.46,21,17.95,11,9.4
0105,1,5,97,10,10.31,17,17.53,48,49.48,16,16.49,6,6.19
0106,1,6,90,16,17.78,15,16.67,26,28.89,25,27.78,8,8.89
0107,1,7,120,25,20.83,23,19.17,40,33.33,26,21.67,6,5.0
0108,1,8,113,16,14.16,8,7.08,61,53.98,18,15.93,10,8.85
0109,1,9,134,22,16.42,28,20.9,52,38.81,19,14.18,13,9.7
0110,1,10,76,6,7.89,15,19.74,32,42.11,21,27.63,2,2.63
0111,1,11,109,18,16.51,14,12.84,44,40.37,27,24.77,6,5.5
0112,1,12,96,12,12.5,17,17.71,35,36.46,22,22.92,10,10.42
0113,1,13,131,31,23.66,23,17.56,44,33.59,24,18.32,9,6.87
0114,1,14,149,21,14.09,21,14.09,72,48.32,20,13.42,15,10.07
0115,1,15,67,15,22.39,16,23.88,25,37.31,7,10.45,4,5.97
0116,1,16,89,19,21.35,12,13.48,43,48.31,6,6.74,9,10.11
0117,1,17,109,16,14.68,22,20.18,50,45.87,15,13.76,6,5.5
0118,1,18,104,14,13.46,14,13.46,44,42.31,24,23.08,8,7.69
0119,1,19,129,28,21.71,20,15.5,49,37.98,23,17.83,9,6.98
0120,1,20,107,28,26.17,14,13.08,42,39.25,17,15.89,6,5.61
0121,1,21,120,23,19.17,14,11.67,61,50.83,15,12.5,7,5.83
0122,1,22,99,21,21.21,17,17.17,37,37.37,15,15.15,9,9.09
0123,1,23,114,20,17.54,26,22.81,37,32.46,25,21.93,6,5.26
0124,1,24,193,49,25.39,26,13.47,72,37.31,34,17.62,12,6.22
0125,1,25,90,15,16.67,13,14.44,47,52.22,11,12.22,4,4.44
