ward,precinct,total,Timothy Patrick Murphy,Timothy Patrick Murphy Percent,John Noonan Farrell,John Noonan Farrell Percent,Lisa R. Curcio,Lisa R. Curcio Percent,Mary Lou Ryan Norwell,Mary Lou Ryan Norwell Percent,Mary Beth Duffy,Mary Beth Duffy Percent,Edwin Jon Belz,Edwin Jon Belz Percent,Susan Patricia Malone,Susan Patricia Malone Percent,Terrence J. McConville,Terrence J. McConville Percent
0101,1,1,119,32,26.89,6,5.04,22,18.49,3,2.52,12,10.08,13,10.92,27,22.69,4,3.36
0102,1,2,131,17,12.98,5,3.82,50,38.17,3,2.29,18,13.74,7,5.34,20,15.27,11,8.4
0103,1,3,79,15,18.99,2,2.53,28,35.44,7,8.86,7,8.86,5,6.33,11,13.92,4,5.06
0104,1,4,116,23,19.83,3,2.59,41,35.34,4,3.45,17,14.66,6,5.17,19,16.38,3,2.59
0105,1,5,95,18,18.95,3,3.16,28,29.47,6,6.32,11,11.58,7,7.37,20,21.05,2,2.11
0106,1,6,96,20,20.83,3,3.13,29,30.21,9,9.38,9,9.38,4,4.17,18,18.75,4,4.17
0107,1,7,127,27,21.26,4,3.15,43,33.86,6,4.72,18,14.17,7,5.51,19,14.96,3,2.36
0108,1,8,118,24,20.34,5,4.24,45,38.14,10,8.47,11,9.32,2,1.69,18,15.25,3,2.54
0109,1,9,130,16,12.31,8,6.15,47,36.15,4,3.08,19,14.62,7,5.38,23,17.69,6,4.62
0110,1,10,75,14,18.67,7,9.33,20,26.67,4,5.33,9,12.0,2,2.67,16,21.33,3,4.0
0111,1,11,109,23,21.1,5,4.59,30,27.52,3,2.75,9,8.26,15,13.76,22,20.18,2,1.83
0112,1,12,103,19,18.45,2,1.94,44,42.72,0,0.0,7,6.8,12,11.65,15,14.56,4,3.88
0113,1,13,127,41,32.28,2,1.57,35,27.56,5,3.94,16,12.6,3,2.36,23,18.11,2,1.57
0114,1,14,155,27,17.42,6,3.87,60,38.71,8,5.16,12,7.74,6,3.87,34,21.94,2,1.29
0115,1,15,76,19,25.0,1,1.32,23,30.26,2,2.63,7,9.21,4,5.26,18,23.68,2,2.63
0116,1,16,84,28,33.33,4,4.76,24,28.57,7,8.33,3,3.57,3,3.57,12,14.29,3,3.57
0117,1,17,108,27,25.0,5,4.63,36,33.33,2,1.85,8,7.41,5,4.63,18,16.67,7,6.48
0118,1,18,101,14,13.86,3,2.97,35,34.65,10,9.9,8,7.92,4,3.96,25,24.75,2,1.98
0119,1,19,134,22,16.42,3,2.24,44,32.84,4,2.99,16,11.94,8,5.97,33,24.63,4,2.99
0120,1,20,113,31,27.43,4,3.54,33,29.2,11,9.73,8,7.08,2,1.77,19,16.81,5,4.42
0121,1,21,121,25,20.66,6,4.96,46,38.02,7,5.79,13,10.74,4,3.31,18,14.88,2,1.65
0122,1,22,107,22,20.56,5,4.67,45,42.06,7,6.54,9,8.41,3,2.8,15,14.02,1,0.93
0123,1,23,117,22,18.8,6,5.13,37,31.62,5,4.27,11,9.4,7,5.98,29,24.79,0,0.0
0124,1,24,198,47,23.74,10,5.05,49,24.75,12,6.06,20,10.1,9,4.55,46,23.23,5,2.53
0125,1,25,92,18,19.57,3,3.26,40,43.48,4,4.35,7,7.61,2,2.17,17,18.48,1,1.09
0126,1,26,103,33,32.04,3,2.91,35,33.98,2,1.94,7,6.8,11,10.68,10,9.71,2,1.94
0127,1,27,99,14,14.14,6,6.06,38,38.38,8,8.08,7,7.07,7,7.07,15,15.15,4,4.04
0128,1,28,137,25,18.25,6,4.38,45,32.85,16,11.68,17,12.41,6,4.38,17,12.41,5,3.65
0129,1,29,93,15,16.13,3,3.23,29,31.18,5,5.38,11,11.83,7,7.53,21,22.58,2,2.15
0130,1,30,176,36,20.45,8,4.55,63,35.8,14,7.95,13,7.39,7,3.98,31,17.61,4,2.27
0131,1,31,50,10,20.0,1,2.0,15,30.0,5,10.0,7,14.0,2,4.0,8,16.0,2,4.0
0132,1,32,81,18,22.22,8,9.88,22,27.16,5,6.17,9,11.11,3,3.7,11,13.58,5,6.17
0133,1,33,117,30,25.64,2,1.71,39,33.33,8,6.84,6,5.13,6,5.13,23,19.66,3,2.56
0134,1,34,68,9,13.24,6,8.82,23,33.82,5,7.35,6,8.82,3,4.41,10,14.71,6,8.82
0135,1,35,51,12,23.53,6,11.76,18,35.29,1,1.96,3,5.88,3,5.88,7,13.73,1,1.96
0136,1,36,102,22,21.57,3,2.94,27,26.47,4,3.92,10,9.8,5,4.9,28,27.45,3,2.94
0137,1,37,111,28,25.23,6,5.41,34,30.63,5,4.5,16,14.41,3,2.7,18,16.22,1,0.9
0138,1,38,66,15,22.73,2,3.03,24,36.36,6,9.09,6,9.09,2,3.03,11,16.67,0,0.0
0139,1,39,158,38,24.05,9,5.7,45,28.48,10,6.33,12,7.59,9,5.7,27,17.09,8,5.06
0140,1,40,49,11,22.45,0,0.0,14,28.57,3,6.12,6,12.24,1,2.04,13,26.53,1,2.04
0201,2,1,154,39,25.32,6,3.9,38,24.68,10,6.49,19,12.34,9,5.84,26,16.88,7,4.55
0202,2,2,8,4,50.0,1,12.5,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5
0203,2,3,89,29,32.58,9,10.11,12,13.48,8,8.99,12,13.48,6,6.74,10,11.24,3,3.37
0204,2,4,99,43,43.43,3,3.03,12,12.12,8,8.08,11,11.11,1,1.01,19,19.19,2,2.02
0205,2,5,72,22,30.56,4,5.56,3,4.17,6,8.33,13,18.06,2,2.78,17,23.61,5,6.94
0206,2,6,66,17,25.76,2,3.03,19,28.79,2,3.03,5,7.58,1,1.52,18,27.27,2,3.03
0207,2,7,201,62,30.85,5,2.49,25,12.44,21,10.45,23,11.44,8,3.98,48,23.88,9,4.48
0208,2,8,164,31,18.9,2,1.22,44,26.83,7,4.27,18,10.98,10,6.1,44,26.83,8,4.88
0209,2,9,110,42,38.18,8,7.27,6,5.45,16,14.55,16,14.55,1,0.91,17,15.45,4,3.64
0210,2,10,39,12,30.77,1,2.56,7,17.95,3,7.69,6,15.38,2,5.13,4,10.26,4,10.26
0211,2,11,82,12,14.63,2,2.44,30,36.59,4,4.88,2,2.44,8,9.76,19,23.17,5,6.1
0212,2,12,68,16,23.53,4,5.88,15,22.06,3,4.41,5,7.35,4,5.88,18,26.47,3,4.41
0213,2,13,112,21,18.75,6,5.36,33,29.46,3,2.68,13,11.61,6,5.36,26,23.21,4,3.57
0214,2,14,246,76,30.89,14,5.69,35,14.23,16,6.5,24,9.76,10,4.07,56,22.76,15,6.1
0215,2,15,30,11,36.67,2,6.67,2,6.67,6,20.0,3,10.0,1,3.33,5,16.67,0,0.0
0216,2,16,85,24,28.24,7,8.24,13,15.29,3,3.53,15,17.65,0,0.0,18,21.18,5,5.88
0217,2,17,123,43,34.96,7,5.69,13,10.57,19,15.45,11,8.94,2,1.63,25,20.33,3,2.44
0218,2,18,251,67,26.69,19,7.57,62,24.7,15,5.98,25,9.96,7,2.79,49,19.52,7,2.79
0219,2,19,80,30,37.5,5,6.25,9,11.25,11,13.75,14,17.5,2,2.5,6,7.5,3,3.75
0220,2,20,147,54,36.73,6,4.08,20,13.61,16,10.88,11,7.48,1,0.68,33,22.45,6,4.08
0221,2,21,163,53,32.52,5,3.07,24,14.72,17,10.43,23,14.11,4,2.45,31,19.02,6,3.68
0222,2,22,240,42,17.5,13,5.42,68,28.33,19,7.92,21,8.75,12,5.0,56,23.33,9,3.75
0223,2,23,99,34,34.34,9,9.09,13,13.13,6,6.06,14,14.14,1,1.01,16,16.16,6,6.06
0224,2,24,78,35,44.87,3,3.85,12,15.38,4,5.13,8,10.26,4,5.13,8,10.26,4,5.13
0225,2,25,74,22,29.73,3,4.05,12,16.22,1,1.35,8,10.81,2,2.7,23,31.08,3,4.05
0226,2,26,149,39,26.17,12,8.05,35,23.49,11,7.38,17,11.41,4,2.68,27,18.12,4,2.68
0227,2,27,76,28,36.84,3,3.95,4,5.26,11,14.47,8,10.53,3,3.95,12,15.79,7,9.21
0228,2,28,39,10,25.64,2,5.13,13,33.33,1,2.56,4,10.26,2,5.13,6,15.38,1,2.56
0229,2,29,60,17,28.33,1,1.67,16,26.67,1,1.67,7,11.67,1,1.67,15,25.0,2,3.33
0230,2,30,89,27,30.34,7,7.87,11,12.36,8,8.99,11,12.36,4,4.49,15,16.85,6,6.74
0231,2,31,154,48,31.17,4,2.6,9,5.84,21,13.64,15,9.74,1,0.65,46,29.87,10,6.49
0232,2,32,74,26,35.14,2,2.7,10,13.51,10,13.51,15,20.27,2,2.7,8,10.81,1,1.35
0233,2,33,83,27,32.53,4,4.82,7,8.43,7,8.43,8,9.64,2,2.41,22,26.51,6,7.23
