ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent
0214,2,14,202,202,100.0
0220,2,20,190,190,100.0
0231,2,31,186,186,100.0
0244,2,44,121,121,100.0
0246,2,46,245,245,100.0
0305,3,5,88,88,100.0
0307,3,7,164,164,100.0
0330,3,30,128,128,100.0
0334,3,34,110,110,100.0
0336,3,36,0,0,0.0
0338,3,38,39,39,100.0
0341,3,41,55,55,100.0
0344,3,44,77,77,100.0
0346,3,46,170,170,100.0
0349,3,49,2,2,100.0
0353,3,53,132,132,100.0
0356,3,56,0,0,0.0
0358,3,58,52,52,100.0
0401,4,1,184,184,100.0
0402,4,2,255,255,100.0
0403,4,3,250,250,100.0
0408,4,8,202,202,100.0
0409,4,9,398,398,100.0
0412,4,12,117,117,100.0
0413,4,13,196,196,100.0
0416,4,16,281,281,100.0
0417,4,17,233,233,100.0
0418,4,18,227,227,100.0
0419,4,19,238,238,100.0
0420,4,20,76,76,100.0
0421,4,21,267,267,100.0
0422,4,22,272,272,100.0
0423,4,23,152,152,100.0
0424,4,24,270,270,100.0
0426,4,26,205,205,100.0
0428,4,28,156,156,100.0
0429,4,29,163,163,100.0
0430,4,30,69,69,100.0
0431,4,31,57,57,100.0
0432,4,32,255,255,100.0
0433,4,33,89,89,100.0
0434,4,34,164,164,100.0
0437,4,37,109,109,100.0
0438,4,38,319,319,100.0
0439,4,39,96,96,100.0
0440,4,40,203,203,100.0
0441,4,41,101,101,100.0
0442,4,42,0,0,0.0
0443,4,43,135,135,100.0
0444,4,44,143,143,100.0
0445,4,45,353,353,100.0
0446,4,46,208,208,100.0
0447,4,47,313,313,100.0
0448,4,48,293,293,100.0
0449,4,49,100,100,100.0
0450,4,50,180,180,100.0
0451,4,51,230,230,100.0
0452,4,52,40,40,100.0
0454,4,54,99,99,100.0
0455,4,55,151,151,100.0
0456,4,56,252,252,100.0
0457,4,57,112,112,100.0
0502,5,2,194,194,100.0
0503,5,3,112,112,100.0
0505,5,5,171,171,100.0
0508,5,8,232,232,100.0
0509,5,9,199,199,100.0
0510,5,10,207,207,100.0
0512,5,12,136,136,100.0
0513,5,13,181,181,100.0
0515,5,15,193,193,100.0
0516,5,16,160,160,100.0
0517,5,17,238,238,100.0
0518,5,18,255,255,100.0
0519,5,19,88,88,100.0
0520,5,20,79,79,100.0
0522,5,22,216,216,100.0
0523,5,23,161,161,100.0
0525,5,25,206,206,100.0
0527,5,27,211,211,100.0
0530,5,30,145,145,100.0
0533,5,33,146,146,100.0
0535,5,35,151,151,100.0
0539,5,39,188,188,100.0
0541,5,41,174,174,100.0
0545,5,45,119,119,100.0
0548,5,48,157,157,100.0
0550,5,50,191,191,100.0
0551,5,51,154,154,100.0
0552,5,52,58,58,100.0
0553,5,53,244,244,100.0
0555,5,55,166,166,100.0
0601,6,1,269,269,100.0
0602,6,2,264,264,100.0
0603,6,3,245,245,100.0
0604,6,4,147,147,100.0
0605,6,5,105,105,100.0
0606,6,6,193,193,100.0
0607,6,7,253,253,100.0
0608,6,8,210,210,100.0
0609,6,9,168,168,100.0
0610,6,10,252,252,100.0
0611,6,11,218,218,100.0
0612,6,12,151,151,100.0
0613,6,13,197,197,100.0
0614,6,14,212,212,100.0
0615,6,15,171,171,100.0
0616,6,16,247,247,100.0
0617,6,17,271,271,100.0
