ward,precinct,total,James Michael McGing,James Michael McGing Percent,Aurelia Marie Pucinski,Aurelia Marie Pucinski Percent,Carolyn Quinn,Carolyn Quinn Percent
0107,1,7,6,1,16.67,4,66.67,1,16.67
3001,30,1,101,19,18.81,40,39.6,42,41.58
3003,30,3,53,7,13.21,38,71.7,8,15.09
3008,30,8,10,1,10.0,8,80.0,1,10.0
3015,30,15,110,23,20.91,55,50.0,32,29.09
3209,32,9,93,14,15.05,33,35.48,46,49.46
3215,32,15,23,5,21.74,10,43.48,8,34.78
3219,32,19,42,8,19.05,17,40.48,17,40.48
3221,32,21,94,21,22.34,39,41.49,34,36.17
3222,32,22,141,25,17.73,42,29.79,74,52.48
3225,32,25,91,23,25.27,33,36.26,35,38.46
3305,33,5,57,11,19.3,35,61.4,11,19.3
3314,33,14,121,26,21.49,64,52.89,31,25.62
3318,33,18,61,6,9.84,34,55.74,21,34.43
3329,33,29,136,18,13.24,76,55.88,42,30.88
3334,33,34,109,10,9.17,65,59.63,34,31.19
3522,35,22,55,7,12.73,18,32.73,30,54.55
3533,35,33,54,12,22.22,22,40.74,20,37.04
3801,38,1,147,47,31.97,61,41.5,39,26.53
3804,38,4,56,13,23.21,30,53.57,13,23.21
3805,38,5,197,48,24.37,82,41.62,67,34.01
3807,38,7,139,41,29.5,60,43.17,38,27.34
3810,38,10,50,9,18.0,23,46.0,18,36.0
3841,38,41,200,82,41.0,75,37.5,43,21.5
3842,38,42,166,85,51.2,56,33.73,25,15.06
3901,39,1,145,44,30.34,54,37.24,47,32.41
3902,39,2,224,79,35.27,79,35.27,66,29.46
3903,39,3,178,76,42.7,45,25.28,57,32.02
3904,39,4,108,35,32.41,39,36.11,34,31.48
3905,39,5,101,25,24.75,42,41.58,34,33.66
3906,39,6,132,26,19.7,63,47.73,43,32.58
3907,39,7,121,51,42.15,46,38.02,24,19.83
3908,39,8,190,75,39.47,70,36.84,45,23.68
3909,39,9,200,94,47.0,70,35.0,36,18.0
3910,39,10,132,46,34.85,54,40.91,32,24.24
3911,39,11,205,92,44.88,69,33.66,44,21.46
3912,39,12,84,19,22.62,40,47.62,25,29.76
3913,39,13,77,26,33.77,19,24.68,32,41.56
3914,39,14,121,47,38.84,45,37.19,29,23.97
3915,39,15,118,46,38.98,47,39.83,25,21.19
3916,39,16,75,17,22.67,33,44.0,25,33.33
3917,39,17,100,27,27.0,36,36.0,37,37.0
3918,39,18,144,43,29.86,54,37.5,47,32.64
3919,39,19,106,32,30.19,43,40.57,31,29.25
3920,39,20,129,45,34.88,42,32.56,42,32.56
3921,39,21,91,25,27.47,49,53.85,17,18.68
3922,39,22,131,73,55.73,23,17.56,35,26.72
3923,39,23,96,31,32.29,34,35.42,31,32.29
3924,39,24,127,26,20.47,65,51.18,36,28.35
3925,39,25,125,28,22.4,52,41.6,45,36.0
3926,39,26,175,50,28.57,70,40.0,55,31.43
3927,39,27,123,25,20.33,58,47.15,40,32.52
3928,39,28,136,23,16.91,59,43.38,54,39.71
3929,39,29,136,39,28.68,57,41.91,40,29.41
3930,39,30,77,13,16.88,39,50.65,25,32.47
3931,39,31,110,16,14.55,37,33.64,57,51.82
3933,39,33,143,40,27.97,57,39.86,46,32.17
3934,39,34,139,32,23.02,65,46.76,42,30.22
3935,39,35,138,34,24.64,51,36.96,53,38.41
3936,39,36,188,80,42.55,69,36.7,39,20.74
3937,39,37,218,70,32.11,57,26.15,91,41.74
3938,39,38,127,27,21.26,47,37.01,53,41.73
3939,39,39,72,17,23.61,37,51.39,18,25.0
3940,39,40,102,48,47.06,33,32.35,21,20.59
3941,39,41,21,5,23.81,15,71.43,1,4.76
3942,39,42,166,65,39.16,57,34.34,44,26.51
3943,39,43,95,10,10.53,46,48.42,39,41.05
3944,39,44,152,22,14.47,79,51.97,51,33.55
3945,39,45,77,21,27.27,32,41.56,24,31.17
3946,39,46,98,14,14.29,45,45.92,39,39.8
3947,39,47,97,25,25.77,52,53.61,20,20.62
4001,40,1,80,19,23.75,41,51.25,20,25.0
4002,40,2,91,30,32.97,30,32.97,31,34.07
4005,40,5,120,47,39.17,40,33.33,33,27.5
4006,40,6,113,25,22.12,42,37.17,46,40.71
4008,40,8,42,13,30.95,18,42.86,11,26.19
