ward,precinct,total,Toni Preckwinkle,Toni Preckwinkle Percent
0401,4,1,187,187,100.0
0402,4,2,246,246,100.0
0403,4,3,250,250,100.0
0404,4,4,204,204,100.0
0405,4,5,188,188,100.0
0406,4,6,88,88,100.0
0407,4,7,125,125,100.0
0408,4,8,177,177,100.0
0409,4,9,392,392,100.0
0410,4,10,210,210,100.0
0411,4,11,206,206,100.0
0412,4,12,95,95,100.0
0413,4,13,186,186,100.0
0414,4,14,104,104,100.0
0415,4,15,111,111,100.0
0416,4,16,243,243,100.0
0417,4,17,227,227,100.0
0418,4,18,189,189,100.0
0419,4,19,211,211,100.0
0420,4,20,54,54,100.0
0421,4,21,263,263,100.0
0422,4,22,278,278,100.0
0423,4,23,157,157,100.0
0424,4,24,261,261,100.0
0425,4,25,205,205,100.0
0426,4,26,171,171,100.0
0427,4,27,231,231,100.0
0428,4,28,164,164,100.0
0429,4,29,170,170,100.0
0430,4,30,54,54,100.0
0431,4,31,48,48,100.0
0432,4,32,248,248,100.0
0433,4,33,82,82,100.0
0434,4,34,163,163,100.0
0435,4,35,91,91,100.0
0436,4,36,86,86,100.0
0437,4,37,77,77,100.0
0438,4,38,301,301,100.0
0439,4,39,88,88,100.0
0440,4,40,175,175,100.0
0441,4,41,108,108,100.0
0442,4,42,218,218,100.0
0443,4,43,129,129,100.0
0444,4,44,140,140,100.0
0445,4,45,339,339,100.0
0446,4,46,176,176,100.0
0447,4,47,307,307,100.0
0448,4,48,293,293,100.0
0449,4,49,92,92,100.0
0450,4,50,157,157,100.0
0451,4,51,226,226,100.0
0452,4,52,30,30,100.0
0453,4,53,190,190,100.0
0454,4,54,101,101,100.0
0455,4,55,149,149,100.0
0456,4,56,232,232,100.0
0457,4,57,113,113,100.0
