ward,precinct,total,"Theodore ""Ted"" Thomas","Theodore ""Ted"" Thomas Percent"
1501,15,1,91,91,100.0
1502,15,2,115,115,100.0
1503,15,3,117,117,100.0
1504,15,4,89,89,100.0
1505,15,5,92,92,100.0
1506,15,6,121,121,100.0
1507,15,7,107,107,100.0
1508,15,8,153,153,100.0
1509,15,9,123,123,100.0
1510,15,10,86,86,100.0
1511,15,11,145,145,100.0
1512,15,12,88,88,100.0
1513,15,13,76,76,100.0
1514,15,14,134,134,100.0
1515,15,15,80,80,100.0
1516,15,16,70,70,100.0
1517,15,17,103,103,100.0
1518,15,18,96,96,100.0
1519,15,19,104,104,100.0
1520,15,20,122,122,100.0
1521,15,21,123,123,100.0
1522,15,22,139,139,100.0
1523,15,23,90,90,100.0
1524,15,24,110,110,100.0
1525,15,25,104,104,100.0
1526,15,26,97,97,100.0
1527,15,27,92,92,100.0
1528,15,28,118,118,100.0
1529,15,29,47,47,100.0
1530,15,30,147,147,100.0
1531,15,31,90,90,100.0
1532,15,32,114,114,100.0
1533,15,33,97,97,100.0
1534,15,34,77,77,100.0
1535,15,35,106,106,100.0
1536,15,36,88,88,100.0
1537,15,37,100,100,100.0
1538,15,38,107,107,100.0
1539,15,39,124,124,100.0
1540,15,40,116,116,100.0
1541,15,41,164,164,100.0
1542,15,42,76,76,100.0
1543,15,43,110,110,100.0
1544,15,44,134,134,100.0
1545,15,45,53,53,100.0
1546,15,46,108,108,100.0
1547,15,47,129,129,100.0
1548,15,48,88,88,100.0
1549,15,49,71,71,100.0
1550,15,50,97,97,100.0
1551,15,51,89,89,100.0
1552,15,52,74,74,100.0
