ward,precinct,total,Michael D. Chandler,Michael D. Chandler Percent
2401,24,1,127,127,100.0
2402,24,2,151,151,100.0
2403,24,3,173,173,100.0
2404,24,4,137,137,100.0
2405,24,5,113,113,100.0
2406,24,6,174,174,100.0
2407,24,7,158,158,100.0
2408,24,8,139,139,100.0
2409,24,9,161,161,100.0
2410,24,10,118,118,100.0
2411,24,11,67,67,100.0
2412,24,12,105,105,100.0
2413,24,13,116,116,100.0
2414,24,14,224,224,100.0
2415,24,15,115,115,100.0
2416,24,16,114,114,100.0
2417,24,17,151,151,100.0
2418,24,18,118,118,100.0
2419,24,19,103,103,100.0
2420,24,20,175,175,100.0
2421,24,21,111,111,100.0
2422,24,22,145,145,100.0
2423,24,23,158,158,100.0
2424,24,24,113,113,100.0
2425,24,25,142,142,100.0
2426,24,26,197,197,100.0
2427,24,27,98,98,100.0
2428,24,28,190,190,100.0
2429,24,29,164,164,100.0
2430,24,30,129,129,100.0
2431,24,31,122,122,100.0
2432,24,32,168,168,100.0
2433,24,33,104,104,100.0
2434,24,34,124,124,100.0
2435,24,35,180,180,100.0
2436,24,36,136,136,100.0
2437,24,37,167,167,100.0
2438,24,38,160,160,100.0
2439,24,39,149,149,100.0
2440,24,40,207,207,100.0
2441,24,41,121,121,100.0
2442,24,42,123,123,100.0
2443,24,43,187,187,100.0
2444,24,44,42,42,100.0
2445,24,45,116,116,100.0
2446,24,46,155,155,100.0
2447,24,47,124,124,100.0
2448,24,48,70,70,100.0
2449,24,49,207,207,100.0
2450,24,50,230,230,100.0
2451,24,51,207,207,100.0
2452,24,52,139,139,100.0
2453,24,53,161,161,100.0
2454,24,54,127,127,100.0
2455,24,55,72,72,100.0
2456,24,56,174,174,100.0
2457,24,57,98,98,100.0
2458,24,58,166,166,100.0
2459,24,59,81,81,100.0
