ward,precinct,total,Richard F. Mell,Richard F. Mell Percent
3301,33,1,153,153,100.0
3302,33,2,228,228,100.0
3303,33,3,125,125,100.0
3304,33,4,163,163,100.0
3305,33,5,57,57,100.0
3306,33,6,205,205,100.0
3307,33,7,184,184,100.0
3308,33,8,175,175,100.0
3309,33,9,80,80,100.0
3310,33,10,249,249,100.0
3311,33,11,174,174,100.0
3312,33,12,196,196,100.0
3313,33,13,237,237,100.0
3314,33,14,111,111,100.0
3315,33,15,100,100,100.0
3316,33,16,61,61,100.0
3317,33,17,157,157,100.0
3318,33,18,49,49,100.0
3319,33,19,158,158,100.0
3320,33,20,117,117,100.0
3321,33,21,175,175,100.0
3322,33,22,238,238,100.0
3323,33,23,205,205,100.0
3324,33,24,159,159,100.0
3325,33,25,219,219,100.0
3326,33,26,120,120,100.0
3327,33,27,82,82,100.0
3328,33,28,189,189,100.0
3329,33,29,143,143,100.0
3330,33,30,91,91,100.0
3331,33,31,158,158,100.0
3332,33,32,146,146,100.0
3333,33,33,102,102,100.0
3334,33,34,107,107,100.0
