ward,precinct,total,"Leonard ""Lenny"" Brody (Kucinich)","Leonard ""Lenny"" Brody (Kucinich) Percent","Proco ""Joe"" Moreno (Dean)","Proco ""Joe"" Moreno (Dean) Percent",Francisco Cisneros (Gephardt),Francisco Cisneros (Gephardt) Percent,Nicholas J. Delgado (Edwards),Nicholas J. Delgado (Edwards) Percent,David L. Cameron (Clark),David L. Cameron (Clark) Percent,Gary Klein (Kerry),Gary Klein (Kerry) Percent,William Bennett (Braun),William Bennett (Braun) Percent
0101,1,1,53,6,11.32,8,15.09,2,3.77,6,11.32,1,1.89,24,45.28,6,11.32
0102,1,2,120,17,14.17,10,8.33,9,7.5,12,10.0,2,1.67,66,55.0,4,3.33
0103,1,3,104,10,9.62,17,16.35,3,2.88,9,8.65,9,8.65,54,51.92,2,1.92
0104,1,4,126,21,16.67,11,8.73,6,4.76,9,7.14,3,2.38,69,54.76,7,5.56
0105,1,5,112,18,16.07,12,10.71,3,2.68,9,8.04,6,5.36,59,52.68,5,4.46
0107,1,7,122,9,7.38,12,9.84,16,13.11,9,7.38,5,4.1,66,54.1,5,4.1
0108,1,8,115,10,8.7,15,13.04,8,6.96,11,9.57,6,5.22,53,46.09,12,10.43
0109,1,9,128,10,7.81,29,22.66,9,7.03,15,11.72,5,3.91,53,41.41,7,5.47
0110,1,10,92,8,8.7,12,13.04,0,0.0,10,10.87,2,2.17,57,61.96,3,3.26
0111,1,11,108,14,12.96,12,11.11,10,9.26,11,10.19,3,2.78,50,46.3,8,7.41
0112,1,12,102,13,12.75,7,6.86,2,1.96,12,11.76,4,3.92,63,61.76,1,0.98
0113,1,13,128,14,10.94,17,13.28,12,9.38,21,16.41,6,4.69,56,43.75,2,1.56
0114,1,14,115,13,11.3,9,7.83,4,3.48,10,8.7,3,2.61,71,61.74,5,4.35
0115,1,15,82,8,9.76,13,15.85,6,7.32,11,13.41,8,9.76,31,37.8,5,6.1
0116,1,16,80,8,10.0,10,12.5,7,8.75,10,12.5,3,3.75,29,36.25,13,16.25
0117,1,17,123,17,13.82,16,13.01,4,3.25,10,8.13,5,4.07,63,51.22,8,6.5
0118,1,18,107,20,18.69,14,13.08,6,5.61,18,16.82,9,8.41,34,31.78,6,5.61
0119,1,19,138,11,7.97,16,11.59,9,6.52,24,17.39,4,2.9,68,49.28,6,4.35
0120,1,20,115,14,12.17,20,17.39,8,6.96,19,16.52,5,4.35,45,39.13,4,3.48
0121,1,21,137,19,13.87,11,8.03,3,2.19,15,10.95,6,4.38,78,56.93,5,3.65
0122,1,22,102,6,5.88,13,12.75,14,13.73,18,17.65,4,3.92,39,38.24,8,7.84
0123,1,23,118,16,13.56,13,11.02,8,6.78,12,10.17,7,5.93,54,45.76,8,6.78
0124,1,24,208,26,12.5,26,12.5,15,7.21,21,10.1,4,1.92,109,52.4,7,3.37
0125,1,25,91,12,13.19,10,10.99,5,5.49,9,9.89,3,3.3,47,51.65,5,5.49
