ward,precinct,total,Rahm Emanuel,Rahm Emanuel Percent,Mark Arnold Fredrickson,Mark Arnold Fredrickson Percent
0107,1,7,17,13,76.47,4,23.53
0128,1,28,60,48,80.0,12,20.0
2902,29,2,98,72,73.47,26,26.53
2909,29,9,51,45,88.24,6,11.76
2924,29,24,49,40,81.63,9,18.37
2932,29,32,95,73,76.84,22,23.16
2953,29,53,75,54,72.0,21,28.0
2954,29,54,101,83,82.18,18,17.82
3001,30,1,120,94,78.33,26,21.67
3002,30,2,67,56,83.58,11,16.42
3003,30,3,145,120,82.76,25,17.24
3007,30,7,98,89,90.82,9,9.18
3008,30,8,125,98,78.4,27,21.6
3009,30,9,148,118,79.73,30,20.27
3010,30,10,124,93,75.0,31,25.0
3011,30,11,80,65,81.25,15,18.75
3012,30,12,68,52,76.47,16,23.53
3013,30,13,58,52,89.66,6,10.34
3014,30,14,35,27,77.14,8,22.86
3015,30,15,126,111,88.1,15,11.9
3016,30,16,68,62,91.18,6,8.82
3017,30,17,66,41,62.12,25,37.88
3025,30,25,16,13,81.25,3,18.75
3028,30,28,83,70,84.34,13,15.66
3030,30,30,118,92,77.97,26,22.03
3034,30,34,109,84,77.06,25,22.94
3037,30,37,70,56,80.0,14,20.0
3038,30,38,148,128,86.49,20,13.51
3039,30,39,94,74,78.72,20,21.28
3040,30,40,94,73,77.66,21,22.34
3103,31,3,77,59,76.62,18,23.38
3108,31,8,60,48,80.0,12,20.0
3109,31,9,93,79,84.95,14,15.05
3115,31,15,42,31,73.81,11,26.19
3116,31,16,28,20,71.43,8,28.57
3119,31,19,76,57,75.0,19,25.0
3126,31,26,38,31,81.58,7,18.42
3128,31,28,80,60,75.0,20,25.0
3129,31,29,72,57,79.17,15,20.83
3132,31,32,91,78,85.71,13,14.29
3133,31,33,86,76,88.37,10,11.63
3135,31,35,14,13,92.86,1,7.14
3138,31,38,54,43,79.63,11,20.37
3141,31,41,60,47,78.33,13,21.67
3143,31,43,76,64,84.21,12,15.79
3145,31,45,55,41,74.55,14,25.45
3146,31,46,82,65,79.27,17,20.73
3147,31,47,96,71,73.96,25,26.04
3148,31,48,64,55,85.94,9,14.06
3150,31,50,87,71,81.61,16,18.39
3207,32,7,75,61,81.33,14,18.67
3208,32,8,147,126,85.71,21,14.29
3209,32,9,200,176,88.0,24,12.0
3210,32,10,92,74,80.43,18,19.57
3213,32,13,57,48,84.21,9,15.79
3215,32,15,120,100,83.33,20,16.67
3218,32,18,97,79,81.44,18,18.56
3219,32,19,128,106,82.81,22,17.19
3220,32,20,129,113,87.6,16,12.4
3221,32,21,106,93,87.74,13,12.26
3222,32,22,175,156,89.14,19,10.86
3223,32,23,148,130,87.84,18,12.16
3224,32,24,97,82,84.54,15,15.46
3225,32,25,110,95,86.36,15,13.64
3227,32,27,112,97,86.61,15,13.39
3230,32,30,65,62,95.38,3,4.62
3232,32,32,122,104,85.25,18,14.75
3237,32,37,117,94,80.34,23,19.66
3238,32,38,116,105,90.52,11,9.48
3239,32,39,150,130,86.67,20,13.33
3240,32,40,142,128,90.14,14,9.86
3241,32,41,173,148,85.55,25,14.45
3242,32,42,165,151,91.52,14,8.48
3243,32,43,131,120,91.6,11,8.4
3244,32,44,85,72,84.71,13,15.29
3245,32,45,123,112,91.06,11,8.94
3247,32,47,125,106,84.8,19,15.2
3248,32,48,141,116,82.27,25,17.73
3249,32,49,104,85,81.73,19,18.27
3250,32,50,25,12,48.0,13,52.0
3305,33,5,55,45,81.82,10,18.18
3307,33,7,196,171,87.24,25,12.76
3310,33,10,255,223,87.45,32,12.55
3314,33,14,141,116,82.27,25,17.73
3316,33,16,58,44,75.86,14,24.14
3318,33,18,61,52,85.25,9,14.75
3322,33,22,167,148,88.62,19,11.38
3323,33,23,222,188,84.68,34,15.32
3324,33,24,178,159,89.33,19,10.67
3325,33,25,233,201,86.27,32,13.73
3328,33,28,217,191,88.02,26,11.98
3329,33,29,147,126,85.71,21,14.29
3334,33,34,105,93,88.57,12,11.43
3522,35,22,60,53,88.33,7,11.67
3533,35,33,119,92,77.31,27,22.69
3601,36,1,141,125,88.65,16,11.35
3602,36,2,125,107,85.6,18,14.4
3603,36,3,156,146,93.59,10,6.41
3605,36,5,123,102,82.93,21,17.07
3606,36,6,118,103,87.29,15,12.71
3607,36,7,98,79,80.61,19,19.39
3608,36,8,156,120,76.92,36,23.08
