ward,precinct,total,Elizabeth L. Gracie (Dean),Elizabeth L. Gracie (Dean) Percent,No Candidate,No Candidate Percent,Patrice M. Ball-Reed (Edwards),Patrice M. Ball-Reed (Edwards) Percent,Eileen Fein (Clark),Eileen Fein (Clark) Percent,Catherine Randle (Kerry),Catherine Randle (Kerry) Percent,Ethel Triplett (Lieberman),Ethel Triplett (Lieberman) Percent,Tumia Romero (Braun),Tumia Romero (Braun) Percent
0101,1,1,61,8,13.11,0,0.0,6,9.84,7,11.48,32,52.46,0,0.0,8,13.11
0106,1,6,79,15,18.99,0,0.0,6,7.59,8,10.13,42,53.16,3,3.8,5,6.33
0111,1,11,11,2,18.18,0,0.0,1,9.09,3,27.27,5,45.45,0,0.0,0,0.0
0114,1,14,40,7,17.5,0,0.0,3,7.5,0,0.0,20,50.0,0,0.0,10,25.0
0201,2,1,176,28,15.91,0,0.0,20,11.36,6,3.41,108,61.36,7,3.98,7,3.98
0202,2,2,8,1,12.5,0,0.0,1,12.5,0,0.0,4,50.0,0,0.0,2,25.0
0203,2,3,80,13,16.25,0,0.0,9,11.25,5,6.25,43,53.75,2,2.5,8,10.0
0204,2,4,87,14,16.09,0,0.0,12,13.79,6,6.9,43,49.43,2,2.3,10,11.49
0205,2,5,72,7,9.72,0,0.0,12,16.67,5,6.94,31,43.06,6,8.33,11,15.28
0206,2,6,83,11,13.25,0,0.0,8,9.64,0,0.0,63,75.9,1,1.2,0,0.0
0207,2,7,194,18,9.28,0,0.0,26,13.4,6,3.09,113,58.25,7,3.61,24,12.37
0208,2,8,174,16,9.2,0,0.0,16,9.2,1,0.57,126,72.41,6,3.45,9,5.17
0209,2,9,100,21,21.0,0,0.0,15,15.0,3,3.0,46,46.0,6,6.0,9,9.0
0210,2,10,32,2,6.25,0,0.0,8,25.0,0,0.0,17,53.13,1,3.13,4,12.5
0211,2,11,76,10,13.16,0,0.0,5,6.58,1,1.32,53,69.74,3,3.95,4,5.26
0212,2,12,82,8,9.76,0,0.0,6,7.32,2,2.44,59,71.95,1,1.22,6,7.32
0213,2,13,110,18,16.36,0,0.0,8,7.27,5,4.55,59,53.64,6,5.45,14,12.73
0214,2,14,4,0,0.0,0,0.0,1,25.0,0,0.0,3,75.0,0,0.0,0,0.0
0215,2,15,22,2,9.09,0,0.0,3,13.64,1,4.55,10,45.45,0,0.0,6,27.27
0216,2,16,75,16,21.33,0,0.0,9,12.0,4,5.33,41,54.67,2,2.67,3,4.0
0217,2,17,109,17,15.6,0,0.0,8,7.34,2,1.83,65,59.63,4,3.67,13,11.93
0218,2,18,265,20,7.55,0,0.0,33,12.45,10,3.77,182,68.68,5,1.89,15,5.66
0219,2,19,69,17,24.64,0,0.0,16,23.19,2,2.9,29,42.03,2,2.9,3,4.35
0220,2,20,7,2,28.57,0,0.0,0,0.0,0,0.0,4,57.14,0,0.0,1,14.29
0221,2,21,151,30,19.87,0,0.0,14,9.27,5,3.31,84,55.63,7,4.64,11,7.28
0222,2,22,272,19,6.99,0,0.0,28,10.29,6,2.21,183,67.28,13,4.78,23,8.46
0223,2,23,94,15,15.96,0,0.0,21,22.34,0,0.0,43,45.74,7,7.45,8,8.51
0224,2,24,74,20,27.03,0,0.0,9,12.16,2,2.7,38,51.35,1,1.35,4,5.41
0225,2,25,66,5,7.58,0,0.0,5,7.58,5,7.58,45,68.18,1,1.52,5,7.58
0226,2,26,158,27,17.09,0,0.0,13,8.23,5,3.16,91,57.59,10,6.33,12,7.59
0227,2,27,64,14,21.88,0,0.0,7,10.94,8,12.5,25,39.06,2,3.13,8,12.5
0228,2,28,48,2,4.17,0,0.0,7,14.58,2,4.17,33,68.75,1,2.08,3,6.25
0229,2,29,60,6,10.0,0,0.0,7,11.67,0,0.0,37,61.67,6,10.0,4,6.67
0230,2,30,83,20,24.1,0,0.0,12,14.46,3,3.61,32,38.55,5,6.02,11,13.25
0232,2,32,74,18,24.32,0,0.0,8,10.81,4,5.41,30,40.54,2,2.7,12,16.22
0233,2,33,78,7,8.97,0,0.0,5,6.41,1,1.28,53,67.95,5,6.41,7,8.97
0234,2,34,113,31,27.43,0,0.0,17,15.04,11,9.73,43,38.05,4,3.54,7,6.19
0235,2,35,43,10,23.26,0,0.0,4,9.3,0,0.0,23,53.49,1,2.33,5,11.63
0236,2,36,49,17,34.69,0,0.0,7,14.29,3,6.12,15,30.61,2,4.08,5,10.2
0237,2,37,169,14,8.28,0,0.0,15,8.88,7,4.14,117,69.23,6,3.55,10,5.92
0238,2,38,138,24,17.39,0,0.0,18,13.04,7,5.07,63,45.65,8,5.8,18,13.04
0239,2,39,106,13,12.26,0,0.0,9,8.49,2,1.89,59,55.66,4,3.77,19,17.92
0240,2,40,169,30,17.75,0,0.0,23,13.61,8,4.73,88,52.07,5,2.96,15,8.88
0241,2,41,80,13,16.25,0,0.0,8,10.0,3,3.75,36,45.0,8,10.0,12,15.0
0242,2,42,35,6,17.14,0,0.0,5,14.29,1,2.86,18,51.43,1,2.86,4,11.43
0243,2,43,175,20,11.43,0,0.0,22,12.57,6,3.43,109,62.29,6,3.43,12,6.86
0245,2,45,103,22,21.36,0,0.0,10,9.71,5,4.85,50,48.54,4,3.88,12,11.65
0247,2,47,126,21,16.67,0,0.0,19,15.08,12,9.52,54,42.86,5,3.97,15,11.9
0248,2,48,73,8,10.96,0,0.0,7,9.59,1,1.37,40,54.79,7,9.59,10,13.7
0249,2,49,120,17,14.17,0,0.0,8,6.67,5,4.17,79,65.83,7,5.83,4,3.33
0250,2,50,90,17,18.89,0,0.0,6,6.67,1,1.11,44,48.89,5,5.56,17,18.89
