ward,precinct,total,Mattie Hunter,Mattie Hunter Percent
0201,2,1,160,160,100.0
0211,2,11,75,75,100.0
0214,2,14,251,251,100.0
0220,2,20,4,4,100.0
0222,2,22,255,255,100.0
0231,2,31,67,67,100.0
0235,2,35,41,41,100.0
0243,2,43,155,155,100.0
0249,2,49,98,98,100.0
0254,2,54,143,143,100.0
0255,2,55,30,30,100.0
0258,2,58,58,58,100.0
0259,2,59,149,149,100.0
0301,3,1,110,110,100.0
0303,3,3,91,91,100.0
0304,3,4,46,46,100.0
0306,3,6,78,78,100.0
0308,3,8,35,35,100.0
0309,3,9,53,53,100.0
0310,3,10,76,76,100.0
0311,3,11,71,71,100.0
0312,3,12,165,165,100.0
0313,3,13,87,87,100.0
0314,3,14,57,57,100.0
0315,3,15,150,150,100.0
0317,3,17,107,107,100.0
0318,3,18,106,106,100.0
0319,3,19,14,14,100.0
0320,3,20,6,6,100.0
0321,3,21,86,86,100.0
0322,3,22,83,83,100.0
0323,3,23,19,19,100.0
0324,3,24,107,107,100.0
0325,3,25,17,17,100.0
0326,3,26,103,103,100.0
0327,3,27,5,5,100.0
0328,3,28,66,66,100.0
0329,3,29,95,95,100.0
0332,3,32,93,93,100.0
0333,3,33,163,163,100.0
0335,3,35,124,124,100.0
0336,3,36,69,69,100.0
0337,3,37,61,61,100.0
0338,3,38,30,30,100.0
0340,3,40,125,125,100.0
0341,3,41,122,122,100.0
0342,3,42,98,98,100.0
0343,3,43,62,62,100.0
0344,3,44,48,48,100.0
0345,3,45,46,46,100.0
0347,3,47,87,87,100.0
0348,3,48,94,94,100.0
0349,3,49,28,28,100.0
0350,3,50,138,138,100.0
0351,3,51,35,35,100.0
0352,3,52,48,48,100.0
0353,3,53,101,101,100.0
0354,3,54,91,91,100.0
0355,3,55,92,92,100.0
0357,3,57,156,156,100.0
0359,3,59,47,47,100.0
0360,3,60,122,122,100.0
0361,3,61,23,23,100.0
0362,3,62,63,63,100.0
0363,3,63,64,64,100.0
0406,4,6,88,88,100.0
1112,11,12,238,238,100.0
1113,11,13,164,164,100.0
1114,11,14,153,153,100.0
1115,11,15,121,121,100.0
1123,11,23,156,156,100.0
1125,11,25,0,0,0.0
1127,11,27,138,138,100.0
1128,11,28,154,154,100.0
1131,11,31,152,152,100.0
1132,11,32,150,150,100.0
1133,11,33,126,126,100.0
1134,11,34,96,96,100.0
1135,11,35,247,247,100.0
1136,11,36,36,36,100.0
1137,11,37,187,187,100.0
1139,11,39,269,269,100.0
1142,11,42,145,145,100.0
1143,11,43,169,169,100.0
1146,11,46,106,106,100.0
1148,11,48,82,82,100.0
1149,11,49,172,172,100.0
1209,12,9,3,3,100.0
1216,12,16,33,33,100.0
1502,15,2,108,108,100.0
1503,15,3,109,109,100.0
1504,15,4,77,77,100.0
1505,15,5,83,83,100.0
1517,15,17,98,98,100.0
1518,15,18,84,84,100.0
1519,15,19,104,104,100.0
1520,15,20,101,101,100.0
1522,15,22,107,107,100.0
1523,15,23,84,84,100.0
1524,15,24,95,95,100.0
1526,15,26,91,91,100.0
1529,15,29,38,38,100.0
1530,15,30,124,124,100.0
1531,15,31,75,75,100.0
1533,15,33,87,87,100.0
1535,15,35,103,103,100.0
1536,15,36,89,89,100.0
1537,15,37,91,91,100.0
1538,15,38,102,102,100.0
1539,15,39,104,104,100.0
1540,15,40,95,95,100.0
1543,15,43,100,100,100.0
1548,15,48,88,88,100.0
1549,15,49,18,18,100.0
1550,15,50,90,90,100.0
1552,15,52,60,60,100.0
1601,16,1,48,48,100.0
1602,16,2,88,88,100.0
1603,16,3,101,101,100.0
1604,16,4,93,93,100.0
1605,16,5,132,132,100.0
1606,16,6,33,33,100.0
1607,16,7,69,69,100.0
1608,16,8,83,83,100.0
1609,16,9,151,151,100.0
1610,16,10,82,82,100.0
1612,16,12,84,84,100.0
1614,16,14,123,123,100.0
1615,16,15,127,127,100.0
1616,16,16,96,96,100.0
1618,16,18,91,91,100.0
1619,16,19,81,81,100.0
1620,16,20,123,123,100.0
1622,16,22,96,96,100.0
1624,16,24,57,57,100.0
1625,16,25,91,91,100.0
1626,16,26,110,110,100.0
1627,16,27,102,102,100.0
1628,16,28,130,130,100.0
1629,16,29,58,58,100.0
1630,16,30,67,67,100.0
1631,16,31,134,134,100.0
1633,16,33,89,89,100.0
1634,16,34,108,108,100.0
1636,16,36,99,99,100.0
1637,16,37,71,71,100.0
1638,16,38,113,113,100.0
1640,16,40,132,132,100.0
1642,16,42,0,0,0.0
1643,16,43,112,112,100.0
1644,16,44,66,66,100.0
1645,16,45,72,72,100.0
1646,16,46,23,23,100.0
1647,16,47,32,32,100.0
1713,17,13,1,1,100.0
1714,17,14,11,11,100.0
2001,20,1,134,134,100.0
2003,20,3,147,147,100.0
2006,20,6,133,133,100.0
2007,20,7,68,68,100.0
2008,20,8,39,39,100.0
2011,20,11,70,70,100.0
2012,20,12,50,50,100.0
2013,20,13,29,29,100.0
2014,20,14,122,122,100.0
2015,20,15,29,29,100.0
2016,20,16,40,40,100.0
2017,20,17,119,119,100.0
2019,20,19,67,67,100.0
2020,20,20,74,74,100.0
2023,20,23,126,126,100.0
2025,20,25,0,0,0.0
2027,20,27,78,78,100.0
2031,20,31,104,104,100.0
2033,20,33,170,170,100.0
2037,20,37,92,92,100.0
2039,20,39,110,110,100.0
2040,20,40,63,63,100.0
2041,20,41,7,7,100.0
2042,20,42,107,107,100.0
2043,20,43,53,53,100.0
2044,20,44,171,171,100.0
2045,20,45,24,24,100.0
2046,20,46,88,88,100.0
2048,20,48,68,68,100.0
2050,20,50,81,81,100.0
2051,20,51,30,30,100.0
2052,20,52,54,54,100.0
2053,20,53,19,19,100.0
2054,20,54,88,88,100.0
2055,20,55,46,46,100.0
2514,25,14,53,53,100.0
2516,25,16,44,44,100.0
2518,25,18,36,36,100.0
2705,27,5,23,23,100.0
2706,27,6,59,59,100.0
2709,27,9,214,214,100.0
2712,27,12,41,41,100.0
2713,27,13,23,23,100.0
2714,27,14,49,49,100.0
2716,27,16,29,29,100.0
2720,27,20,172,172,100.0
2721,27,21,57,57,100.0
2728,27,28,99,99,100.0
2737,27,37,32,32,100.0
2739,27,39,78,78,100.0
2742,27,42,65,65,100.0
2743,27,43,60,60,100.0
2751,27,51,76,76,100.0
2752,27,52,27,27,100.0
2765,27,65,20,20,100.0
2766,27,66,67,67,100.0
4203,42,3,69,69,100.0
4204,42,4,98,98,100.0
4209,42,9,57,57,100.0
4217,42,17,95,95,100.0
4219,42,19,32,32,100.0
4220,42,20,66,66,100.0
4222,42,22,72,72,100.0
4224,42,24,11,11,100.0
4227,42,27,150,150,100.0
4232,42,32,116,116,100.0
4239,42,39,118,118,100.0
4245,42,45,82,82,100.0
4246,42,46,70,70,100.0
4249,42,49,2,2,100.0
4255,42,55,88,88,100.0
4256,42,56,70,70,100.0
4257,42,57,72,72,100.0
4258,42,58,43,43,100.0
4259,42,59,19,19,100.0
4260,42,60,64,64,100.0
4330,43,30,49,49,100.0
4351,43,51,149,149,100.0
4354,43,54,77,77,100.0
4355,43,55,91,91,100.0
4360,43,60,44,44,100.0
4361,43,61,54,54,100.0
4363,43,63,62,62,100.0
