ward,precinct,total,Monique D. Davis,Monique D. Davis Percent,JeRome Brown,JeRome Brown Percent
0910,9,10,207,174,84.06,33,15.94
0920,9,20,249,196,78.71,53,21.29
0921,9,21,180,161,89.44,19,10.56
0927,9,27,129,116,89.92,13,10.08
0951,9,51,152,133,87.5,19,12.5
1913,19,13,222,201,90.54,21,9.46
1920,19,20,226,184,81.42,42,18.58
1927,19,27,170,131,77.06,39,22.94
1928,19,28,313,272,86.9,41,13.1
1931,19,31,233,184,78.97,49,21.03
1940,19,40,228,181,79.39,47,20.61
1942,19,42,204,166,81.37,38,18.63
1943,19,43,276,230,83.33,46,16.67
1948,19,48,179,135,75.42,44,24.58
1949,19,49,310,268,86.45,42,13.55
1950,19,50,250,192,76.8,58,23.2
1960,19,60,244,204,83.61,40,16.39
1963,19,63,183,159,86.89,24,13.11
1964,19,64,313,257,82.11,56,17.89
1966,19,66,212,163,76.89,49,23.11
1967,19,67,46,39,84.78,7,15.22
2101,21,1,320,271,84.69,49,15.31
2103,21,3,322,299,92.86,23,7.14
2104,21,4,311,281,90.35,30,9.65
2105,21,5,214,198,92.52,16,7.48
2106,21,6,178,147,82.58,31,17.42
2107,21,7,230,211,91.74,19,8.26
2108,21,8,271,242,89.3,29,10.7
2109,21,9,233,194,83.26,39,16.74
2110,21,10,153,111,72.55,42,27.45
2111,21,11,224,199,88.84,25,11.16
2112,21,12,197,172,87.31,25,12.69
2113,21,13,101,88,87.13,13,12.87
2114,21,14,198,164,82.83,34,17.17
2118,21,18,219,190,86.76,29,13.24
2119,21,19,194,179,92.27,15,7.73
2120,21,20,107,89,83.18,18,16.82
2121,21,21,239,193,80.75,46,19.25
2122,21,22,222,178,80.18,44,19.82
2124,21,24,209,180,86.12,29,13.88
2127,21,27,249,209,83.94,40,16.06
2128,21,28,163,137,84.05,26,15.95
2131,21,31,285,223,78.25,62,21.75
2133,21,33,207,174,84.06,33,15.94
2138,21,38,190,173,91.05,17,8.95
2140,21,40,217,186,85.71,31,14.29
2142,21,42,237,211,89.03,26,10.97
2144,21,44,210,149,70.95,61,29.05
2145,21,45,195,156,80.0,39,20.0
2147,21,47,298,262,87.92,36,12.08
2149,21,49,298,244,81.88,54,18.12
2150,21,50,216,179,82.87,37,17.13
2151,21,51,238,206,86.55,32,13.45
2153,21,53,27,24,88.89,3,11.11
2154,21,54,218,184,84.4,34,15.6
2156,21,56,173,153,88.44,20,11.56
2158,21,58,158,142,89.87,16,10.13
2159,21,59,289,260,89.97,29,10.03
2160,21,60,199,163,81.91,36,18.09
2161,21,61,235,205,87.23,30,12.77
2163,21,63,202,173,85.64,29,14.36
2166,21,66,175,114,65.14,61,34.86
2168,21,68,197,180,91.37,17,8.63
3401,34,1,282,212,75.18,70,24.82
3407,34,7,286,199,69.58,87,30.42
3408,34,8,254,195,76.77,59,23.23
3412,34,12,195,151,77.44,44,22.56
3413,34,13,178,140,78.65,38,21.35
3421,34,21,245,167,68.16,78,31.84
3425,34,25,129,97,75.19,32,24.81
3429,34,29,289,187,64.71,102,35.29
3432,34,32,264,194,73.48,70,26.52
3433,34,33,123,73,59.35,50,40.65
3434,34,34,240,192,80.0,48,20.0
3444,34,44,287,187,65.16,100,34.84
3445,34,45,280,220,78.57,60,21.43
3446,34,46,154,131,85.06,23,14.94
3447,34,47,126,68,53.97,58,46.03
3448,34,48,238,206,86.55,32,13.45
3449,34,49,261,196,75.1,65,24.9
3451,34,51,297,214,72.05,83,27.95
3461,34,61,0,0,0.0,0,0.0
3462,34,62,261,214,81.99,47,18.01
3464,34,64,44,29,65.91,15,34.09
3466,34,66,195,141,72.31,54,27.69
3467,34,67,181,128,70.72,53,29.28
3468,34,68,119,95,79.83,24,20.17
3469,34,69,167,131,78.44,36,21.56
3470,34,70,215,182,84.65,33,15.35
3471,34,71,170,140,82.35,30,17.65
3472,34,72,139,97,69.78,42,30.22
3473,34,73,158,104,65.82,54,34.18
